name,class,gal_l2,gal_b2,hard_hm,hard_hs
2CXO J034429.5+320404,STAR,4.45948730335064,3.996567188618092,9.400000000000006,0.0
2CXO J064143.0+092329,STAR,5.65190796935466,5.1147684017108865,0.0,0.0
2CXO J073445.6-155919,PULSAR,6.446179152949005,5.108347690251677,0.0,0.7875000000000051
2CXO J064057.4+093514,STAR,5.6446850959646655,5.110461130679176,0.0,0.0
2CXO J100200.3+022115,AGN,6.5821996341838265,7.371072620038763,5.4250000000000025,5.1062499999999975
2CXO J104107.3-594001,YSO,7.976417254353779,4.9483137531950065,7.8749999999999964,9.643749999999985
2CXO J015757.7+374822,STAR,3.810457783333788,3.698647227178561,0.6875000000000053,0.10624999999996733
2CXO J171940.6-355911,YSO,9.753065357988886,5.036570547240347,10.0,10.0
2CXO J141141.9+140233,AGN,0.0551860104828845,8.747951433160205,4.556249999999999,2.974999999999995
2CXO J144709.5+114715,AGN,0.2536761812495081,8.282390076489103,2.3187499999999823,2.149999999999978
2CXO J212246.3+170437,AGN,1.887094013615379,3.7206212311518136,5.3874999999999975,4.300000000000007
2CXO J104412.8+591331,AGN,4.121999507399163,7.853146197217829,3.7812500000000058,3.2374999999999803
2CXO J162335.8-263132,STAR,9.749301879368753,5.887955032003279,10.0,0.0
2CXO J180918.2-233437,STAR,0.20271537239391088,4.889246526169517,4.59375,2.862500000000009
2CXO J053417.4-053158,STAR,5.806360731924356,3.897047557633025,0.0,0.0
2CXO J124335.5+113608,STAR,8.216291106583771,9.150186224207477,5.787500000000005,3.9124999999999983
2CXO J085850.4+182604,AGN,5.809943904682418,7.014667380476315,4.900000000000001,3.212500000000005
2CXO J143219.5+341728,AGN,1.5959558242360126,8.751827479887513,4.774999999999999,2.4874999999999874
2CXO J002353.5-720511,STAR,8.49765816824111,2.488416691726912,4.5687500000000005,2.3874999999999886
2CXO J095945.6+013032,AGN,6.595609295869139,7.318059628058842,6.099999999999987,5.318750000000003
2CXO J015658.7+004641,AGN,4.306683043583397,1.7584503120272919,0.0,0.0
2CXO J124341.8+113729,STAR,8.218667999513379,9.151592912636662,0.0,5.112500000000002
2CXO J133749.0+375356,AGN,2.324904091225845,9.212355651728302,4.799999999999997,3.243749999999998
2CXO J004237.3+411709,CV,3.3653148877019765,3.7915646961874216,0.0,0.0
2CXO J051100.5-220154,AGN,6.204486769849732,3.2412084068125058,5.825000000000018,6.2375
2CXO J171956.2-355152,YSO,9.756683919696002,5.038068687177018,5.312499999999999,6.968749999999987
2CXO J144545.3+012913,AGN,9.851874331519696,7.927443591821923,0.0,1.7312499999999766
2CXO J053524.3-052844,STAR,5.808634596901038,3.912228787202733,0.0,0.0
2CXO J073645.7+653640,HMXB,4.182189887500587,6.625705069055942,0.0,0.0
2CXO J180421.1-242112,STAR,0.1685704254586122,4.923341402332053,3.874999999999986,2.2625000000000157
2CXO J104334.0-591710,YSO,7.9789754253693355,4.9752796575367295,4.59375,2.575
2CXO J103139.1+574028,AGN,4.22079256423625,7.836064262309513,5.0,3.012500000000008
2CXO J125917.9-014120,AGN,8.527844858447372,8.410273752853112,6.7250000000000085,5.61875
2CXO J082841.2+660225,STAR,4.155364480786285,6.919560214895959,2.1187499999999853,0.4687500000000009
2CXO J105305.1+520405,AGN,4.345908026932537,8.160989624862786,5.4812499999999975,4.843749999999998
2CXO J134329.4+000422,AGN,9.163039660500758,8.358492702622211,4.18750000000002,2.9187499999999766
2CXO J104415.8-600309,YSO,7.991141890496769,4.939794182153414,6.037500000000002,3.2937499999999984
2CXO J181848.7-134655,STAR,0.47158146835516296,5.040579162341063,4.006249999999978,6.925000000000006
2CXO J220129.5-315712,AGN,0.4160335128125274,2.037277243373355,5.5312499999999885,2.724999999999997
2CXO J005023.1-725137,STAR,8.417788338017953,2.522722459423212,10.0,6.368749999999992
2CXO J230257.4+084833,AGN,2.304384500786985,2.4552153252838504,5.412499999999999,3.5812500000000083
2CXO J124341.1+113248,STAR,8.219251972728355,9.147247932522756,3.61875000000002,3.3249999999999917
2CXO J124150.7+323152,HMXB,3.9833921328777375,9.700220059030633,0.0,0.0
2CXO J180423.1-241955,YSO,0.169193343184239,4.923541791188108,0.0,0.0
2CXO J142530.1+335217,AGN,1.5868900310463865,8.83388188409323,8.393749999999997,10.0
2CXO J095841.9+015443,AGN,6.577715654338835,7.319166208059051,7.631250000000018,8.643749999999995
2CXO J085915.2-472706,YSO,7.442060345947032,4.939994403413549,8.893749999999994,10.0
2CXO J022721.5+333500,ULX,4.024987481367607,3.589968870175004,5.3937500000000025,5.181250000000002
2CXO J122019.8+752216,ULX,3.4875312343586544,7.31966653774816,4.95625,4.224999999999983
2CXO J120825.3+141921,AGN,7.29794035094304,9.11505901303768,5.40625,3.7937499999999935
2CXO J111146.1-612227,YSO,8.091289838526059,4.952361194684058,3.6500000000000137,10.0
2CXO J022916.4+002659,AGN,4.649536515323186,1.9926171203590664,4.893749999999997,2.543750000000006
2CXO J171535.1-101752,STAR,0.3373287123476999,5.8845701530547405,2.418749999999981,0.0
2CXO J124336.1+113136,STAR,8.2174219140617,9.146013420969618,4.4875000000000185,4.024999999999984
2CXO J114934.6+590620,AGN,3.811341784836592,8.139563603685481,0.0,0.0
2CXO J101950.6+632003,AGN,4.067693359523156,7.58090366268036,5.35625,3.9562499999999794
2CXO J181848.8-134621,YSO,0.4718186076471887,5.040802567703585,5.85625000000001,2.831250000000015
2CXO J095608.9+690106,CV,3.9472657659073582,7.284588320452562,2.924999999999996,0.0
2CXO J112023.0-611934,STAR,8.117573994320235,4.9756130616886525,10.0,0.0
2CXO J161112.1+115733,AGN,0.6978968253134921,7.281022717236017,5.649999999999992,5.293749999999998
2CXO J100434.0+411248,AGN,4.986421976917361,7.964801113641375,5.775000000000018,3.9187500000000175
2CXO J171942.1-360520,YSO,9.750813243049183,5.033062988077729,6.499999999999987,10.0
