name,Jmag,Hmag,Kmag
2CXO J175348.2-284118,5.994,5.513,5.349
2CXO J175430.1-292357,10.814,10.179,9.971
2CXO J175515.8-311551,8.914,8.718,8.584
2CXO J175618.6-284540,14.34,13.432,13.26
2CXO J175622.0-251544,8.076,7.915,7.876
2CXO J175625.6-250611,13.222,11.348,10.036
2CXO J180023.3-233348,8.913,8.769,8.667
2CXO J180027.8-233046,14.645,13.786,13.175
2CXO J180210.8-225532,14.782,13.808,13.225
2CXO J180212.2-225532,14.718,13.646,13.1
2CXO J180212.4-230548,17.738,14.813,12.947
2CXO J180215.8-230555,13.274,12.332,11.738
2CXO J180219.8-245210,6.045,5.483,5.295
2CXO J180221.2-230129,13.575,12.197,11.38
2CXO J180221.4-230102,13.783,12.753,10.432
2CXO J180222.8-225935,14.121,12.931,12.014
2CXO J180223.2-230012,14.365,13.385,12.804
2CXO J180223.5-230023,14.342,13.162,12.902
2CXO J180223.6-230157,10.613,12.507,12.11
2CXO J180226.4-230156,15.159,13.81,13.514
2CXO J180227.3-225937,14.117,13.148,12.735
2CXO J180228.0-230142,14.125,13.085,12.312
2CXO J180228.5-230037,12.75,11.396,10.636
2CXO J180228.6-230303,13.815,12.763,12.012
2CXO J180230.1-230039,12.816,11.345,10.502
2CXO J180230.3-225929,12.7,11.611,10.889
2CXO J180232.6-225924,16.183,14.445,13.238
2CXO J180232.7-230421,14.632,13.302,12.544
2CXO J180235.2-230102,13.076,11.966,11.415
2CXO J180235.3-230009,14.202,13.126,12.504
2CXO J180236.1-230131,13.151,12.248,11.755
2CXO J180239.5-230343,13.162,12.128,11.464
2CXO J180242.9-230312,13.323,12.251,11.719
2CXO J180243.4-230135,13.694,12.333,11.481
2CXO J180247.7-230132,13.315,12.595,12.347
2CXO J180249.1-225945,13.106,12.059,11.415
2CXO J180251.6-230234,12.354,11.343,10.81
2CXO J180417.3-241320,13.527,12.755999999999998,12.531
2CXO J180417.5-241429,10.154,9.198,8.895
2CXO J180417.8-241746,12.959,12.021,11.45
2CXO J180418.2-241951,14.28,13.209,12.628
2CXO J180419.2-242226,14.434,13.47,12.986
2CXO J180419.2-242254,12.436,11.497,11.027
2CXO J180419.4-242607,14.098,13.039,12.373
2CXO J180419.7-242005,15.069,13.948,12.825
2CXO J180420.2-242024,13.355,12.317,11.582
2CXO J180420.4-242303,12.757,12.362,11.759
2CXO J180420.5-242455,11.39,11.011,10.890999999999998
