name,g_mag,bp_mag,rp_mag
2CXO J172607.9-341811,20.026032,21.167084,18.683119
2CXO J172615.4-343912,16.58836,17.892712,15.439251
2CXO J172641.7-354052,10.797821,11.296174,10.134153
2CXO J172918.8-314601,17.574463,18.928917000000002,16.461056
2CXO J173005.6-334258,6.682276,6.728344,6.534479
2CXO J173032.3-335036,20.281239000000003,21.50955,18.8876
2CXO J173233.5-313123,14.999011,16.591963,13.790695999999999
2CXO J174044.5-302635,8.684477000000001,9.268569,7.950614999999999
2CXO J174249.9-275038,8.708071,8.939675,8.312265
2CXO J174403.7-312306,19.725876,20.035318,18.259066
2CXO J174625.4-263134,19.803442,20.523623,19.078054
2CXO J174835.9-325458,20.978357,20.776884,17.746971
2CXO J174900.8-291402,9.779553,10.599115,8.895738
2CXO J175045.3-285817,11.303288,11.61007,10.818375999999999
2CXO J175205.5-301931,17.372859,19.139282,16.027153
2CXO J175348.2-284118,7.587966000000001,8.128127000000001,6.891181
2CXO J175412.7-301248,17.937179,18.400942,16.355293
2CXO J175430.1-292357,12.872204,13.543039000000002,12.01476
2CXO J175515.8-311551,9.720459,9.962710000000001,9.318213
2CXO J175622.0-251544,8.807008999999999,8.990582,8.47565
2CXO J175625.6-250611,18.983432999999998,21.621403,17.27755
2CXO J175829.8-305701,19.736183,20.476267,17.789675
2CXO J180015.6-232443,20.881632,21.711035,19.176785
2CXO J180017.5-232634,19.706246,20.838238,18.531498000000003
2CXO J180023.3-233348,10.304555,10.074002,9.418055
2CXO J180027.8-233046,17.979058,19.277344,16.832298
2CXO J180210.8-225532,17.072542000000002,18.047810000000002,16.073320000000002
2CXO J180212.2-225532,16.929453,17.930139999999998,15.850422
2CXO J180215.8-230555,16.087096,17.047833999999998,15.084629999999999
2CXO J180219.8-245210,7.989847999999999,8.434086,7.109333
2CXO J180221.2-230129,17.074373,17.631262,15.678982000000001
2CXO J180221.4-230102,16.942789,19.077492000000003,15.888952
2CXO J180222.8-225935,17.067629,18.570292000000002,16.019426
2CXO J180223.2-230012,17.366453,18.197589999999998,16.259775
2CXO J180223.5-230023,17.384719,18.830460000000002,16.259628
2CXO J180223.6-230157,16.768949,15.559654,15.07073
2CXO J180226.4-230156,18.648525,20.275888000000002,17.411327
2CXO J180227.3-225937,17.537354,18.784796,16.260437
2CXO J180227.7-230129,17.21509,18.569548,16.275323999999998
2CXO J180228.0-230142,18.173647,19.497871,16.93706
2CXO J180228.5-230037,16.683294,18.298197000000002,15.293768
2CXO J180228.6-230303,17.110581,18.396648000000003,15.890699
2CXO J180230.1-230039,17.811394,18.124968,16.644857000000002
2CXO J180230.3-225929,15.728385000000001,16.847176,14.687225
2CXO J180230.9-230235,13.632672,13.938382,13.035437
2CXO J180232.6-225924,19.439657,20.646763,18.18402
2CXO J180232.7-230421,17.668837,18.817104,16.648666
2CXO J180235.2-230102,16.679869,17.922651000000002,15.362945999999999
2CXO J180235.3-230009,17.934215,18.954603,16.707773
2CXO J180236.1-230131,15.938204999999998,16.905573,14.923214999999999
2CXO J180239.5-230343,16.338163,17.689571,15.234216
2CXO J180242.9-230312,16.454114,17.842028,15.225556
2CXO J180243.4-230135,17.684971,19.836662,16.506712
2CXO J180247.7-230132,16.592925,17.461763,15.304534
2CXO J180249.1-225945,16.200016,17.219829999999998,15.091845000000001
2CXO J180251.6-230234,15.163822,16.25245,14.110517999999999
2CXO J180417.3-241320,15.805745000000002,16.58385,14.881488000000001
2CXO J180417.5-241429,16.301185,17.312172,15.151973000000002
2CXO J180417.8-241746,15.979907,16.99975,14.905663
2CXO J180418.2-241951,18.176988,19.422466,17.015545
2CXO J180419.2-242226,17.818897,18.761770000000002,16.538683
2CXO J180419.4-242607,17.191947,18.378597,16.142284
2CXO J180419.7-242005,19.92297,20.534456,18.349592
2CXO J180420.4-242303,16.944236,18.264055,15.569742000000002
2CXO J180420.5-242455,12.818124000000001,13.214325,12.22975
2CXO J180421.1-242112,15.011536999999999,15.836355,13.995154000000001
2CXO J180421.2-242307,17.384518,18.693922,16.015165
2CXO J180421.3-242745,15.004617000000001,15.987298999999998,14.008733
2CXO J180421.5-241935,16.108753,17.419987,14.996676
2CXO J180421.6-242114,17.013149,17.369595999999998,15.67513
2CXO J180421.6-242319,17.456941,17.725374,15.786207000000001
2CXO J180421.8-241626,15.171498999999999,16.057579,14.206979
2CXO J180422.5-241850,17.847948000000002,19.427729,16.610193
2CXO J180422.6-241605,16.735209,17.871693,15.493966
2CXO J180422.7-242208,9.711533,9.885986,9.376186
2CXO J180422.7-242224,18.35461,19.83635,17.138931
2CXO J180423.4-242107,16.63492,17.62528,15.488185999999999
2CXO J180423.5-241915,18.195482000000002,19.868284,16.829006
