name,fuv_mag,nuv_mag
2CXO J084316.2+511216,21.258000000000006,19.912
2CXO J084338.0+501220,,16.204
2CXO J084428.8+511432,20.39,19.343
2CXO J084536.2+524046,18.595,13.529000000000002
2CXO J084613.8+524023,,22.029
2CXO J084716.8+523733,,21.022
2CXO J085005.4+451832,,22.005
2CXO J085027.0+520203,,19.901
2CXO J085109.5+521944,,21.287
2CXO J085116.3+520816,,20.335
2CXO J085124.9+520402,,22.873
2CXO J085310.3+503243,21.291,18.738
2CXO J085404.4+502824,19.515,19.565
2CXO J085408.0+502941,,19.672
2CXO J085416.8+502631,,21.78
2CXO J085417.6+532735,,19.326
2CXO J085605.8+450520,20.217,18.987
2CXO J091631.3+515050,,20.407
2CXO J092202.3+505836,,14.777
2CXO J092307.3+305926,20.387,19.205
2CXO J092314.5+510018,,20.015
2CXO J092347.9+310754,21.066,18.977
2CXO J093155.6+370548,18.528,17.881
2CXO J093241.1+530633,19.479,18.744
2CXO J093359.3+551550,,21.172
2CXO J093401.9+551428,16.239,16.262999999999998
2CXO J093549.8+364555,19.433,18.714
2CXO J093759.4+542426,22.204,20.98
2CXO J093813.5+542824,17.883,17.985
2CXO J093827.0+541918,20.644,19.361
2CXO J094822.3+315358,,20.285
2CXO J094928.5+562052,,19.388
2CXO J095200.9+561331,,22.321
2CXO J095702.8+563136,18.877,18.22
2CXO J100129.6+545438,20.795,18.574
2CXO J100223.3+553430,17.438,13.140999999999998
2CXO J100309.4+554134,20.166,19.595
2CXO J101612.6-000745,20.886,20.18
2CXO J101627.3-000714,21.38,21.285
2CXO J101700.4+215450,17.125999999999998,12.501
2CXO J102003.9+474019,,19.971
2CXO J102411.1+471753,20.281,19.84
2CXO J102434.5+470909,,23.018
2CXO J102724.9+121919,,22.595
2CXO J102733.6+470828,18.71,18.541
2CXO J103135.9+573311,,22.875
2CXO J103140.8+574116,21.188,21.01
2CXO J103143.3+573157,,21.34
2CXO J103145.7+573401,22.088,21.954
2CXO J103202.9+573208,,21.701
2CXO J103215.8+574926,,21.517
2CXO J103236.1+580033,21.393,20.442
2CXO J103251.1+575832,,21.594
2CXO J103308.8+575719,,22.847
2CXO J103319.3+575809,,21.961
2CXO J103326.1+580120,21.817,20.516
2CXO J103352.7+581340,,22.376
2CXO J103406.1+572032,,22.308000000000003
2CXO J103406.7+580236,,22.491
