name,W1mag,W2mag,W3mag,W4mag
2CXO J174728.9-321441,9.454,9.527,10.702,8.334
2CXO J174900.8-291402,6.473,6.597,6.104,5.095
2CXO J175344.2-262004,10.153,8.779,8.664,6.7879999999999985
2CXO J175348.2-284118,5.238,5.055,5.31,5.229
2CXO J175515.8-311551,8.517000000000001,8.561,8.745,8.189
2CXO J175622.0-251544,7.546,7.438,8.955,8.208
2CXO J175625.6-250611,8.738999999999999,7.904,5.239,3.06
2CXO J175829.8-305701,12.412,11.495,8.133,5.509
2CXO J180023.3-233348,8.566,8.574,8.323,6.851
2CXO J180212.2-225532,11.892,11.622,7.954,5.33
2CXO J180212.4-230548,10.038,7.479,5.527,2.035
2CXO J180215.8-230555,10.890999999999998,10.614,7.354,5.104
2CXO J180219.8-245210,5.234,4.9460000000000015,5.275,5.382999999999999
2CXO J180221.2-230129,9.88,9.177,4.414,2.794
2CXO J180222.8-225935,10.613,10.095,6.4060000000000015,2.885
2CXO J180228.5-230037,9.275,8.65,5.012,1.845
2CXO J180230.3-225929,9.666,9.217,6.852,2.864
2CXO J180230.9-230235,9.919,9.419,6.586,2.287
2CXO J180232.7-230421,11.907,11.543,8.805,4.532
2CXO J180239.5-230343,10.342,9.705,5.725,6.388
2CXO J180249.1-225945,10.736,10.338,5.9289999999999985,4.051
2CXO J180251.6-230234,9.837,9.377,7.0939999999999985,3.919
2CXO J180417.5-241429,8.66,8.729,7.997000000000001,3.529
2CXO J180417.8-241746,10.324000000000002,10.064,8.306000000000001,4.067
2CXO J180419.2-242254,10.555,9.999,6.311,1.911
2CXO J180420.2-242024,10.453,10.064,6.777,2.491
2CXO J180420.4-242303,9.649,9.082,4.527,0.8009999999999999
2CXO J180421.6-242319,9.437,8.586,5.03,1.29
2CXO J180423.1-241955,10.475,10.715,6.9129999999999985,1.756
2CXO J180424.3-241516,10.232,10.234,7.746,4.499
2CXO J180424.6-242026,11.224,10.823,5.6560000000000015,0.5329999999999999
2CXO J180424.6-242502,9.127,8.93,5.55,1.167
2CXO J180425.8-242308,5.706,5.385,3.31,-0.7759999999999999
2CXO J180426.3-242456,10.542,10.368,5.772,1.019
2CXO J180426.8-242323,9.751,9.239,3.756,0.132
2CXO J180427.2-242056,9.698,9.229,5.7879999999999985,0.245
2CXO J180427.9-242208,11.42,10.913,5.757999999999999,2.401
2CXO J180428.2-242547,10.152,9.783,6.239,2.264
2CXO J180428.3-242111,9.92,9.506,5.624,0.02
2CXO J180428.9-242316,10.275,9.965,5.915,2.386
2CXO J180429.2-242343,10.825,10.304,4.935,1.666
2CXO J180429.4-242304,11.2,11.126,6.924,2.524
2CXO J180430.8-242644,10.299,9.758,6.653,3.2960000000000003
2CXO J180431.6-242243,10.359000000000002,10.154,5.772,1.646
2CXO J180432.3-242755,11.015999999999998,10.38,6.774,4.025
2CXO J180454.4-241406,10.4,10.424,7.834,4.289
2CXO J180540.4-273425,12.832,12.453,11.835,7.997999999999998
2CXO J180727.2-250616,6.651,6.612,6.3870000000000005,6.115
2CXO J180935.6-255553,6.6110000000000015,6.751,6.682,6.259
2CXO J004903.4-732709,16.765,15.273,11.749,9.203
2CXO J010128.5-724615,14.827,14.095,11.866,8.863999999999997
2CXO J010423.6-731156,8.853,8.889,8.872,9.239
2CXO J011203.0-725308,12.455,12.574000000000002,12.038,8.836
2CXO J011838.2-732525,8.413,8.461,8.48,8.374
2CXO J095724.3+023518,15.927,15.162,12.146,9.062
2CXO J095740.7+020207,16.794,15.541,12.515999999999998,8.449
2CXO J095743.3+024823,16.502,15.084,11.565,8.763
2CXO J095746.1+015712,15.957,15.523,12.683,9.148
2CXO J095755.0+024806,15.624,14.264,11.155,7.755
2CXO J095756.7+024840,17.754,15.857,12.768,8.884
2CXO J095821.4+013321,14.784,14.513,11.761,9.137
2CXO J095852.0+025156,15.942,14.705,12.531,8.394
2CXO J095908.6+025424,15.57,13.997,10.834,8.41
2CXO J100055.4+013415,15.713,16.128,12.253,9.12
2CXO J100113.9+013034,15.44,15.076,12.613,8.441
2CXO J100117.1+025255,16.164,16.493,12.492,9.152
