,prob th : 0,prob th:0.5,prob th:0.75,prob th:0.8,prob th:0.9,prob th:0.95
AGN,19417,18432,15086,13912.0,9805.0,5003.0
STAR,11631,10507,6946,6039.0,3067.0,988.0
YSO,8166,7370,3591,2463.0,,
HMXB,297,175,27,2.0,,
CV,144,114,30,11.0,,
LMXB,121,94,32,,,
ULX,68,20,3,,,
PULSAR,49,33,6,,,
