,prob th : 0,prob th:0.5,prob th:0.75,prob th:0.8,prob th:0.9,prob th:0.95
AGN,12713,10118,6388,5651,4079,2874
STAR,11114,9346,6886,6379,5030,3868
YSO,9424,8713,6514,5885,4051,2306
HMXB,3977,2021,871,760,502,324
ULX,902,288,77,61,27,7
CV,833,391,162,137,81,40
PULSAR,662,224,67,55,41,29
LMXB,268,228,171,153,128,108
