,prob th : 0,prob th:0.5,prob th:0.75,prob th:0.8,prob th:0.9,prob th:0.95
STAR,12146,9429,6861,6386,5191,4140
AGN,10921,7368,4643,4243,3055,1903
YSO,8528,7434,4736,4105,2055,1009
HMXB,4958,2383,1071,846,498,293
ULX,1506,556,94,57,14,1
CV,918,413,159,117,51,27
PULSAR,687,201,59,46,24,13
LMXB,229,171,99,96,84,76
