name,class,cat_name,var_flag,ra,dec,acis_time,acis_num,hrc_time,hrc_num
2CXO J033203.0-274450,AGN,CDFS J03320-2744 ,1,53.01265613973277,-27.747376609435605,6048153.82260707,85,,0
2CXO J033210.9-274343,AGN,CDFS J03321-2743 ,1,53.04543817313328,-27.728739448739915,6048079.05924993,85,,0
2CXO J033241.8-275202,AGN,ECDF-S 475       ,1,53.174426217552536,-27.86743983909512,5826096.9864543965,84,,0
2CXO J033244.3-275251,AGN,ECDF-S 471       ,1,53.184679100309154,-27.88101817004212,5826096.9864543965,84,,0
2CXO J033252.8-275120,AGN,CDFS J03328-2751 ,1,53.22036755726315,-27.85556023186338,5826096.824233988,84,,0
2CXO J033229.8-275106,AGN,CDFS J03324-2751B,0,53.12438233198828,-27.85170294258859,5826085.234582452,84,,0
2CXO J033234.9-275511,AGN,CDFS J03325-2755 ,1,53.14567324027462,-27.91985210513764,5826085.234582452,84,,0
2CXO J033214.4-275111,AGN,CDFS J03322-2751B,1,53.060125682795324,-27.853092223276352,5820805.709831603,83,,0
2CXO J033214.9-275127,AGN,CDFS J03322-2751C,1,53.06242716789933,-27.857619853690085,5820802.609831343,83,,0
2CXO J033216.1-274942,AGN,CDFS J03322-2749 ,0,53.067367633533365,-27.82835587136185,5820796.73792189,83,,0
2CXO J033212.9-275237,AGN,CDFS J03322-2752 ,1,53.05395804491258,-27.8769742461456,5820790.33171537,83,,0
2CXO J033214.5-275422,AGN,CDFS J03322-2754 ,1,53.06074198638669,-27.90618051681082,5820749.7895172825,83,,0
2CXO J033218.2-275241,AGN,CDFS J03323-2752 ,1,53.07596738228745,-27.878247405781174,5820746.689566479,83,,0
2CXO J033235.7-274916,AGN,CDFS J03325-2749 ,1,53.148772212835176,-27.821162260793496,5820130.492421214,83,,0
2CXO J033243.2-274914,AGN,CDFS J03327-2749 ,1,53.18014577326017,-27.82067576483993,5820114.3853064915,83,,0
2CXO J033255.5-274751,AGN,CDFS J03329-2747A,1,53.23125878932558,-27.79775737854329,5820073.137692613,83,,0
2CXO J033257.1-274534,AGN,ECDF-S 539       ,1,53.238137157580006,-27.759515578277195,5820048.419083098,83,,0
2CXO J033301.5-274542,AGN,CDFS J03330-2745A,1,53.25644174242939,-27.76181544364409,5820042.259793192,83,,0
2CXO J033242.8-274702,AGN,CDFS J03327-2747 ,1,53.17847436694603,-27.784081691208755,5819971.169595378,83,,0
2CXO J033239.0-274439,AGN,CDFS J03326-2744 ,1,53.162669117060716,-27.74432734486082,5819953.0556189185,83,,0
2CXO J033231.4-274623,AGN,CDFS J03325-2746 ,0,53.13109820656274,-27.77317240390205,5819916.058716255,83,,0
2CXO J033218.9-274755,AGN,ECDF-S 225       ,1,53.07912369672629,-27.798835140935363,5807521.93353314,83,,0
2CXO J033209.4-274807,AGN,CDFS J03321-2748 ,1,53.0393591702831,-27.801994946227783,5807521.771488697,83,,0
2CXO J033153.5-274843,AGN,CDFS J03318-2748 ,1,52.97300472250254,-27.811956068860674,5807509.290509135,83,,0
2CXO J033303.6-274518,AGN,CDFS J03330-2745B,1,53.265121279649414,-27.755200569076894,5608078.3122982085,80,,0
2CXO J033218.3-275055,AGN,CDFS J03323-2750 ,1,53.076417567298,-27.84877306393283,5580092.090285286,81,,0
2CXO J033213.2-275528,AGN,ECDF-S 265       ,1,53.055108957713635,-27.92469101981068,5322271.026729568,75,,0
2CXO J033152.5-274642,AGN,ECDF-S 183       ,0,52.96890376009981,-27.778549333318892,5085365.93109842,70,,0
2CXO J033250.1-274135,AGN,CDFS J03328-2741 ,1,53.20881182970135,-27.6930653984278,4399162.1424472965,64,,0
2CXO J033216.1-275644,AGN,ECDF-S 381       ,1,53.067275536883194,-27.945765828838812,3822924.86306368,53,,0
2CXO J033147.9-275045,AGN,CDFS J03317-2750 ,1,52.94976504229163,-27.84606370652726,3512385.8846829114,47,,0
2CXO J033249.1-274050,AGN,CDFS J03328-2740 ,1,53.20497906560303,-27.68070391682559,3412942.7457699687,49,,0
2CXO J123658.8+621434,AGN,CXOH J12369+6214 ,0,189.24518078686583,62.243002639235954,1797300.2974836018,17,,0
2CXO J123719.8+620955,AGN,SO3-MD12         ,0,189.33275883585918,62.16532907190237,1797294.0973852281,17,,0
2CXO J123715.9+621213,AGN,Q J12372+6212    ,1,189.31649621547558,62.20366090918922,1797290.997552305,17,,0
2CXO J123723.5+622113,AGN,B2.411           ,0,189.3483150385909,62.353709289407185,1797278.6384175168,17,,0
2CXO J123647.9+620941,AGN,B01.174          ,1,189.1997381500104,62.16151230380365,1797278.5978278671,17,,0
2CXO J123704.1+620754,AGN,B01.227          ,1,189.26709826280262,62.131940833390246,1797278.5978278671,17,,0
2CXO J123640.7+621041,AGN,CDFN J12366+6210 ,0,189.16989313604245,62.17822316661324,1797278.5977983112,17,,0
2CXO J123642.1+621545,AGN,Q J12367+6215    ,1,189.1758208734441,62.262713628909324,1797275.457530524,17,,0
2CXO J123716.6+621733,AGN,Q J12372+6217    ,1,189.31945442963183,62.292716106496776,1797275.3385681747,17,,0
2CXO J123704.6+621651,AGN,CXOH J12370+6216 ,1,189.26936576792218,62.28110673432425,1797275.3385681747,17,,0
2CXO J123702.7+621543,AGN,B01.223          ,1,189.26131548023116,62.26221280003028,1797275.3385681747,17,,0
2CXO J123642.2+621711,AGN,Q J12367+6217    ,1,189.17588484920861,62.28658787422334,1797269.238659773,17,,0
2CXO J123633.4+621418,AGN,CXOH J12365+6214 ,0,189.1394940076601,62.23846916692314,1797266.198103532,17,,0
2CXO J123651.7+621221,AGN,CXOH J12368+6212 ,1,189.21550120571374,62.206009445457795,1797266.198103532,17,,0
2CXO J123618.5+621115,AGN,CXOH J12363+6211 ,0,189.07740335201345,62.18756721255097,1797266.198103532,17,,0
2CXO J123629.1+621046,AGN,CXOH J12364+6210 ,0,189.1213135383704,62.1795088764194,1797266.198103532,17,,0
2CXO J123635.5+621424,AGN,SMM J12365+6214  ,1,189.14820321201728,62.24012876841072,1797266.198103532,17,,0
2CXO J123646.3+621404,AGN,CXOH J12367+6214 ,1,189.1929898120279,62.23471908212721,1797266.198103532,17,,0
2CXO J123639.5+621230,AGN,CXOH J12366+6212 ,0,189.16482920275803,62.2085019317289,1797266.198103532,17,,0
2CXO J123636.7+621156,AGN,CXOH J12366+6211 ,0,189.15312885387414,62.19895975297278,1797266.198103532,17,,0
2CXO J123636.6+621346,AGN,IW3_0817_0556    ,1,189.15255324417691,62.22969597468754,1797266.198103532,17,,0
2CXO J123757.3+621627,AGN,B01.348          ,1,189.4890215972512,62.274356469514636,1797266.0386368781,17,,0
2CXO J123629.2+621614,AGN,CXOH J12364+6216 ,0,189.12196037007308,62.27061114291031,1797253.739073102,17,,0
2CXO J123723.1+621538,AGN,BM 1384          ,1,189.34652039776324,62.26073417517071,1797238.1393650046,17,,0
2CXO J123629.4+621513,AGN,B2.161           ,1,189.12255533510532,62.253651677723504,1797232.0395159118,17,,0
2CXO J123605.8+621148,AGN,CDFN J12360+6211 ,1,189.02418807284187,62.19668513752928,1797232.0395159118,17,,0
2CXO J123622.9+621527,AGN,Q 1234+6231      ,1,189.09549441335116,62.25751011083122,1797232.0395159118,17,,0
2CXO J123612.9+621929,AGN,B01.076          ,1,189.0538495807064,62.32475421152445,1252309.84414581,11,,0
2CXO J123539.1+621600,AGN,B01.015          ,1,188.9129210457625,62.266812140698136,1243225.9996247191,12,,0
2CXO J033144.6-274519,AGN,ECDF-S 193       ,0,52.93612926315189,-27.755509642903217,1153527.608667564,19,,0
2CXO J033150.0-280102,AGN,ECDF-S 305       ,0,52.9587010001619,-28.017462694957942,1134230.241493548,14,,0
2CXO J123548.3+621703,AGN,CDFN J12358+6217 ,0,188.9513049889473,62.284337884792315,1127452.207987699,10,,0
2CXO J123537.0+621724,AGN,B01.013          ,1,188.9042718124209,62.2900140213565,1127452.207987699,10,,0
2CXO J123600.3+621925,AGN,B01.049          ,0,189.00162051906503,62.32384029665759,1127452.207987699,10,,0
2CXO J033151.8-280025,AGN,ECDF-S 298       ,1,52.96588072031233,-28.007207687223854,1076901.107909722,13,,0
2CXO J141747.3+523510,AGN,XMM J14177+5235  ,1,214.44730714768457,52.58624982196263,1025823.0918736423,28,,0
2CXO J033132.8-280116,AGN,ECDF-S 567       ,0,52.886742422086286,-28.02126072072475,1012707.6138579913,13,,0
2CXO J033130.6-275832,AGN,ECDF-S 339       ,0,52.87777704234952,-27.975747322175287,1012707.6138579913,13,,0
2CXO J033149.5-274320,AGN,EIS J03318-2743  ,1,52.956473899983905,-27.722228088487164,911259.2156032891,16,,0
2CXO J033154.4-274159,AGN,ECDF-S 180       ,1,52.976705426081374,-27.699858200455953,908606.2364566979,13,,0
2CXO J141745.9+523032,AGN,XMM J14176+5230  ,1,214.44150670302517,52.50905005051178,840797.9703059235,24,,0
2CXO J033301.4-280251,AGN,ECDF-S 442       ,1,53.256123114063826,-28.04763859011567,827257.369921669,12,,0
2CXO J033259.5-280123,AGN,ECDF-S 447       ,1,53.24809179180852,-28.023264277632318,827257.369921669,12,,0
2CXO J142005.6+530036,AGN,SDSS J14200+5300 ,1,215.02333857910784,53.01017887955182,772873.8361406231,29,,0
2CXO J141745.4+522951,AGN,XMM J14177+5229  ,0,214.4393298085921,52.49758678497953,761025.6161640205,20,,0
2CXO J123557.6+621023,AGN,B01.042          ,1,188.9901466697794,62.17332311340294,731422.5207811148,8,,0
2CXO J123529.3+621257,AGN,B2.011           ,1,188.8720943195359,62.21583441379568,731422.5207811148,8,,0
2CXO J033314.8-275749,AGN,ECDF-S 424       ,1,53.3118817525309,-27.963655954202608,699592.323956701,9,,0
2CXO J033309.7-275614,AGN,ECDF-S 431       ,1,53.290448785534686,-27.937262840217414,699592.323956701,9,,0
2CXO J033303.3-275922,AGN,ECDF-S 438       ,1,53.264105663748175,-27.989463552071552,695925.5960156521,10,,0
2CXO J033140.1-274746,AGN,ECDF-S 197       ,1,52.917357092646675,-27.79637888877809,674348.2857927629,9,,0
2CXO J123717.0+620552,AGN,B01.282          ,1,189.32094745626026,62.09799466182586,669792.2312525479,7,,0
2CXO J123716.1+620708,AGN,B01.276          ,0,189.3173862025227,62.11889913964858,669792.2312525479,7,,0
2CXO J010522.5-715649,AGN,Q J01053-7156    ,1,16.34395435127965,-71.94718802985398,667479.2759313929,78,29976.54384122,2
2CXO J151644.4+070117,AGN,3C 317.0         ,0,229.18535709939331,7.021615229003054,654014.9899825439,11,,0
2CXO J033122.2-275755,AGN,ECDF-S 348       ,0,52.842524944298475,-27.965397562170327,645253.916258049,7,,0
2CXO J033130.5-275143,AGN,ECDF-S 340       ,0,52.87742820486409,-27.86215701622067,600299.1243770571,10,,0
2CXO J033230.1-280020,AGN,ECDF-S 485       ,1,53.12581888450325,-28.00582294515543,576268.1012183559,6,,0
2CXO J033319.5-274950,AGN,ECDF-S 416       ,1,53.33155818034135,-27.830714090846595,568245.615120651,9,,0
2CXO J123428.1+620632,AGN,Q 1232+6223      ,0,188.61727454413986,62.1089845879305,551881.70051385,7,,0
2CXO J033244.2-273405,AGN,ECDF-S 111       ,1,53.1842978977798,-27.568138653640503,531987.2789129319,5,,0
2CXO J033158.8-273516,AGN,ECDF-S 173       ,0,52.995368415249736,-27.587876349775485,501018.523474387,6,,0
2CXO J224022.8+032450,AGN,CXOMP J22403+0324,1,340.0952760392923,3.4141281309388973,489577.5447053693,26,,0
2CXO J221736.5+001622,AGN,CDFS J22176+0016 ,0,334.40223100484553,0.2729550666537288,469946.81541290204,5,,0
2CXO J221722.7+002108,AGN,SDSS J22173+0021 ,0,334.34460533871743,0.35238692852908543,469940.453502396,5,,0
2CXO J033204.0-273725,AGN,CDFS J03320-2737 ,0,53.016930616508255,-27.623877295996905,435814.477346578,5,,0
2CXO J150255.2-415429,AGN,Q J1504-4152     ,0,225.73033372025745,-41.90821344943909,418230.56830665795,10,,0
2CXO J033137.8-273724,AGN,ECDF-S 203       ,0,52.90770692588581,-27.623551978242283,418202.88070185296,6,,0
2CXO J033139.2-273752,AGN,ECDF-S 200       ,0,52.913572324730474,-27.63129565580997,418202.88070185296,6,,0
2CXO J123645.1+620308,AGN,B01.166          ,1,189.18800172685607,62.052353501960475,401875.40959533904,4,,0
2CXO J221755.2+001512,AGN,SDSS J22179+0015 ,0,334.4800623339372,0.2535148808851988,391866.89177016297,4,,0
2CXO J104749.4+122748,AGN,SDSS J10478+1227 ,0,161.95616596076934,12.463409952451755,375598.7932898632,7,,0
2CXO J141449.5+361240,AGN,SDSS J14148+3612 ,1,213.70653608711723,36.211131790460364,367016.71205571404,5,,0
2CXO J095958.0+014327,AGN,SDSS J09599+0143 ,0,149.99168474173788,1.7241726319724304,344729.33739271003,7,,0
2CXO J141715.0+522312,AGN,XMM J14172+5223  ,0,214.31278194832544,52.38679546195936,341273.04144997627,12,,0
2CXO J100042.6+015323,AGN,COSM J10007+0153 ,1,150.1778940181257,1.889921342508936,336953.54501182004,9,79298.88475836901,1
2CXO J140416.7+541615,AGN,RXS J14042+5416  ,1,211.06983212931968,54.270869392016614,334229.73877229344,7,,0
2CXO J134815.6+264442,AGN,1WGA J1348.2+2644,1,207.06526298752206,26.7452641071145,334220.4279711281,25,,0
2CXO J100024.8+023956,AGN,COSM J10004+0239 ,1,150.10370619152047,2.665743443396046,332297.129385117,12,,0
2CXO J095943.7+022007,AGN,COSM J09597+0220 ,0,149.93231876312032,2.3354375422407623,331964.17729120806,11,,0
2CXO J095934.8+021421,AGN,SDSS J09595+0214 ,0,149.89537424295338,2.239426641592232,331845.03027849994,9,,0
2CXO J221805.7+000912,AGN,CDFS J22180+0009 ,1,334.524004643936,0.15340113339568506,320798.136555882,3,,0
2CXO J033124.9-273852,AGN,ECDF-S 215       ,0,52.8539785156878,-27.647825708291894,319329.26203441,4,,0
2CXO J122418.0+070948,AGN,SDSS J12243+0709 ,0,186.07500505393372,7.1633846972464825,306828.869580434,8,,0
2CXO J100012.4+014057,AGN,COSM J10002+0140 ,1,150.05190323428047,1.6827049782551378,297812.908050218,6,,0
2CXO J100214.1+020620,AGN,COSM J10022+0206 ,1,150.5590372525879,2.105698089519155,295223.911261308,7,,0
2CXO J100158.0+014621,AGN,COSM J10019+0146 ,1,150.49168853409788,1.7726347331046663,292635.165741749,8,,0
2CXO J100218.3+021053,AGN,COSM J10023+0210 ,0,150.57640461541644,2.181406811978902,292458.27918249497,7,,0
