name,ok,ra,dec,offset,cat_ra,cat_dec,cat_name,catalog,our_class,mw_class,mw_subclass,mw_ref,sep
2CXO J111521.3-611504,1,168.83883941470515,-61.25123487182888,0.04683109732833485,168.8388333,-61.25122220000001,Cl* NGC 3603 MTT 71        ,SKIFF,STAR,STAR,O4III,2016ApJ...823...96R,0.046832
2CXO J231340.7+612828,1,348.41997419300316,61.474461615280205,0.04688852863259392,348.4199583,61.47447220000001,[PMN2010] 39               ,SKIFF,STAR,STAR,K1,2010A&A...517A...2P,0.046889
2CXO J105416.4+512326,1,163.56868996247798,51.39061152619632,0.047225156884638415,163.5687,51.3906,SDSS J10542+5123 ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.24113800000000002
2CXO J174445.7-271344,0,266.1907234086141,-27.22902565509014,0.04897619106738158,266.1907083,-27.2290278,CD-27 11872                ,SKIFF,STAR,HMXB,,2006A&A...455.1165L,1.098317
2CXO J053524.4-052631,0,83.8519274263183,-5.442046906568488,0.04956963542457809,83.8519167,-5.4420556,[H97b] 758                 ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.049568
2CXO J105655.6-034030,1,164.23171376426455,-3.67500099577084,0.04957922557345242,164.2317,-3.675,CXOMP J10569-0340,VERONCAT,AGN,AGN,A,2010A&A...518A..10V,0.168042
2CXO J145125.9+580840,1,222.85831817065448,58.14469007292983,0.04968984284555656,222.8583,58.1447,SDSS J14514+5808 ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.11834000000000001
2CXO J053449.5-052903,0,83.70654866757627,-5.484265276477835,0.051536900425768084,83.7065417,-5.4842778,2MASS J05344956-0529033    ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.135743
2CXO J165400.1-395044,0,253.5005736389253,-39.84579085803491,0.053476307991948295,253.50057083333328,-39.84580555555557,V* V1033 Sco                       ,simbad,HMXB,LMXB,"T, D, M, R",2007A&A...469..807L,0.05349400000000001
2CXO J053504.6-052435,0,83.76956977728702,-5.4099658325967015,0.053612463038826434,83.7695833,-5.4099722,[H97b] 3084                ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.27869099999999997
2CXO J214832.2+044215,1,327.13421480573606,4.704397660293386,0.05378471563583937,327.1342,4.7044,HS 2146+0428     ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.23926999999999998
2CXO J104348.6-593324,1,160.9528555729952,-59.55676126990761,0.05386815569095592,160.952875,-59.55675,Cl Trumpler 14 21          ,SKIFF,STAR,STAR,O9V,2014ApJS..211...10S,0.05386799999999999
2CXO J053512.1-052433,0,83.80054354690253,-5.4093737143864535,0.05506748016848784,83.8005417,-5.4093889000000015,[H97b] 376                 ,SKIFF,STAR,YSO,P,2012AJ....144..192M,0.16536900000000002
2CXO J053533.6-044623,0,83.89036997422625,-4.773263258706002,0.055366634631460826,83.890375,-4.7732778,Haro 4- 25                 ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.285647
2CXO J084106.7+031206,1,130.27829959789722,3.201916210860709,0.058376992946436224,130.2783,3.2019,SDSS J08411+0312 ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.156277
2CXO J052253.7+333150,0,80.72399077458272,33.53076454963747,0.05924502872371225,80.72399999999998,33.53075,Cl* NGC 1893 Cuf 1204      ,SKIFF,STAR,YSO,A2IV,2002A&A...393..195M,0.05924600000000001
2CXO J091432.7+561238,1,138.6365115923477,56.210580258829324,0.06126505579730913,138.63654169999998,56.210583299999996,HD 237796                  ,SKIFF,STAR,STAR,K5,1928AnHar.100...49C,0.061265999999999994
2CXO J053455.5-053606,0,83.73147353964113,-5.601730015523679,0.06142365554971047,83.7314583,-5.6017222,ESO-HA 1060                ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.13935999999999998
2CXO J234820.8+010024,1,357.0866924824022,1.0067153605243215,0.061563425048729775,357.0867,1.0067,CXO J23483+0100  ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.19678299999999999
2CXO J053459.1-052307,0,83.74660990857512,-5.3855085880930345,0.0623018646187197,83.746625,-5.3855,[H97b] 189                 ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.297335
2CXO J104924.9-594943,1,162.35405367016702,-59.82882447109771,0.0623233293296331,162.3540833,-59.8288333,LS 1947                    ,SKIFF,STAR,STAR,O9.5/B0V,2016AJ....152..190A,0.062324
2CXO J213930.6+565910,0,324.8778651536054,56.98624948873935,0.06250556339488615,324.8778333,56.98625,[NSW2012] 340              ,SKIFF,STAR,HMXB,B1.5Ve,Simbad,0.07935700000000001
2CXO J181934.1-145803,1,274.8923898146905,-14.967676322499235,0.06525942022015475,274.8923875,-14.967658333333333,PSR J1819-1458                     ,SIMBAD,PULSAR,PULSAR,"RRAT,HE",2005AJ....129.1993M,0.074869
2CXO J053504.6-052623,0,83.76919363942255,-5.43976106472643,0.06593300810050627,83.7692083,-5.43975,[H97b] 254                 ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.282994
2CXO J104615.2-593217,1,161.56336422642403,-59.538260284474475,0.06605042668724785,161.563375,-59.538277799999996,[PTB2011] OBc 67           ,SKIFF,STAR,STAR,F,2016AJ....152..190A,0.066052
2CXO J053516.9-054555,0,83.8206069180784,-5.765495823338264,0.06648809866698956,83.820625,-5.7655,ESO-HA 1168                ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.119952
2CXO J110955.0-763241,0,167.4793716953734,-76.54473745825767,0.06662201094847882,167.4794167,-76.54472220000002,HJM C 1- 2                 ,SKIFF,STAR,YSO,M1.5,2003AJ....125.2134G,0.066621
2CXO J053507.0-052500,0,83.77939146911706,-5.4168149914101145,0.06802126747856628,83.779375,-5.4168056,[HC2000] 64                ,SKIFF,STAR,YSO,M7/9,2004ApJ...610.1045S,0.06802000000000001
2CXO J165419.7-414911,1,253.58208576291256,-41.81986944326857,0.07035521523813082,253.58208330000002,-41.819888899999995,HD 152270                  ,SKIFF,STAR,STAR,,2001NewAR..45..135V,0.030752999999999996
2CXO J071830.0-245944,0,109.625065863335,-24.99562296132798,0.07113469375289819,109.62508329999999,-24.9956111,Cl* NGC 2362 D 16          ,SKIFF,STAR,YSO,2,2011A&A...531A.141D,0.05430499999999999
