,true_class,no_permute,gal_b2,gal_l2,hard_hs,hard_hm,hard_ms,var_inter_prob_b,var_inter_sigma_b,var_intra_prob_b,var_inter_index_b,kp_intra_prob_b,var_intra_index_b,h-csc,b-csc,m-csc,s-csc,u-csc,0p3_8_csc,FUV,NUV,u-sdss,g-sdss,r-sdss,i-sdss,z-sdss,W1,W2,W3,W4,4.5 microns (IRAC),8.0 microns (IRAC),24 microns (MIPS),J,H,K,3.6 microns (IRAC),5.8 microns (IRAC),G,Bp,Rp,B-R,G-J,G-W2,Bp-H,Bp-W3,Rp-K,J-H,J-W1,W1-W2
0,HMXB,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,HMXB,AGN,AGN,AGN,AGN,HMXB,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN
1,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR
2,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN
3,YSO,YSO,STAR,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO,YSO
4,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV
5,HMXB,HMXB,HMXB,PULSAR,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,ULX,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,ULX,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB
6,ULX,HMXB,PULSAR,HMXB,HMXB,HMXB,ULX,HMXB,HMXB,ULX,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,ULX,HMXB,HMXB,HMXB,HMXB,HMXB,AGN,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB
7,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR,STAR
8,AGN,HMXB,ULX,HMXB,PULSAR,HMXB,HMXB,HMXB,HMXB,ULX,HMXB,HMXB,HMXB,HMXB,HMXB,ULX,HMXB,HMXB,ULX,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,AGN,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,ULX,HMXB,ULX,HMXB,ULX,ULX,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB,HMXB
9,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN,AGN
