,true_class,pred_class,pred_prob
0,AGN,AGN,0.9999653580029406
1,AGN,AGN,0.9999960082783823
2,HMXB,HMXB,0.9999886597278848
3,AGN,AGN,0.9727930896148879
4,AGN,AGN,0.9999757986435492
5,AGN,AGN,0.9999499247502951
6,ULX,ULX,0.9369314292452973
7,HMXB,HMXB,0.9933178290623825
8,AGN,AGN,0.9998986060950371
9,CV,AGN,0.6046615603172827
10,HMXB,HMXB,0.9989115894443015
11,YSO,YSO,0.9999002440682733
12,STAR,STAR,0.9998870177297795
13,AGN,AGN,0.9991474304262494
14,YSO,YSO,0.9999782704245479
15,HMXB,HMXB,0.9998094737775128
16,AGN,AGN,0.9999965556034728
17,HMXB,HMXB,0.9929081878240344
18,AGN,AGN,0.9998966051035107
19,STAR,STAR,0.9999937787320292
20,STAR,STAR,0.9999980583873824
21,STAR,STAR,0.9999103632846531
22,STAR,STAR,0.9999486255373745
23,YSO,YSO,0.9999344140654438
24,AGN,AGN,0.9999369278675994
25,YSO,YSO,0.9994665780031788
26,CV,LMXB,0.7404861818890904
27,STAR,YSO,0.97913243316871
28,STAR,STAR,0.9999776940408902
29,STAR,STAR,0.9999841651499414
30,AGN,PULSAR,0.8149163158502175
31,AGN,AGN,0.9600409968063793
32,HMXB,HMXB,0.9995556969044168
33,ULX,ULX,0.6536885762883511
34,AGN,ULX,0.7298990593408337
35,STAR,STAR,0.9999956621859398
36,AGN,AGN,0.9999484980991729
37,YSO,YSO,0.9999851296353507
38,STAR,STAR,0.9999964475624241
39,STAR,STAR,0.999475291748129
40,AGN,AGN,0.9999742344597694
41,AGN,AGN,0.9999965255759615
42,STAR,STAR,0.9998171414003462
43,STAR,STAR,0.999996185249872
44,STAR,STAR,0.9998708634962392
45,STAR,STAR,0.9999665234797904
46,STAR,STAR,0.9999034495094217
47,AGN,AGN,0.9999948151664827
48,AGN,AGN,0.999998932474265
49,HMXB,HMXB,0.9999918322929335
50,STAR,STAR,0.9998364495291175
51,STAR,STAR,0.9999851853676688
52,YSO,YSO,0.9996318273883856
53,STAR,STAR,0.9999659081640884
54,STAR,STAR,0.9999930688985879
55,STAR,STAR,0.9999473133206472
56,STAR,STAR,0.9998456380598462
57,STAR,STAR,0.9999404610934779
58,STAR,STAR,0.9999956932216193
59,HMXB,HMXB,0.9999925740718107
60,AGN,AGN,0.9999982445839566
61,AGN,AGN,0.9397189201683327
62,YSO,STAR,0.9992731781116316
63,STAR,STAR,0.9999778354777652
64,HMXB,HMXB,0.9690514187905488
65,YSO,YSO,0.9999799477778131
66,ULX,ULX,0.7789147924427658
67,YSO,YSO,0.9982929641156234
68,STAR,STAR,0.9999264120381426
69,AGN,AGN,0.9999132758446285
70,STAR,STAR,0.9996685897308585
71,AGN,AGN,0.9999864561766282
72,STAR,STAR,0.9999929037177767
73,AGN,AGN,0.9999990202288598
74,AGN,AGN,0.9999918282957105
75,STAR,STAR,0.9999730487708374
76,STAR,STAR,0.9999947749475415
77,YSO,YSO,0.9998539454284396
78,AGN,AGN,0.9999983025832628
79,LMXB,LMXB,0.9999956761385632
80,CV,CV,0.3242451089015437
81,STAR,STAR,0.9999835944369369
82,HMXB,HMXB,0.999713661687598
83,AGN,AGN,0.999998675090758
84,YSO,YSO,0.759308746253396
85,STAR,STAR,0.999947670850785
86,LMXB,LMXB,0.9999992944477436
87,STAR,STAR,0.9998704303660834
88,HMXB,HMXB,0.9999158797514965
89,AGN,AGN,0.9999945690733185
90,AGN,AGN,0.9998863615345488
91,YSO,YSO,0.9949069848016022
92,STAR,STAR,0.9999960344443775
93,AGN,AGN,0.9998040774931215
94,STAR,STAR,0.9998724009511989
95,STAR,STAR,0.9999626077938728
96,AGN,AGN,0.9998206776850224
97,STAR,STAR,0.9999949593390614
98,HMXB,HMXB,0.9721768260310699
99,YSO,YSO,0.9928034728264518
100,YSO,YSO,0.9999776236581512
101,AGN,AGN,0.9999739969033408
102,AGN,AGN,0.9999494935103529
103,STAR,STAR,0.9998772132911952
104,AGN,AGN,0.9999204344239868
105,STAR,STAR,0.9987669698713085
106,CV,ULX,0.9927336513374903
107,STAR,STAR,0.9999253439938526
108,STAR,STAR,0.9939067386847091
109,STAR,STAR,0.9999668524113212
110,AGN,AGN,0.9049634583088425
111,AGN,AGN,0.9999898556968496
112,YSO,YSO,0.9998835190128041
113,HMXB,HMXB,0.9999233906767364
114,HMXB,HMXB,0.9998227632697553
115,STAR,STAR,0.9999936055572795
116,STAR,STAR,0.999988979343363
117,AGN,AGN,0.9999874295448342
118,HMXB,HMXB,0.9999736052915037
119,AGN,AGN,0.9999963173803127
120,STAR,STAR,0.9999544651673618
