,true_class,pred_class,pred_prob
121,AGN,AGN,0.9999987979707261
122,STAR,STAR,0.9996140722676713
123,PULSAR,ULX,0.940685699836106
124,HMXB,HMXB,0.9999958029053899
125,YSO,YSO,0.8465988739437954
126,AGN,AGN,0.9999968578248727
127,CV,AGN,0.8646355042426145
128,YSO,YSO,0.9999245053949031
129,HMXB,HMXB,0.9996578176495647
130,STAR,STAR,0.9999456686969109
131,STAR,YSO,0.9970114026298731
132,STAR,STAR,0.9999825012561027
133,AGN,AGN,0.9999970147881829
134,STAR,STAR,0.9999753007664184
135,YSO,YSO,0.9992539088409677
136,AGN,AGN,0.9999972101800572
137,STAR,CV,0.9993993710024965
138,HMXB,HMXB,0.9992975342468242
139,STAR,STAR,0.9999870143384018
140,AGN,HMXB,0.9632176577031233
141,STAR,STAR,0.9999984160535755
142,AGN,AGN,0.9999816101010444
143,YSO,YSO,0.9998809092580657
144,STAR,STAR,0.9999427918013681
145,STAR,STAR,0.9999404744819701
146,YSO,YSO,0.9999691694395183
147,YSO,YSO,0.996067094979985
148,HMXB,HMXB,0.9084704084872334
149,HMXB,HMXB,0.9999271428260706
150,YSO,YSO,0.999924158930877
151,AGN,AGN,0.9999908648898022
152,HMXB,HMXB,0.9941834765042731
153,AGN,AGN,0.9999985240820427
154,AGN,AGN,0.999950200292985
155,ULX,ULX,0.9255006671730329
156,AGN,AGN,0.9999239087051448
157,ULX,ULX,0.9840069933391026
158,STAR,STAR,0.9996960618350765
159,AGN,AGN,0.9999974853901542
160,STAR,STAR,0.9999753723702147
161,LMXB,LMXB,0.999999005067493
162,STAR,STAR,0.9999891304803634
163,HMXB,HMXB,0.9997802895871037
164,YSO,YSO,0.9999496857081824
165,STAR,STAR,0.9999596605562154
166,AGN,AGN,0.9999574901769964
167,STAR,STAR,0.9975951042759622
168,YSO,YSO,0.968666753321604
169,AGN,AGN,0.9999977708430987
170,PULSAR,PULSAR,0.47578223978603135
171,STAR,STAR,0.9999939667992974
172,AGN,AGN,0.9992871689040924
173,AGN,AGN,0.9999912618479999
174,STAR,STAR,0.9999885464308216
175,AGN,AGN,0.9999984022677396
176,STAR,STAR,0.9998519424839508
177,STAR,STAR,0.9999219917229994
178,STAR,CV,0.9976644899238649
179,ULX,ULX,0.9655004773446694
180,YSO,YSO,0.9955500322958686
181,YSO,YSO,0.9998844218141819
182,STAR,STAR,0.9999662985378736
183,STAR,YSO,0.9995224075521363
184,ULX,ULX,0.9986596191607543
185,YSO,YSO,0.99882379888531
186,AGN,AGN,0.9997921565378391
187,STAR,STAR,0.9999876339525191
188,AGN,AGN,0.9999870841179426
189,STAR,STAR,0.998431345572081
190,AGN,AGN,0.9996180746662013
191,YSO,YSO,0.9989899146823775
192,AGN,AGN,0.9994837645559321
193,AGN,AGN,0.9999885723270078
194,HMXB,HMXB,0.9999660527138982
195,STAR,STAR,0.9999940176231602
196,HMXB,HMXB,0.9535384137647436
197,AGN,AGN,0.4951002869294814
198,STAR,STAR,0.9985155428589277
199,STAR,STAR,0.9999873035966188
200,HMXB,HMXB,0.9999011571685751
201,STAR,STAR,0.9464403617432403
202,AGN,AGN,0.9999878690946685
203,YSO,YSO,0.999978515315923
204,STAR,STAR,0.9999356313942043
205,STAR,STAR,0.9999717975842837
206,HMXB,HMXB,0.9995828625677726
207,AGN,AGN,0.9999972911964441
208,STAR,STAR,0.9999950089920084
209,STAR,STAR,0.9997960934947749
210,STAR,STAR,0.9999922438610719
211,STAR,STAR,0.9992577521017878
212,AGN,AGN,0.9990707155329366
213,AGN,AGN,0.9999956152487492
214,AGN,AGN,0.9999981622213397
215,AGN,AGN,0.9999888322909918
216,STAR,STAR,0.9999958367526084
217,STAR,STAR,0.9998285548917795
218,AGN,AGN,0.9999964120651187
219,AGN,AGN,0.8932572084966157
220,YSO,YSO,0.995509671643379
221,AGN,AGN,0.9999851311167762
222,CV,STAR,0.42052565130284714
223,YSO,YSO,0.9999580867985163
224,STAR,STAR,0.9998784716109841
225,HMXB,HMXB,0.9998430288813064
226,CV,PULSAR,0.854208868905559
227,AGN,AGN,0.8183161328341257
228,AGN,AGN,0.9949757948763304
229,AGN,AGN,0.9654178451824026
230,YSO,YSO,0.9882665226809141
231,STAR,STAR,0.9996482369427221
232,AGN,AGN,0.9999948165885464
233,STAR,STAR,0.9999810275504984
234,AGN,AGN,0.9999968227498363
235,STAR,STAR,0.9999841866886704
236,CV,CV,0.9807411295000277
237,AGN,AGN,0.9742552690134115
238,STAR,STAR,0.999420142839021
239,AGN,AGN,0.9999983925291496
240,AGN,AGN,0.999967801764589
241,STAR,STAR,0.9999744344495067
242,AGN,AGN,0.9999918038851224
243,AGN,AGN,0.9999946725281622
244,STAR,STAR,0.9999940552630274
245,YSO,YSO,0.9999957589311659
246,AGN,AGN,0.9972980794477027
247,YSO,YSO,0.9999893973866308
248,STAR,STAR,0.9999271645000444
249,AGN,AGN,0.9987563349429129
250,ULX,AGN,0.9802735264313247
251,YSO,YSO,0.9989495622164961
252,AGN,AGN,0.9999798410977121
253,AGN,AGN,0.9996193386554305
254,YSO,YSO,0.9981322466455839
255,AGN,AGN,0.9999775316504608
256,STAR,STAR,0.9999888665806214
257,AGN,AGN,0.9999771825546127
258,YSO,YSO,0.9998381623250383
259,AGN,AGN,0.999996417897647
260,STAR,STAR,0.9985727189306353
261,AGN,AGN,0.9984313460793948
262,AGN,AGN,0.9999948859734228
263,STAR,LMXB,0.727485967706454
264,STAR,STAR,0.9999978499297665
265,HMXB,HMXB,0.9999290524826926
266,STAR,STAR,0.9991896475812087
267,AGN,AGN,0.9999919612443751
268,AGN,AGN,0.9999980723531475
269,STAR,STAR,0.9999679129125216
270,AGN,AGN,0.999884816495485
271,STAR,STAR,0.9998929074965264
272,AGN,AGN,0.999977395762579
273,HMXB,HMXB,0.9998940239099839
274,PULSAR,ULX,0.9898797923968699
275,AGN,AGN,0.9999835664672369
276,LMXB,LMXB,0.9999994826468915
277,YSO,YSO,0.9999694659291767
278,HMXB,HMXB,0.9999662162475732
279,AGN,AGN,0.9999975492451868
280,STAR,STAR,0.9999045986945737
281,STAR,STAR,0.9999669790589621
282,AGN,AGN,0.9997822395805003
283,YSO,YSO,0.9999573290636588
284,STAR,STAR,0.9994104556367455
285,YSO,YSO,0.9989243175435492
286,YSO,YSO,0.9990727647041343
287,AGN,AGN,0.9999946933558794
288,STAR,STAR,0.9998140298860796
289,AGN,AGN,0.9128033494679336
290,AGN,AGN,0.9999960819703149
291,AGN,AGN,0.9174253535141017
292,STAR,STAR,0.63796978979714
293,HMXB,HMXB,0.9999798085097826
294,YSO,YSO,0.9999678688827234
295,AGN,AGN,0.9999621763969394
296,AGN,AGN,0.9999950723595962
297,AGN,AGN,0.9999909216261633
298,STAR,STAR,0.9999496933474807
299,AGN,AGN,0.9993913229473385
300,YSO,YSO,0.997703669705496
301,YSO,YSO,0.999438120737059
302,AGN,AGN,0.9999833758756224
303,YSO,YSO,0.9999816921003574
304,AGN,AGN,0.9999974059814433
305,STAR,STAR,0.9771124231665473
306,LMXB,ULX,0.818830927175552
307,STAR,STAR,0.9999125628131494
308,AGN,AGN,0.9999941135609028
309,YSO,YSO,0.9998898394693974
310,STAR,STAR,0.999945948362166
311,AGN,AGN,0.8934146730245361
312,YSO,YSO,0.9997262729041655
313,AGN,AGN,0.999946388135702
314,STAR,STAR,0.9999107389113782
315,AGN,AGN,0.9985492903491274
316,YSO,YSO,0.9899595708786474
317,AGN,AGN,0.9999837145786094
318,AGN,AGN,0.999837325869917
319,LMXB,LMXB,0.999999355979079
320,AGN,AGN,0.9999963186433273
321,AGN,AGN,0.9999978516668938
322,AGN,AGN,0.999998425464256
323,PULSAR,HMXB,0.5098956427263412
324,AGN,AGN,0.9999830730346271
326,STAR,STAR,0.9998351485473026
327,STAR,STAR,0.9951963595706885
328,HMXB,HMXB,0.5542260834983892
329,STAR,STAR,0.9999719877651508
330,AGN,AGN,0.9992486761351096
331,AGN,AGN,0.999428114687783
332,AGN,AGN,0.4732653918551369
333,LMXB,LMXB,0.9988855714426825
334,HMXB,HMXB,0.9995047149619238
335,STAR,STAR,0.9999745208489886
336,YSO,YSO,0.9999950723783048
337,YSO,YSO,0.9999660067366984
338,AGN,AGN,0.9997052125539231
339,STAR,STAR,0.9999713411147113
340,AGN,AGN,0.9929330254082743
341,YSO,YSO,0.9982967091448313
342,AGN,AGN,0.9996749968740427
343,YSO,YSO,0.9997807528094679
345,YSO,YSO,0.9999739794463569
346,YSO,YSO,0.9992711174765398
347,YSO,YSO,0.9999845484132368
348,YSO,YSO,0.9995980036623427
350,STAR,STAR,0.9999932744593911
351,ULX,ULX,0.9982017748267603
354,LMXB,LMXB,0.9999975108920378
355,STAR,STAR,0.9998993701939987
356,STAR,STAR,0.9999913634838075
357,YSO,YSO,0.9999827092320092
359,YSO,YSO,0.9928980897753237
360,STAR,STAR,0.9999430674472048
361,STAR,STAR,0.999948318853846
365,STAR,STAR,0.9999964389238686
368,STAR,STAR,0.9998482003582203
370,STAR,STAR,0.9998235658993314
372,STAR,STAR,0.9999572997856678
373,STAR,STAR,0.9998365642842918
378,STAR,STAR,0.9999592700822998
382,HMXB,HMXB,0.994823049313557
384,STAR,STAR,0.9999952662864963
386,STAR,STAR,0.9986044655964974
388,HMXB,HMXB,0.9999358787282604
389,ULX,ULX,0.7189121736460781
390,STAR,STAR,0.9998925067295864
391,STAR,STAR,0.9999415363454066
392,STAR,STAR,0.9999479465474294
395,STAR,STAR,0.9984397992733206
396,STAR,STAR,0.9994432280212542
397,HMXB,HMXB,0.9931566419129173
399,STAR,STAR,0.9994793455068832
402,STAR,AGN,0.498574558247014
403,STAR,STAR,0.9999908345306581
404,STAR,STAR,0.9999902616968002
407,STAR,STAR,0.9999943743918248
409,STAR,STAR,0.9999651788409181
411,STAR,STAR,0.9937823866785871
416,STAR,STAR,0.9999863736328267
419,STAR,STAR,0.9998741586441234
420,STAR,STAR,0.9999931047920267
426,HMXB,HMXB,0.4088850792200854
434,HMXB,HMXB,0.9996141930434457
542,PULSAR,PULSAR,0.5372201319437345
325,CV,CV,0.9956931914272059
344,AGN,AGN,0.9999967617472634
349,AGN,AGN,0.9998725734406823
352,AGN,AGN,0.9999975848917347
353,AGN,AGN,0.9999846638214388
358,AGN,AGN,0.9998873671679633
362,LMXB,LMXB,0.9999966629358923
363,AGN,AGN,0.9999767501614241
364,YSO,YSO,0.9961942776533294
366,YSO,YSO,0.9999798596073141
367,CV,CV,0.9632913774793985
369,AGN,AGN,0.9998723827697631
371,YSO,YSO,0.9995771271117281
374,AGN,AGN,0.99998917585377
375,CV,YSO,0.4893481621280737
376,YSO,YSO,0.9999441656511541
377,YSO,YSO,0.9998939028946082
379,AGN,ULX,0.6360748359340731
380,AGN,AGN,0.999980642266924
381,CV,CV,0.9945301370447651
383,AGN,AGN,0.9993358172719253
385,YSO,YSO,0.9998710698996857
387,YSO,YSO,0.9998481809319406
393,YSO,YSO,0.9999797252183419
394,AGN,AGN,0.9999705406101468
398,AGN,AGN,0.9992359536672331
400,AGN,AGN,0.9998382831301229
401,AGN,AGN,0.9999903491364938
405,AGN,AGN,0.9999855634623873
406,AGN,AGN,0.9999942525661476
408,AGN,AGN,0.9999955142598407
410,YSO,YSO,0.999628014184948
412,AGN,AGN,0.999980164937043
413,ULX,ULX,0.9915327908277576
414,AGN,AGN,0.9998211308139685
415,AGN,AGN,0.9980625850347522
417,AGN,AGN,0.9999729179617538
418,LMXB,STAR,0.9324361018863733
421,AGN,AGN,0.9999234230168882
422,STAR,STAR,0.9999359186735429
423,AGN,LMXB,0.5431551179868022
424,STAR,STAR,0.9999985325524388
425,STAR,STAR,0.9999945745064686
427,AGN,AGN,0.9999992296944306
428,AGN,AGN,0.9999185763489066
429,STAR,STAR,0.9999973760754942
430,STAR,STAR,0.9999839728914768
431,YSO,STAR,0.5313744211742956
432,YSO,YSO,0.9999179438722232
433,YSO,YSO,0.8335946712833164
435,AGN,AGN,0.9999923877620432
436,STAR,STAR,0.9933148548520017
437,STAR,STAR,0.9999915871882841
438,HMXB,HMXB,0.9976725441620082
439,AGN,AGN,0.9999293364422994
440,STAR,STAR,0.9999964402261747
441,AGN,AGN,0.9995139119571647
442,CV,PULSAR,0.44015647687428205
443,STAR,STAR,0.9999388528611874
444,AGN,AGN,0.9999944208324154
445,YSO,YSO,0.9999746231416906
446,STAR,STAR,0.9993746989316861
447,YSO,YSO,0.9999980124523411
448,STAR,STAR,0.9995205122630809
449,STAR,STAR,0.9999279080449955
450,HMXB,HMXB,0.9999862019883576
451,LMXB,LMXB,0.9999976668011101
452,STAR,STAR,0.9999881372033796
453,AGN,AGN,0.9999932876893504
454,CV,CV,0.5719740652091088
455,STAR,STAR,0.9994016760158908
456,HMXB,HMXB,0.9998926459325377
457,ULX,ULX,0.7794103691188535
458,AGN,AGN,0.999912447377045
459,STAR,YSO,0.9932348800002662
460,STAR,STAR,0.9999762723816399
461,YSO,YSO,0.999262452220472
462,STAR,CV,0.549636599564306
463,AGN,AGN,0.9992542879491275
464,AGN,AGN,0.9993203575970732
465,STAR,STAR,0.9999948943523786
466,YSO,YSO,0.9997926877153452
467,AGN,AGN,0.9999955708089494
468,STAR,STAR,0.9999993579061346
469,STAR,STAR,0.9998541811642438
470,STAR,STAR,0.9995830335177489
471,STAR,STAR,0.9999901410558195
472,STAR,STAR,0.9940911186249446
473,HMXB,HMXB,0.9993069206889521
474,STAR,STAR,0.9972693403212949
475,AGN,AGN,0.9999845665577223
476,STAR,STAR,0.9980894645867053
477,AGN,AGN,0.9999685264153652
478,HMXB,HMXB,0.9990470349153946
479,STAR,STAR,0.9999936116805479
480,STAR,STAR,0.9999902742259906
481,STAR,STAR,0.9999783272177473
482,STAR,STAR,0.999994614621223
483,LMXB,LMXB,0.9999955688839456
484,AGN,AGN,0.8784784511586495
485,AGN,AGN,0.9999966694618637
486,STAR,STAR,0.9999980106166874
487,STAR,STAR,0.9999103953639866
488,STAR,STAR,0.9999991283045182
489,STAR,STAR,0.9999987688253701
490,AGN,AGN,0.999993731988818
491,AGN,AGN,0.9958303387617927
492,HMXB,HMXB,0.9984635176345418
493,HMXB,HMXB,0.9964850095410543
494,STAR,STAR,0.9999042705782465
495,AGN,AGN,0.9999724991540301
496,LMXB,LMXB,0.9999979263147935
497,STAR,STAR,0.9997447768618755
498,STAR,STAR,0.9999696109674866
499,LMXB,LMXB,0.9061918330736979
500,STAR,STAR,0.9999966264043826
501,ULX,ULX,0.5318827527617618
502,STAR,STAR,0.9946921019516867
503,STAR,STAR,0.9999964561396756
504,STAR,STAR,0.9976874824709906
505,STAR,STAR,0.988122310469222
506,STAR,STAR,0.9999762042389213
507,AGN,AGN,0.9976182758083514
508,STAR,STAR,0.712335156228243
509,AGN,AGN,0.8997482438942879
510,HMXB,HMXB,0.999995891972903
511,AGN,AGN,0.9826052592450025
512,STAR,STAR,0.9999905364822814
513,HMXB,HMXB,0.8795424474106512
514,STAR,STAR,0.9116721184997356
515,STAR,STAR,0.9999963211466458
516,STAR,STAR,0.9998908364016484
517,STAR,STAR,0.9999991214481858
518,CV,STAR,0.9993987824870054
519,HMXB,HMXB,0.9514352994873859
520,YSO,YSO,0.9999485306271209
521,YSO,YSO,0.9997305460905004
522,AGN,AGN,0.9999966937032337
523,AGN,AGN,0.9997508571490992
524,AGN,AGN,0.9999362630755408
525,STAR,STAR,0.9999836350712266
526,HMXB,HMXB,0.544864305492231
527,STAR,STAR,0.9999801367170523
528,STAR,STAR,0.6844796913461748
529,STAR,STAR,0.992749941666119
530,AGN,HMXB,0.6970041955338423
531,HMXB,HMXB,0.994043043032588
532,YSO,YSO,0.7046704218278548
533,AGN,AGN,0.9999957371104988
534,AGN,ULX,0.6509275881663562
535,LMXB,LMXB,0.9999943436051356
536,CV,CV,0.7599698751062096
537,STAR,STAR,0.9999893752170677
538,YSO,YSO,0.5468883469610774
539,STAR,STAR,0.9932167030976794
540,HMXB,HMXB,0.9986722227809894
541,AGN,AGN,0.9999730384246094
543,AGN,AGN,0.9994999947867543
544,HMXB,HMXB,0.9999956098387018
545,AGN,AGN,0.9999596812967719
546,AGN,AGN,0.9999441747834218
547,AGN,AGN,0.9999405462573054
548,HMXB,HMXB,0.9995248788326823
549,AGN,AGN,0.9995972364980811
550,LMXB,PULSAR,0.9881103596911973
551,STAR,STAR,0.9999517853582152
552,HMXB,HMXB,0.9999765847370492
553,AGN,AGN,0.9999978861470327
554,STAR,STAR,0.9965828584948818
555,YSO,YSO,0.9999929819103193
556,STAR,STAR,0.9999910831921053
557,AGN,AGN,0.9995637023753001
558,HMXB,HMXB,0.9999958384431571
559,HMXB,HMXB,0.8586858796950158
560,AGN,AGN,0.9999976618367129
561,STAR,STAR,0.9794653864693464
562,AGN,AGN,0.9999765586089323
563,YSO,YSO,0.9996195797136497
564,STAR,STAR,0.9999890454285517
565,YSO,YSO,0.9977784179014774
566,AGN,AGN,0.8919509565081861
567,STAR,STAR,0.9999985840898358
568,YSO,YSO,0.8609730878905999
569,HMXB,CV,0.8733759842501496
570,HMXB,HMXB,0.9980187593452556
571,AGN,AGN,0.9955246646781206
572,AGN,AGN,0.9999564377113431
573,STAR,STAR,0.9999533096115397
574,AGN,AGN,0.9999973163841522
575,AGN,AGN,0.9999866349385557
576,HMXB,ULX,0.9960624218485356
577,AGN,AGN,0.9999827886152495
578,AGN,AGN,0.9998931683041323
579,YSO,YSO,0.9997688955005414
580,STAR,STAR,0.9999722123912994
581,HMXB,YSO,0.9207209557875928
582,AGN,AGN,0.9999987534073648
583,STAR,STAR,0.9999757254189302
584,AGN,AGN,0.9844847855746702
585,STAR,STAR,0.9999221116219708
586,AGN,AGN,0.9999328770960452
587,STAR,STAR,0.9978251228249009
588,STAR,STAR,0.9999817053977434
589,YSO,YSO,0.9994527608812245
590,YSO,YSO,0.9999652754897721
591,AGN,AGN,0.999990538438986
592,STAR,STAR,0.9985582768287955
593,STAR,STAR,0.9999898430173045
594,HMXB,HMXB,0.9999349933737666
595,STAR,STAR,0.9999938052841416
596,STAR,YSO,0.9561220887997144
597,STAR,STAR,0.9999953225821266
599,AGN,AGN,0.9997712260093894
600,STAR,STAR,0.9999932172050708
601,STAR,STAR,0.9999956688041486
602,STAR,STAR,0.9999912501594289
603,YSO,YSO,0.9976390529319755
604,STAR,STAR,0.676932987958282
605,HMXB,HMXB,0.9991945785614987
606,YSO,YSO,0.9999911496122285
607,STAR,STAR,0.9998874756699448
608,STAR,STAR,0.9999738712939473
609,YSO,YSO,0.9998393740284243
610,STAR,STAR,0.9999978520658681
611,AGN,AGN,0.9980021352657107
612,STAR,CV,0.509718252710061
613,YSO,YSO,0.9973736745779933
614,AGN,AGN,0.9999919865358354
615,YSO,YSO,0.9999681332750614
616,AGN,AGN,0.9999973727927327
617,STAR,STAR,0.9999966803434076
618,YSO,YSO,0.9999764561946533
619,AGN,AGN,0.9996994765206226
620,AGN,AGN,0.999974235728061
621,HMXB,HMXB,0.9999870226954362
622,AGN,AGN,0.9999918827915119
624,AGN,AGN,0.9999912625686072
625,STAR,STAR,0.9999590273360794
626,STAR,STAR,0.9999924159045598
627,AGN,AGN,0.9999883987359041
629,AGN,AGN,0.9997735180388843
630,STAR,STAR,0.9999978775887115
631,YSO,YSO,0.9999502570792922
632,STAR,STAR,0.9999751497825105
633,STAR,STAR,0.999997151892388
634,HMXB,STAR,0.9989017181819615
635,YSO,YSO,0.999839125018048
636,YSO,YSO,0.9810045558030204
637,HMXB,HMXB,0.9999797801063931
638,STAR,STAR,0.9999289384235268
639,HMXB,HMXB,0.9911119010333637
640,AGN,AGN,0.9999969170844221
641,AGN,AGN,0.9999920705721428
642,AGN,AGN,0.9999879769232656
643,STAR,AGN,0.9990383388940631
644,STAR,STAR,0.9998105412598495
645,AGN,AGN,0.9999028089250311
646,AGN,AGN,0.9998567408605107
647,YSO,YSO,0.9995546688429486
648,STAR,STAR,0.999992897359216
649,STAR,STAR,0.9999318090593272
650,AGN,AGN,0.9978389543233809
651,ULX,ULX,0.9006848126547223
652,ULX,ULX,0.5398990352980644
653,YSO,YSO,0.9998673927455566
654,YSO,YSO,0.999761946461205
655,AGN,AGN,0.9999897352152224
656,HMXB,PULSAR,0.7530687394487517
657,STAR,STAR,0.9923520826218314
658,STAR,STAR,0.9999980099054046
659,AGN,AGN,0.9998538886735905
660,AGN,AGN,0.9988284954848669
661,HMXB,HMXB,0.9998217594264769
662,STAR,STAR,0.999978275477081
663,STAR,STAR,0.9999996269234639
664,AGN,AGN,0.99999672656727
665,YSO,YSO,0.999653545347864
666,AGN,AGN,0.9999843182572797
667,STAR,STAR,0.9999053826173941
669,AGN,AGN,0.9916113489795984
670,STAR,STAR,0.9999853429477341
671,AGN,AGN,0.9999918888804235
672,STAR,STAR,0.8836995694966548
673,AGN,AGN,0.9999912502097595
674,STAR,STAR,0.9980443794031213
675,STAR,STAR,0.9948946822891264
676,AGN,AGN,0.9999797237474289
677,STAR,STAR,0.9999787212883177
678,STAR,STAR,0.9994197467629883
679,STAR,CV,0.5128319861529557
680,ULX,ULX,0.9935392560594494
681,ULX,ULX,0.987830776299209
682,AGN,AGN,0.999581633669352
683,STAR,STAR,0.999951111775558
684,AGN,AGN,0.9998360965490279
685,YSO,YSO,0.9994583720491484
686,STAR,STAR,0.9977110864409807
687,ULX,HMXB,0.9991674407211865
688,AGN,AGN,0.9999034407119104
689,STAR,STAR,0.9999765690215497
691,YSO,YSO,0.9999770987325793
692,AGN,AGN,0.999996319478254
693,HMXB,HMXB,0.6292219635179546
694,STAR,STAR,0.9999983834133285
695,STAR,STAR,0.994327361134349
696,AGN,AGN,0.7373938342041731
697,HMXB,HMXB,0.9998163629368338
698,HMXB,HMXB,0.9202389768876529
699,AGN,AGN,0.9998710438950736
700,AGN,AGN,0.9996221677665382
701,HMXB,HMXB,0.9999944477694168
702,AGN,AGN,0.999994179137939
703,STAR,STAR,0.9999927961799813
705,STAR,STAR,0.999977981763794
706,STAR,STAR,0.9999114847638864
707,YSO,YSO,0.9987922943846187
708,YSO,YSO,0.9984385040095741
710,AGN,AGN,0.999912632958431
711,YSO,YSO,0.9999478365240984
712,AGN,AGN,0.9999584277114764
713,YSO,YSO,0.936840961286958
714,AGN,AGN,0.999765059463845
715,STAR,STAR,0.7781802496225014
716,AGN,AGN,0.9999977795664187
719,STAR,STAR,0.9976625697122559
720,YSO,YSO,0.9999649230343621
721,STAR,STAR,0.9999981202742017
722,YSO,YSO,0.9999656651687506
723,AGN,AGN,0.9994062651895902
724,STAR,STAR,0.99998720552119
725,AGN,AGN,0.9939396220213816
726,YSO,YSO,0.924347168622496
727,YSO,YSO,0.9627131688502621
728,STAR,STAR,0.9999903532107691
729,STAR,STAR,0.9999691594390678
730,STAR,STAR,0.9999647833923205
731,STAR,STAR,0.9999959199660912
732,STAR,STAR,0.999967976724057
733,HMXB,HMXB,0.9749750016738274
734,HMXB,HMXB,0.9999771580091151
735,YSO,YSO,0.9605701628356729
736,YSO,YSO,0.9999882893554543
737,AGN,AGN,0.9999987942974604
738,STAR,STAR,0.9963707774083395
