N,Identifier,Otype,ICRS (J2000) RA,ICRS (J2000) DEC
117,CXOGlb J002404.5-720517,X,00 24 04.556,-72 05 17.69
118,CXOGlb J002404.6-720434,X,00 24 04.634,-72 04 34.38
119,PSR J0023-72O,Psr,00 24 04.637,-72 04 53.71
120,CXOGlb J002404.6-720509,X,00 24 04.669,-72 05 09.40
121,CXOGlb J002404.8-720446,XB*,00 24 04.902,-72 04 46.19
122,CXOGlb J002404.9-720437,X,00 24 04.911,-72 04 37.23
123,CXOGlb J002404.9-720455,CV*,00 24 04.913,-72 04 55.36
124,CXOGlb J002404.9-720522,X,00 24 04.935,-72 05 22.57
125,CXOGlb J002404.9-720506,CV*,00 24 04.956,-72 05 06.08
126,CXOGlb J002404.9-720454,X,00 24 04.987,-72 04 53.95
127,CXOGlb J002404.9-720329,X,00 24 04.989,-72 03 29.84
128,[GHE2001] W202,X,00 24 05.006,-72 04 43.60
129,CXOGlb J002404.9-720451,X,00 24 05.007,-72 04 51.27
130,CXOGlb J002405.1-720502,XB?,00 24 05.056,-72 05 02.77
131,CXOGlb J002405.1-720435,X,00 24 05.098,-72 04 35.21
132,CXOGlb J002405.1-720604,XB*,00 24 05.156,-72 06 04.46
133,CXOGlb J002405.1-720404,EB*,00 24 05.158,-72 04 04.24
134,CXOGlb J002405.1-720515,X,00 24 05.169,-72 05 15.09
135,CXOGlb J002405.2-720446,CV*,00 24 05.216,-72 04 46.59
136,CXOGlb J002405.2-720315,X,00 24 05.274,-72 03 15.78
137,NGC   104,GlC,00 24 05.359,-72 04 53.20
138,CXOGlb J002405.3-720421,CV*,00 24 05.364,-72 04 21.53
139,CXOGlb J002405.3-720511,X,00 24 05.379,-72 05 11.12
140,CXOGlb J002405.4-720457,V*,00 24 05.440,-72 04 57.06
141,CXOGlb J002405.6-720504,CV*,00 24 05.662,-72 05 04.51
142,PSR J0024-7204R,Psr,00 24 05.670,-72 04 52.62
143,CXOGlb J002405.6-720452,BY*,00 24 05.694,-72 04 52.61
144,[GHE2001] W32,CV*,00 24 05.7472103520,-72 04 49.401989364
145,CXOGlb J002405.9-720510,X,00 24 05.936,-72 05 10.77
146,CXOGlb J002406.0-720501,X,00 24 05.998,-72 05 01.37
147,CXOGlb J002406.0-720346,X,00 24 06.013,-72 03 46.23
148,Cl* NGC  104    MAM M54898,CV*,00 24 06.013,-72 04 56.20
149,PSR B0021-72W,Psr,00 24 06.0580,-72 04 49.088
150,CXOGlb J002406.0-720449,Psr,00 24 06.064,-72 04 48.93
151,CXOGlb J002406.0-720725,X,00 24 06.085,-72 07 25.44
152,CXOGlb J002406.1-720451,X,00 24 06.137,-72 04 51.43
153,CXOGlb J002406.1-720504,X,00 24 06.151,-72 05 04.12
154,CXOGlb J002406.1-720542,X,00 24 06.172,-72 05 42.84
155,Cl* NGC  104  AGBWF  2-6,EB*,00 24 06.314,-72 04 16.94
156,CXOGlb J002406.3-720439,X,00 24 06.346,-72 04 38.96
157,CXOGlb J002406.3-720443,CV*,00 24 06.397,-72 04 42.97
158,Cl* NGC  104    EGG V23,BY*,00 24 06.429,-72 04 52.79
159,Cl* NGC  104  AGBWF  2-17,BY*,00 24 06.436,-72 04 30.11
160,CXOGlb J002406.5-720451,X,00 24 06.454,-72 04 51.00
161,CXOGlb J002406.6-720542,BY*,00 24 06.626,-72 05 42.38
162,CXOGlb J002406.6-720453,X,00 24 06.656,-72 04 53.38
163,PSR J0024-72H,Psr,00 24 06.686,-72 04 06.74
164,CXOGlb J002406.8-720512,XB*,00 24 06.869,-72 05 12.29
165,CXOGlb J002406.9-720509,X,00 24 06.918,-72 05 09.90
166,[GHE2001] W201,X,00 24 07.060,-72 04 42.68
167,CXOGlb J002407.1-720420,BY*,00 24 07.137,-72 04 20.24
168,CXOGlb J002407.1-720545,CV*,00 24 07.141,-72 05 45.67
169,CXOGlb J002407.1-720507,X,00 24 07.150,-72 05 07.00
