angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,name,ra,dec,class,prob,prob_margin,gal_l,gal_b,var_flag,b-csc,h-csc,m-csc,s-csc,u-csc,hard_hm,hard_hs,hard_ms,var_intra_index_b,var_intra_prob_b,ks_intra_prob_b,kp_intra_prob_b,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,W4mag,fuv_mag,nuv_mag,g_mag,bp_mag,rp_mag,bp-R,g-J,g-W2,bp-H,bp-W3,rp-K,J-H,J-W1,W1-W2,r
0.958604,6.02131752514,-72.08383118297,0.0011205,0.0007486,174.03,4689639266844757632,6.02139808200,0.0425,-72.08384226334,0.0425,0.3380,0.0482,7.0069,6.108,5.576,0.046,-2.493,0.071,200,18.8797,3074.95,0.340,1.148e+02,95,1.3909,0.0097,15,2.096,0,4.90438e+05,1.40595e+03,11.460905,3.52413e+05,5.87579e+03,11.470914,7.30188e+05,10.089309,2.207,1.381605,,,0,,,,,,,0.004157,0.018316,0.007796,11.460905,0.004157,4.90438e+05,0.951,0.7536,1.1172,-0.0854,2CXO J002405.0-720502,6.0212045853446075,-72.08409518551117,STAR,0.8189402368106852,0.6383079155953646,305.89525,-44.88644,0,6.734904980501901E-16,3.0480266092264995E-16,,,,-0.24484697064335,-0.51093066833229,-0.29106808244846993,1.0,0.6362348612323101,0.45832609691726,0.57506991299514,0.0,0.10204633789786,1.7881588014065E-7,,,,,,,,,,,,,,,11.460905,11.470914,10.089309,1.3816050000000004,,,,,,,,,10.490930497792952
2.632538,6.02325200223,-72.08446675870,0.0001917,0.0001195,98.41,4689639266848621184,6.02325200223,0.1905,-72.08446675870,0.1215,,,,,,,,,58,31.3455,1467.81,0.553,1.115e+02,3,,,7,,0,1.59689e+05,2.56447e+02,12.679178,,,,,,,,,,0,,,,,,,0.003261,,,12.679178,0.003261,1.59689e+05,,0.1905,0.1215,-0.1406,2CXO J002405.0-720502,6.0212045853446075,-72.08409518551117,STAR,0.8189402368106852,0.6383079155953646,305.89525,-44.88644,0,6.734904980501901E-16,3.0480266092264995E-16,,,,-0.24484697064335,-0.51093066833229,-0.29106808244846993,1.0,0.6362348612323101,0.45832609691726,0.57506991299514,0.0,0.10204633789786,1.7881588014065E-7,,,,,,,,,,,,,,,11.460905,11.470914,10.089309,1.3816050000000004,,,,,,,,,10.490930497792952
2.756588,6.02031900102,-72.08481080648,0.0014445,0.0009605,106.30,4689639266848613888,6.02031900102,1.4124,-72.08481080648,1.0071,,,,,,,,,58,234.7968,225308.40,5.116,7.376e+03,3,,,8,,0,1.46514e+05,2.33901e+03,12.772668,1.93954e+05,9.66789e+03,12.119293,2.92206e+05,11.083674,3.318,1.035620,,,0,,,,,,,0.017551,0.054192,0.021815,12.772668,0.017551,1.46514e+05,2.098,1.4124,1.0071,-0.2205,2CXO J002405.0-720502,6.0212045853446075,-72.08409518551117,STAR,0.8189402368106852,0.6383079155953646,305.89525,-44.88644,0,6.734904980501901E-16,3.0480266092264995E-16,,,,-0.24484697064335,-0.51093066833229,-0.29106808244846993,1.0,0.6362348612323101,0.45832609691726,0.57506991299514,0.0,0.10204633789786,1.7881588014065E-7,,,,,,,,,,,,,,,11.460905,11.470914,10.089309,1.3816050000000004,,,,,,,,,10.490930497792952
2.884567,6.02299709659,-72.08351383806,0.0194473,0.0065815,125.79,4689639266848575872,6.02299709659,16.2383,-72.08351383806,12.5631,,,,,,,,,32,184.9385,151497.77,14.061,1.080e+04,3,,,5,,0,1.70795e+05,3.57957e+02,12.606176,,,,,,,,,,0,,,,,,,0.003573,,,12.606176,0.003573,1.70795e+05,,16.2383,12.5631,-0.7787,2CXO J002405.0-720502,6.0212045853446075,-72.08409518551117,STAR,0.8189402368106852,0.6383079155953646,305.89525,-44.88644,0,6.734904980501901E-16,3.0480266092264995E-16,,,,-0.24484697064335,-0.51093066833229,-0.29106808244846993,1.0,0.6362348612323101,0.45832609691726,0.57506991299514,0.0,0.10204633789786,1.7881588014065E-7,,,,,,,,,,,,,,,11.460905,11.470914,10.089309,1.3816050000000004,,,,,,,,,10.490930497792952
1.179299,6.03473628909,-72.08074128183,0.0017096,0.0012448,179.83,4689639266844729088,6.03480432775,0.0680,-72.08075423941,0.0837,0.4380,0.0805,5.4420,5.539,4.710,0.077,-2.915,0.109,247,35.2286,12038.44,0.712,5.053e+02,95,1.3305,0.0180,19,2.976,0,6.14015e+05,1.11967e+03,11.216920,3.05347e+05,2.88101e+03,11.626557,7.76641e+05,10.022345,1.762,1.604213,,,0,,,,,,,0.003393,0.010617,0.005431,11.216920,0.003393,6.14015e+05,0.479,1.2448,1.7096,-0.0019,2CXO J002408.1-720451,6.033777406316857,-72.08088365886552,STAR,0.5690691091152768,0.15475906568944642,305.890529,-44.890193,0,5.773348185719499E-16,3.3833822159741E-16,1.5246140244219E-16,3.1541908353484E-16,7.716516309129301E-17,0.011242973141786005,-0.49594003747658,-0.49094316052466996,0.0,0.49859961924708,0.8455300770711501,0.7650885770315,3.0,0.37074522793288,5.6408435320135E-7,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33411365906963
0.499925,6.02325200223,-72.08446675870,0.0001917,0.0001195,98.41,4689639266848621184,6.02325200223,0.1905,-72.08446675870,0.1215,,,,,,,,,58,31.3455,1467.81,0.553,1.115e+02,3,,,7,,0,1.59689e+05,2.56447e+02,12.679178,,,,,,,,,,0,,,,,,,0.003261,,,12.679178,0.003261,1.59689e+05,,0.1905,0.1215,-0.1406,2CXO J002405.6-720504,6.023684383579964,-72.0845066780803,CV,0.9973930377644705,0.9953029298318381,305.8940990000001,-44.886146999999994,1,1.0913283155452001E-15,3.9368067861322004E-16,3.3184246926027994E-16,5.1075433046153E-16,1.4265532201198E-16,-0.23860087445347,-0.57963772642099,-0.38975640224859,8.0,0.9999999975208199,0.9999999916198082,0.9999999999987148,7.0,0.9999969962756636,1.2167198420417E-6,,,,,,,,,,,,,,,,,,,,,,,,,,,11.624227141312847
1.769133,6.02516005187,-72.08431842512,0.0044180,0.0040257,30.81,4689639266845737344,6.02520377392,0.2230,-72.08433754478,0.2534,1.4827,0.2922,5.0747,5.260,3.026,0.254,-4.302,0.280,77,51.7943,12288.77,1.137,7.797e+02,95,1.5671,0.0576,10,7.686,0,2.79036e+05,4.88635e+03,12.073218,2.54411e+05,5.45470e+03,11.824702,4.60227e+05,10.590465,2.561,1.234238,,,0,,,,,,,0.019212,0.023445,0.014032,12.073218,0.019212,2.79036e+05,1.321,4.1322,4.3185,0.0817,2CXO J002405.6-720504,6.023684383579964,-72.0845066780803,CV,0.9973930377644705,0.9953029298318381,305.8940990000001,-44.886146999999994,1,1.0913283155452001E-15,3.9368067861322004E-16,3.3184246926027994E-16,5.1075433046153E-16,1.4265532201198E-16,-0.23860087445347,-0.57963772642099,-0.38975640224859,8.0,0.9999999975208199,0.9999999916198082,0.9999999999987148,7.0,0.9999969962756636,1.2167198420417E-6,,,,,,,,,,,,,,,,,,,,,,,,,,,11.624227141312847
1.512198,6.03090844572,-72.07859011194,0.0114152,0.0083713,110.13,4689639472993785984,6.03090844572,11.0983,-72.07859011194,8.7871,,,,,,,,,48,425.4633,1354366.40,36.799,7.965e+04,3,,,6,,0,6.04351e+04,2.34200e+03,13.734143,1.31904e+05,1.22091e+04,12.537899,2.08074e+05,11.452352,5.625,1.085547,,,0,,,,,,,0.042165,0.100535,0.117266,13.734143,0.042165,6.04351e+04,4.401,11.0983,8.7871,-0.1996,2CXO J002407.0-720442,6.029553255919211,-72.07853961707376,STAR,0.9989130935362326,0.9980971942470328,305.892838,-44.892317,0,1.4832593383234E-15,,,,,0.18613366645845997,0.056214865708932,-0.13116801998751,2.0,0.6672637301985,0.6931024999844498,0.85425261368872,0.0,0.28925943577869,1.7537071375516999E-6,,,,,,,,,,,,,,,,,,,,,,,,,,,11.844352076499716
2.973492,6.02804060954,-72.07922195161,0.0603828,0.0001409,148.24,4689639473007045632,6.02804060954,31.7856,-72.07922195161,51.3399,,,,,,,,,29,16.6764,419.60,0.662,4.979e+01,3,,,5,,0,6.10528e+04,4.38643e+02,13.723104,,,,,,,,,,0,,,,,,,0.008273,,,13.723104,0.008273,6.10528e+04,,31.7856,51.3399,-1.0000,2CXO J002407.0-720442,6.029553255919211,-72.07853961707376,STAR,0.9989130935362326,0.9980971942470328,305.892838,-44.892317,0,1.4832593383234E-15,,,,,0.18613366645845997,0.056214865708932,-0.13116801998751,2.0,0.6672637301985,0.6931024999844498,0.85425261368872,0.0,0.28925943577869,1.7537071375516999E-6,,,,,,,,,,,,,,,,,,,,,,,,,,,11.844352076499716
1.587497,6.02754950695,-72.07717734852,0.0013759,0.0010887,126.06,4689639473003144704,6.02762542054,0.0692,-72.07719096084,0.0589,-0.0959,0.0659,-1.4552,6.084,5.256,0.078,-3.063,0.075,143,20.6609,3203.55,0.457,1.705e+02,95,1.3767,0.0173,17,2.477,0,3.09118e+05,5.32049e+02,11.962056,1.63808e+05,1.76485e+03,12.302706,3.32421e+05,10.943675,1.605,1.359031,,,0,,,,,,,0.003329,0.012026,0.004680,11.962056,0.003329,3.09118e+05,0.352,1.2837,1.1960,-0.2194,2CXO J002406.3-720439,6.0265911345946375,-72.07750518421655,CV,0.5780627860267822,0.2934521267364291,305.894328,-44.893203,1,1.5824286406268E-15,1.0848063442516998E-15,2.2110871023352003E-16,3.6686697903313996E-16,7.1829299966379E-17,0.28482198625859,-0.16239850093691,-0.42223610243598,5.0,0.8482093597471,0.96772641584374,0.910205073563292,0.0,0.30928937562826,1.9194571346955E-6,,,,,,,,,,,,,,,11.962056,12.302706,10.943675,1.3590309999999999,,,,,,,,,13.973120780221814
