class,Argmax,0.9,0.997,4-sigma,5-sigma
AGN,82549,78492,26512,7292.0,
STAR,39502,37080,11562,3116.0,
PULSAR,25492,21859,389,,
HMXB,25029,21849,2001,131.0,
ULX,23591,20662,428,,
YSO,23165,22106,1541,35.0,
CV,11523,9200,201,15.0,
LMXB,642,627,243,79.0,
