name,true_class,pred_class,pred_prob,prob_AGN,prob_CV,prob_HMXB,prob_LMXB,prob_PULSAR,prob_STAR,prob_ULX,prob_YSO
2CXO J064042.6+095347,STAR,STAR,0.855,0.0475,0.01,0.01,0.0125,0.01,0.855,0.0075,0.0475
2CXO J230250.3+551420,STAR,STAR,0.995,0.0,0.0,0.0025,0.0,0.0025,0.995,0.0,0.0
2CXO J143111.5+334230,AGN,AGN,0.945,0.945,0.015,0.0025,0.0,0.0075,0.005,0.025,0.0
2CXO J103435.1+572759,AGN,AGN,0.885,0.885,0.015,0.03,0.005,0.01,0.0075,0.0475,0.0
2CXO J033205.2-280324,AGN,AGN,0.755,0.755,0.02,0.045,0.06,0.01,0.0725,0.035,0.0025
2CXO J171228.8-382815,YSO,YSO,0.7125,0.1525,0.01,0.0,0.0075,0.005,0.1125,0.0,0.7125
2CXO J064107.1+092747,STAR,STAR,0.935,0.0225,0.0025,0.025,0.01,0.0,0.935,0.0,0.005
2CXO J222602.1+653146,STAR,STAR,0.9575,0.0025,0.0025,0.0025,0.0125,0.015,0.9575,0.0,0.0075
2CXO J123227.9+141558,AGN,AGN,0.93,0.93,0.0175,0.0025,0.0,0.005,0.01,0.035,0.0
2CXO J053518.2-052307,STAR,STAR,0.8325,0.0075,0.0175,0.0225,0.0825,0.03,0.8325,0.0025,0.005
2CXO J004351.5+005501,AGN,AGN,0.96,0.96,0.0,0.0,0.0075,0.0,0.005,0.0275,0.0
2CXO J084905.0+445714,AGN,AGN,0.92,0.92,0.005,0.0025,0.005,0.0025,0.0,0.065,0.0
2CXO J082214.2+275201,AGN,AGN,0.9175,0.9175,0.0025,0.0,0.0025,0.0025,0.0,0.075,0.0
2CXO J170545.6-410417,STAR,STAR,0.985,0.0,0.0025,0.005,0.0,0.0025,0.985,0.0,0.005
2CXO J034117.5-352615,STAR,STAR,0.7775,0.045,0.03,0.05,0.0375,0.0275,0.7775,0.03,0.0025
2CXO J104348.3-590605,STAR,STAR,0.9825,0.0025,0.0025,0.0,0.0,0.005,0.9825,0.005,0.0025
2CXO J134936.6-620633,STAR,STAR,0.99,0.0,0.0,0.0075,0.0,0.0,0.99,0.0,0.0025
2CXO J111234.3-611649,YSO,YSO,0.6075,0.075,0.01,0.0275,0.0175,0.01,0.2425,0.01,0.6075
2CXO J090735.3+520352,AGN,AGN,0.9175,0.9175,0.0075,0.0025,0.0075,0.005,0.01,0.05,0.0
2CXO J033927.5-352449,AGN,ULX,0.34191280716212163,0.2602079225352113,0.07179577464788732,0.13851307311956848,0.03757042253521127,0.06,0.065,0.34191280716212163,0.025
2CXO J023043.9+002732,AGN,AGN,0.74,0.74,0.085,0.0325,0.005,0.0425,0.02,0.0725,0.0025
2CXO J100514.5-074257,LMXB,LMXB,0.8817741935483872,0.015,0.02258064516129032,0.045,0.8817741935483872,0.0075,0.015,0.01032258064516129,0.00282258064516129
2CXO J213706.4+573232,STAR,STAR,0.6675,0.14,0.0075,0.005,0.0075,0.005,0.6675,0.01,0.1575
2CXO J033750.1-050817,AGN,AGN,0.6775,0.6775,0.03,0.1075,0.0275,0.0575,0.0475,0.0475,0.005
2CXO J122206.8+294322,STAR,AGN,0.3575,0.3575,0.105,0.0825,0.0425,0.015,0.3475,0.0425,0.0075
2CXO J174025.9+100006,PULSAR,PULSAR,0.3663274826059456,0.037513440860215054,0.09514705882352942,0.04251344086021506,0.1403921568627451,0.3663274826059456,0.05001344086021506,0.2255439595192916,0.04254901960784314
2CXO J132938.9+471323,HMXB,HMXB,0.8169946808510639,0.0475,0.015,0.8169946808510639,0.02,0.0075,0.0075,0.08550531914893618,0.0
2CXO J015738.9+374612,STAR,STAR,0.99,0.0025,0.0025,0.0025,0.0,0.0,0.99,0.0,0.0025
2CXO J172519.0-342533,YSO,YSO,0.805,0.1625,0.005,0.0,0.0025,0.0125,0.0125,0.0,0.805
2CXO J141500.4+520658,AGN,AGN,0.9475,0.9475,0.005,0.02,0.0,0.005,0.005,0.01,0.0075
2CXO J143310.5+525830,AGN,AGN,0.9375,0.9375,0.005,0.03,0.005,0.0,0.0025,0.02,0.0
2CXO J100352.8+473653,AGN,AGN,0.5425,0.5425,0.235,0.065,0.0075,0.0025,0.005,0.1425,0.0
2CXO J203336.9+411611,STAR,STAR,0.9875,0.0,0.005,0.0025,0.0,0.0,0.9875,0.0,0.005
2CXO J121050.9+503248,STAR,STAR,0.8375,0.04,0.0175,0.0525,0.035,0.0025,0.8375,0.01,0.005
2CXO J005749.5-720236,STAR,CV,0.22,0.1475,0.22,0.1375,0.1225,0.0925,0.0525,0.1975,0.03
2CXO J005634.9-732630,HMXB,HMXB,0.3985555131143366,0.13756493506493506,0.09356643356643357,0.3985555131143366,0.015046753246753246,0.15270226244343893,0.0775,0.1125,0.012564102564102564
2CXO J052245.3+333105,STAR,STAR,0.8975,0.02,0.0025,0.0175,0.0125,0.0025,0.8975,0.0025,0.045
2CXO J103536.4+574910,AGN,AGN,0.8475,0.8475,0.0175,0.06,0.0125,0.0075,0.0275,0.0275,0.0
2CXO J120154.6-185208,HMXB,HMXB,0.65875,0.08,0.0225,0.65875,0.03625,0.0625,0.03,0.0925,0.0175
2CXO J124206.1+323246,HMXB,HMXB,0.4265831061122472,0.10529601226993865,0.0125,0.42658310611224726,0.005,0.01,0.025,0.4156208816178142,0.0
2CXO J095755.0+024806,AGN,AGN,0.9675,0.9675,0.0,0.0,0.0,0.0,0.0,0.0325,0.0
2CXO J064110.7+095742,STAR,STAR,0.805,0.085,0.0075,0.0175,0.0075,0.025,0.805,0.0075,0.045
2CXO J180452.8-242428,YSO,YSO,0.8,0.1525,0.0,0.0,0.0025,0.0025,0.0425,0.0,0.8
2CXO J203328.3+405311,YSO,YSO,0.755,0.1725,0.01,0.0125,0.0025,0.005,0.0425,0.0,0.755
2CXO J142412.3+375536,AGN,AGN,0.965,0.965,0.0025,0.0,0.0,0.0,0.0,0.0325,0.0
2CXO J042654.3+260650,STAR,STAR,0.9325,0.0175,0.015,0.0025,0.005,0.005,0.9325,0.0,0.0225
2CXO J091133.3-645103,STAR,STAR,0.9775,0.005,0.0,0.01,0.005,0.0,0.9775,0.0025,0.0
2CXO J003503.9-434209,AGN,AGN,0.875,0.875,0.0125,0.0225,0.0125,0.0275,0.01,0.035,0.005
2CXO J064035.2+095156,STAR,STAR,0.8525,0.04,0.0,0.0,0.005,0.0025,0.8525,0.0025,0.0975
2CXO J053501.6-053338,STAR,STAR,0.7025,0.11,0.0375,0.015,0.0125,0.015,0.7025,0.005,0.1025
2CXO J053517.3-052413,STAR,STAR,0.7675,0.0075,0.05,0.01,0.105,0.0325,0.7675,0.02,0.0075
2CXO J124220.8+323151,HMXB,HMXB,0.885,0.045,0.005,0.885,0.0025,0.03,0.0225,0.01,0.0
2CXO J053520.7-052154,STAR,STAR,0.98,0.0125,0.0,0.0,0.0025,0.0025,0.98,0.0,0.0025
2CXO J053516.3-052025,STAR,STAR,0.6075,0.0125,0.075,0.045,0.07,0.17,0.6075,0.0025,0.0175
2CXO J182013.0-161308,YSO,YSO,0.74,0.1875,0.015,0.01,0.0025,0.005,0.04,0.0,0.74
2CXO J064056.2+093932,STAR,STAR,0.755,0.09,0.01,0.0,0.015,0.01,0.755,0.0025,0.1175
2CXO J083712.9+145917,AGN,AGN,0.95,0.95,0.005,0.0025,0.0,0.0025,0.015,0.0175,0.0075
2CXO J181853.0-134644,STAR,STAR,0.84,0.015,0.0375,0.035,0.01,0.0075,0.84,0.005,0.05
2CXO J203315.1+411310,YSO,YSO,0.76,0.1625,0.03,0.0025,0.0,0.0,0.045,0.0,0.76
2CXO J071846.0-245258,STAR,STAR,0.695,0.075,0.07,0.07,0.025,0.0275,0.695,0.01,0.0275
2CXO J064054.0+092951,STAR,STAR,0.91,0.0425,0.015,0.005,0.015,0.0075,0.91,0.0,0.005
2CXO J073743.9+653839,HMXB,HMXB,0.7874754901960784,0.03502450980392157,0.0225,0.7874754901960784,0.065,0.0425,0.04,0.0,0.0075
2CXO J131135.6-012012,AGN,AGN,0.6825,0.6825,0.0125,0.1475,0.04,0.0075,0.0175,0.09,0.0025
2CXO J104432.8-573719,PULSAR,PULSAR,0.3959951459625173,0.08504661437010405,0.12034837572335148,0.07504554014309275,0.03507264526012474,0.3959951459625173,0.12402673417625638,0.07769665777586146,0.08676828658869176
2CXO J044542.6-591455,HMXB,HMXB,0.5221250000000001,0.15020833333333333,0.0775,0.5221250000000001,0.04,0.0625,0.0475,0.08766666666666666,0.0125
2CXO J140327.7+542400,HMXB,HMXB,0.895,0.02,0.01,0.895,0.0175,0.015,0.035,0.0075,0.0
2CXO J112114.0+530952,HMXB,HMXB,0.845,0.05,0.0025,0.845,0.005,0.0475,0.0325,0.0175,0.0
2CXO J140446.7+533919,HMXB,HMXB,0.87,0.0275,0.015,0.87,0.0125,0.025,0.035,0.015,0.0
2CXO J132956.0+114239,AGN,AGN,0.9275,0.9275,0.01,0.0075,0.0025,0.005,0.0025,0.0425,0.0025
2CXO J103732.4-583831,YSO,STAR,0.935,0.015,0.005,0.01,0.0,0.0225,0.935,0.0025,0.01
2CXO J174016.9+690901,STAR,STAR,0.95,0.0175,0.01,0.0075,0.0025,0.0075,0.95,0.005,0.0
2CXO J053535.5-051542,STAR,STAR,0.9075,0.02,0.0025,0.01,0.0025,0.015,0.9075,0.0,0.0425
2CXO J175236.0-291939,CV,CV,0.6825980392156862,0.0325,0.6825980392156862,0.015,0.035,0.1147549019607843,0.06264705882352942,0.0075,0.05
2CXO J182123.0-155939,YSO,YSO,0.77,0.0925,0.07,0.0,0.0075,0.0025,0.0575,0.0,0.77
2CXO J102508.2+170948,ULX,ULX,0.6810567871084982,0.08767824437467293,0.0225,0.13583314877768798,0.03027446759589617,0.01752577319587629,0.025,0.6810567871084982,0.00013157894736842105
2CXO J053526.3-044926,STAR,STAR,0.915,0.0525,0.0025,0.0025,0.0175,0.0025,0.915,0.0,0.0075
2CXO J141312.1-652013,CV,LMXB,0.299375,0.0175,0.1175,0.23,0.299375,0.0275,0.06,0.1425,0.105625
2CXO J053523.1-051343,STAR,STAR,0.765,0.0775,0.035,0.0,0.025,0.0,0.765,0.0,0.0975
2CXO J203225.0+412538,YSO,YSO,0.795,0.185,0.0025,0.0,0.0,0.0,0.0175,0.0,0.795
2CXO J001452.5-391224,HMXB,HMXB,0.53,0.1875,0.0575,0.53,0.02,0.0475,0.07,0.06,0.0275
2CXO J053515.9-052220,STAR,STAR,0.95,0.0125,0.0125,0.0,0.0,0.0025,0.95,0.005,0.0175
2CXO J100509.7-074313,LMXB,LMXB,0.9675,0.0025,0.0075,0.0,0.9675,0.005,0.0125,0.005,0.0
2CXO J012435.6+034729,HMXB,ULX,0.40704545454545454,0.1875257731958763,0.03,0.235,0.010025773195876289,0.09040299906279287,0.04,0.40704545454545454,0.0
2CXO J175832.3-275243,CV,CV,0.5245923913043478,0.065,0.5245923913043478,0.03260869565217391,0.025,0.1525,0.035,0.045,0.12029891304347826
2CXO J123037.8+413823,HMXB,HMXB,0.8423333333333334,0.03266666666666666,0.03,0.8423333333333334,0.0175,0.0275,0.045,0.005,0.0
2CXO J073738.3+653629,HMXB,HMXB,0.7749754901960785,0.04002450980392156,0.0325,0.7749754901960785,0.07,0.0125,0.0425,0.0125,0.015
2CXO J105055.3+132835,AGN,AGN,0.9625,0.9625,0.0,0.0,0.0,0.0,0.0,0.0375,0.0
2CXO J125152.2+000528,STAR,STAR,0.765,0.0825,0.1025,0.0275,0.0,0.01,0.765,0.0125,0.0
2CXO J144554.7+012903,AGN,AGN,0.91,0.91,0.005,0.0025,0.0025,0.0,0.0025,0.0775,0.0
2CXO J112102.8+531020,HMXB,HMXB,0.785,0.04,0.025,0.785,0.0175,0.0525,0.06,0.0175,0.0025
2CXO J162832.6-242245,STAR,STAR,0.85,0.0125,0.0075,0.1,0.0,0.0,0.85,0.0,0.03
2CXO J053504.6-052623,STAR,STAR,0.9225,0.04,0.0075,0.005,0.01,0.0,0.9225,0.0,0.015
2CXO J111445.5-611500,STAR,STAR,0.925,0.0025,0.0275,0.0025,0.0025,0.005,0.925,0.0025,0.0325
2CXO J213712.5+574054,STAR,STAR,0.3575,0.205,0.095,0.11,0.0575,0.0675,0.3575,0.0175,0.09
2CXO J103449.6+572544,AGN,AGN,0.8575,0.8575,0.01,0.0125,0.0625,0.005,0.0325,0.02,0.0
2CXO J122307.5+103448,AGN,AGN,0.9175,0.9175,0.005,0.0,0.005,0.0025,0.0025,0.0675,0.0
2CXO J053505.7-052353,STAR,STAR,0.935,0.0325,0.0075,0.01,0.01,0.0,0.935,0.0,0.005
2CXO J171928.6-360932,YSO,CV,0.29988132911392407,0.023018987341772153,0.29988132911392407,0.16520833333333335,0.085,0.1020263713080169,0.08003164556962025,0.005,0.23983333333333334
2CXO J080430.4+645952,AGN,STAR,0.29,0.2,0.0925,0.1725,0.04,0.05,0.29,0.0675,0.0875
2CXO J181756.5-165202,YSO,YSO,0.8,0.1275,0.005,0.0025,0.005,0.0025,0.0575,0.0,0.8
2CXO J100141.3+021031,AGN,AGN,0.695,0.695,0.09,0.0175,0.0375,0.0025,0.0025,0.15,0.005
2CXO J104346.7-593356,YSO,STAR,0.54328125,0.025,0.10583333333333333,0.06518229166666667,0.035078125,0.02002604166666667,0.54328125,0.032942708333333334,0.17265625
2CXO J074207.6+251726,AGN,AGN,0.9225,0.9225,0.0175,0.0175,0.005,0.005,0.0075,0.025,0.0
2CXO J160849.3-390539,STAR,STAR,0.4475,0.0275,0.2475,0.05,0.06,0.065,0.4475,0.03,0.0725
2CXO J053458.5-053249,STAR,STAR,0.765,0.1125,0.0225,0.005,0.025,0.0075,0.765,0.0,0.0625
2CXO J164702.8-455046,STAR,STAR,0.24,0.0425,0.1775,0.125,0.0475,0.15,0.24,0.0025,0.215
2CXO J100113.8+014000,AGN,AGN,0.9325,0.9325,0.01,0.01,0.0025,0.0075,0.0025,0.035,0.0
2CXO J120233.3+580501,AGN,AGN,0.9225,0.9225,0.005,0.0025,0.005,0.0025,0.0,0.0625,0.0
2CXO J053513.1-052221,STAR,STAR,0.9475,0.0175,0.0025,0.005,0.0,0.0025,0.9475,0.0,0.025
2CXO J112111.4+531103,HMXB,HMXB,0.805,0.055,0.005,0.805,0.0025,0.0475,0.045,0.04,0.0
2CXO J011927.4-083133,AGN,AGN,0.3625,0.3625,0.2225,0.1225,0.0075,0.065,0.035,0.1625,0.0225
2CXO J120925.2-005749,AGN,AGN,0.685,0.685,0.035,0.0725,0.0175,0.0,0.13,0.045,0.015
