name,true_class,pred_class,pred_prob,prob_AGN,prob_CV,prob_HMXB,prob_LMXB,prob_PULSAR,prob_STAR,prob_ULX,prob_YSO
2CXO J100014.0+022838,AGN,AGN,0.9775,0.9775,0.005,0.015,0.0,0.0,0.0,0.0025,0.0
2CXO J104436.8-600112,STAR,STAR,0.995,0.0,0.0,0.0,0.0,0.0,0.995,0.0,0.005
2CXO J203413.2+410345,YSO,YSO,0.9975,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.9975
2CXO J053500.2-051558,STAR,STAR,0.89,0.025,0.02,0.015,0.0025,0.0025,0.89,0.005,0.04
2CXO J064041.0+093357,STAR,STAR,0.7725,0.01,0.0125,0.01,0.0075,0.02,0.7725,0.01,0.1575
2CXO J053510.4-053824,STAR,STAR,0.9875,0.0025,0.0075,0.0025,0.0,0.0,0.9875,0.0,0.0
2CXO J073712.7+653139,HMXB,HMXB,0.5975,0.375,0.0025,0.5975,0.0025,0.0025,0.0025,0.0175,0.0
2CXO J075840.8+323959,AGN,AGN,0.9925,0.9925,0.005,0.0,0.0,0.0025,0.0,0.0,0.0
2CXO J104838.9-593002,STAR,STAR,0.99,0.0,0.0,0.0025,0.0,0.0,0.99,0.0,0.0075
2CXO J140249.1+541841,HMXB,HMXB,0.935,0.0225,0.0025,0.935,0.0275,0.0025,0.005,0.005,0.0
2CXO J064037.8+093454,STAR,STAR,0.9625,0.0075,0.0,0.0025,0.0,0.0,0.9625,0.0,0.0275
2CXO J113616.8+154807,AGN,AGN,0.9925,0.9925,0.0025,0.0,0.0,0.0,0.0025,0.0025,0.0
2CXO J010701.4-172745,AGN,AGN,0.915,0.915,0.0225,0.015,0.0025,0.0175,0.005,0.0225,0.0
2CXO J053519.5-052735,STAR,STAR,0.89,0.005,0.0075,0.0075,0.0,0.0075,0.89,0.0,0.0825
2CXO J071851.7-245303,STAR,STAR,0.7125,0.0125,0.0325,0.04,0.005,0.04,0.7125,0.0275,0.13
2CXO J180422.7-242208,STAR,STAR,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2CXO J043242.7+255231,STAR,STAR,0.985,0.0025,0.0025,0.0,0.0025,0.0025,0.985,0.0,0.005
2CXO J162343.7+263244,AGN,AGN,0.95,0.95,0.0325,0.01,0.0,0.0,0.0,0.0075,0.0
2CXO J104339.9-593124,YSO,YSO,0.8975,0.0025,0.0,0.0,0.0,0.0025,0.0975,0.0,0.8975
2CXO J085335.7+511917,ULX,ULX,0.5799230769230769,0.0525,0.0225,0.2725769230769231,0.03,0.035,0.0025,0.5799230769230769,0.005
2CXO J111145.0+554012,HMXB,HMXB,0.8825,0.0725,0.005,0.8825,0.01,0.0225,0.0,0.0075,0.0
2CXO J034437.3+320611,STAR,STAR,0.9775,0.0,0.0,0.0025,0.0,0.0025,0.9775,0.0,0.0175
2CXO J180350.6-242100,STAR,STAR,0.95,0.0,0.005,0.0,0.0,0.0,0.95,0.0025,0.0425
2CXO J110430.1-585147,STAR,STAR,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2CXO J123320.9+110701,AGN,ULX,0.8548761729591218,0.07253897464377479,0.0025,0.03506478432542964,0.002513181019332162,0.005006887052341598,0.0275,0.8548761729591218,0.0
2CXO J231442.2+043139,HMXB,ULX,0.3373277080062795,0.17510204081632652,0.11,0.15757025117739404,0.0,0.2,0.0175,0.3373277080062795,0.0025
2CXO J230459.6+121205,AGN,AGN,0.9025,0.9025,0.015,0.015,0.0025,0.035,0.0075,0.0225,0.0
