name,true_class,pred_class,pred_prob,prob_AGN,prob_CV,prob_HMXB,prob_LMXB,prob_PULSAR,prob_STAR,prob_ULX,prob_YSO
2CXO J093845.6+005926,AGN,AGN,0.9999861491583254,0.9999861491583254,1.9526398691120707e-07,2.2760221587491946e-07,2.917163632054437e-07,7.274953394267321e-07,1.56520381055132e-06,1.0754317543291235e-05,8.924241532402684e-08
2CXO J000818.2+512316,STAR,STAR,0.9825351493255591,0.0008205281160076919,0.006457182033035915,0.0007927603233198646,5.386580156599222e-05,0.008591278914049549,0.9825351493255591,0.000732328921351281,1.690656511052365e-05
2CXO J181849.9-134659,YSO,YSO,0.9999644229746387,2.0636634843630636e-07,6.149168040854274e-07,1.409127945643418e-07,3.975704367323322e-08,5.445149157026893e-07,3.398164065581906e-05,4.8916798869520675e-08,0.9999644229746387
2CXO J205824.0+435354,STAR,STAR,0.9647850911700662,1.8221183166238504e-05,5.691997370805381e-06,6.415083307538281e-05,2.284272364053227e-06,2.1227783691902546e-05,0.9647850911700662,3.319436956713611e-06,0.03510001332330881
2CXO J102407.1-574442,YSO,YSO,0.9993623035501926,8.189983504731415e-06,6.842824835848913e-06,8.740676805256802e-05,5.244962044060222e-06,1.1087807606166672e-05,0.0005179069357332292,1.0171680307632826e-06,0.9993623035501926
2CXO J232224.7-021341,STAR,STAR,0.9997692876333357,0.00020860161159865856,3.970365757344313e-07,1.6350164338567136e-05,3.4130222011123705e-07,2.3020473633317626e-06,0.9997692876333357,1.181068146132888e-06,1.5391364218266282e-06
2CXO J213625.5+573137,STAR,STAR,0.999895890656781,1.0455988651153725e-05,5.264019001997074e-06,1.85733035810825e-05,2.1280906026181172e-06,6.287964731031363e-05,0.999895890656781,2.7652374254254675e-06,2.043056646543123e-06
2CXO J205823.7+435311,STAR,STAR,0.9995227776047045,0.00013994215069097445,3.6285751607547355e-06,3.782125846144739e-05,2.3328870387279303e-06,7.0255482512382455e-06,0.9995227776047045,2.88956078469077e-06,0.00028358241490762426
2CXO J053535.2-052654,STAR,STAR,0.9999402805467594,2.3751070491165873e-06,4.5285244673738956e-05,8.436116064246694e-06,6.263672896805169e-07,1.906161738114533e-06,0.9999402805467594,5.86331889829762e-07,5.041245359760589e-07
2CXO J173617.2-444410,CV,STAR,0.4971827700075246,0.005392217990120812,0.48597490555846756,0.0037919035544387715,0.00023742377425442574,0.005893774148675156,0.4971827700075246,0.0014223794869944436,0.00010462547952415661
2CXO J053531.9-051619,STAR,STAR,0.9999215303699457,1.7246976272402384e-05,4.4213426760947895e-05,1.4699553357412195e-05,3.5589704068874294e-07,6.296210793463004e-07,0.9999215303699457,5.10608795724547e-07,8.135467478672386e-07
2CXO J091715.0+114014,STAR,STAR,0.9999832765765522,1.5608451445568266e-05,7.094506091636816e-07,1.4381340233471716e-07,4.152454197905227e-08,1.11863847526446e-07,0.9999832765765522,6.47943544219588e-08,4.352524670366254e-08
2CXO J093455.5+051409,AGN,AGN,0.9999942138652375,0.9999942138652375,1.8280292809904883e-07,1.1335002478019913e-06,1.6662632740646172e-07,4.520294079893386e-07,2.2843713446522254e-06,8.785051881489149e-07,6.882993184895201e-07
2CXO J100351.5+001502,AGN,AGN,0.9368857582097742,0.9368857582097742,0.008395623538117196,0.0058275853815751896,0.00033297331812825315,0.011197507479791386,0.03301885804273385,0.004182554766233268,0.00015913926364662171
2CXO J181805.9-165140,YSO,YSO,0.9929855419340838,3.175205103818834e-06,0.000307924299734906,7.795263565287993e-06,7.105431300932159e-07,0.00014798335085116927,0.0065460781852549705,7.912182758676326e-07,0.9929855419340838
2CXO J090651.5+495235,AGN,AGN,0.9999929933132948,0.9999929933132948,3.625321699322162e-07,8.397954534262334e-08,5.44582556339634e-08,1.56754761415518e-07,4.629606429631908e-06,1.2920070920043931e-06,4.273484511919413e-07
2CXO J180452.3-242526,YSO,YSO,0.8115525411710073,4.515880825664034e-05,0.0010613326931630802,0.00015012110742918064,0.0004228434436531817,0.0005440351491436201,0.18616125685864227,6.271076870473317e-05,0.8115525411710073
