name,true_class,pred_class,pred_prob,prob_AGN,prob_CV,prob_HMXB,prob_LMXB,prob_PULSAR,prob_STAR,prob_ULX,prob_YSO
2CXO J181839.0-134950,YSO,YSO,0.9767356696292513,0.000883164380965299,0.008490871519396748,0.0009967461952092359,0.00019965524969174018,0.003154173118818624,0.008377769468366521,0.0011619504383004826,0.9767356696292513
2CXO J123726.3+620432,AGN,HMXB,0.7885410920707637,0.03687821953533816,0.015163130290241987,0.7885410920707637,0.0033535819629644872,0.007228720073083878,0.0055329704659104265,0.14175287755461,0.0015494080470874266
2CXO J064059.9+092850,STAR,STAR,0.9858628944186327,0.0004734304946839157,0.006652185337497683,0.0025006112112072694,0.0026690610043456084,0.0010646132524577575,0.9858628944186327,0.00043451347646533727,0.0003426908047095435
2CXO J100157.7+023804,AGN,AGN,0.9055308947252793,0.9055308947252793,0.007113351501585983,0.011712065114363101,0.003178958751332328,0.0007479957629610764,0.000859921934904178,0.07059657583685958,0.0002602363727146893
2CXO J202139.5+372634,YSO,YSO,0.9921180148489878,0.00027503477210789786,0.0022264040635776735,0.0003129186649882485,0.00011975002713637062,0.002528539745691555,0.0021178032642866413,0.0003015346132237722,0.9921180148489878
2CXO J181810.5-165744,YSO,YSO,0.8195612666366254,0.0038337546913383585,0.02193226715790653,0.003344333611375945,0.0018673532166976771,0.1318004310519713,0.014108977066095598,0.0035516165679892082,0.8195612666366254
2CXO J130747.9+064039,AGN,AGN,0.9955868925499017,0.9955868925499017,0.0012250292826859503,0.0002986239724695587,9.077013978977795e-05,0.0016590759578370546,0.0001773932020869594,0.0008451497013982503,0.00011706519383073454
2CXO J010642.8+594028,STAR,STAR,0.9951887951362106,0.0002535527686368439,0.0009573400372244566,0.0005574948488964574,0.00016723305912135278,0.002023821873805394,0.9951887951362106,0.0008023932856433359,4.936899046171891e-05
2CXO J115108.8+471509,AGN,AGN,0.9931945399296846,0.9931945399296846,0.001625048679413852,0.003010828412210521,2.3701320113659395e-05,0.00013655473831995866,0.00011422058082266626,0.0018724241982503273,2.2682141184629672e-05
2CXO J100513.1-074422,LMXB,LMXB,0.9897374724454698,0.0008722526104436214,0.002139725447072724,0.003714699100485549,0.9897374724454698,0.0008135897607018738,0.0013818689607050325,0.00105459748337141,0.0002857941917499434
2CXO J181847.3-134114,YSO,YSO,0.99023326606706,0.00044107542969141095,0.003723274072686862,0.0006785133739511279,0.00017403270997892498,0.0021664958612883298,0.0024544114305647914,0.00012893105477859682,0.99023326606706
2CXO J120158.4-185249,HMXB,HMXB,0.8554254243971593,0.04147453081976941,0.016437916712896367,0.8554254243971593,0.03333220148524302,0.016047668218042457,0.013306836968690238,0.017849313930950624,0.006126107467248406
2CXO J111156.6-611718,YSO,YSO,0.9916643998981498,0.0002179804443386969,0.0005660078264180706,0.0013739184457267877,0.0006170526778274197,0.0013181954425844076,0.0038072513533862168,0.0004351939115684892,0.9916643998981498
2CXO J181837.4-134339,STAR,STAR,0.99638238119233,0.0001247522803029074,0.0009840490150302616,0.00014497326475332764,2.4212984726767567e-05,0.0009558079796159205,0.99638238119233,9.942791525574375e-05,0.0012843953679849555
2CXO J073655.3+653608,HMXB,HMXB,0.9642929881599827,0.002022449049780505,0.006989458140191441,0.9642929881599827,0.007347563419321442,0.0024467980706323954,0.00574066517082587,0.010072162549172934,0.0010879154400927455
2CXO J180426.5-242140,YSO,YSO,0.9720404532631356,0.0007817729523729957,0.004679875975594416,0.0009634115669440292,0.00035253691634676336,0.004144034577132412,0.016354058905166852,0.0006838558433067255,0.9720404532631356
2CXO J100140.1+683734,AGN,AGN,0.9864536454938513,0.9864536454938513,0.0015774342384301766,0.0065020847347622805,0.0001851785651552785,0.00024870354692448256,0.0009041027177188948,0.004009665579205043,0.00011918512395295268
2CXO J023623.7+385908,ULX,PULSAR,0.5591460349680085,0.00785943068724718,0.028227137085651943,0.02938655328195206,0.00372128772817516,0.5591460349680085,0.01275797163409903,0.35766907799288294,0.001232506621983152
2CXO J053551.7-051739,STAR,STAR,0.9376792600447267,0.003856695355215118,0.03149388292787379,0.007814240001974575,0.00284869882760459,0.011476002155276298,0.9376792600447267,0.003122813638728931,0.0017084070486001776
2CXO J171213.1-383049,YSO,YSO,0.9833749444936025,0.00012299878358277067,0.007429922880502428,0.0010366930271343586,0.001276088418350342,0.0007091458196055198,0.0059484624310672425,0.00010174414615458012,0.9833749444936025
2CXO J053527.7-052851,STAR,STAR,0.9576607486732335,0.0029857803696859498,0.016508809233556472,0.011358025910157075,0.003012800553975315,0.004729098671613828,0.9576607486732335,0.0019389508231191105,0.0018057857646587513
2CXO J180416.5-241848,YSO,YSO,0.9600070149971743,0.0003467459924058814,0.002274129016726731,0.00039080572469315096,0.00010511734413482214,0.00031688372269217754,0.03624538300062648,0.0003139202015464172,0.9600070149971743
2CXO J111028.6-771659,STAR,STAR,0.9394661489425162,0.0019272610998024246,0.005598449923286866,0.008471643288668186,0.00409084417440105,0.029883645389486603,0.9394661489425162,0.005107166703047465,0.005454840478791204
2CXO J073725.1+653708,HMXB,HMXB,0.9559162661567918,0.0035733830875913065,0.016427907043837717,0.9559162661567918,0.009589627264997718,0.0019401529454999772,0.0038447887268017247,0.007952020248849974,0.0007558545256296804
2CXO J125543.1+084145,AGN,AGN,0.9954305961437446,0.9954305961437446,0.0011765758292478902,0.0011388044324070737,0.0001184526478119958,0.0005630893869423214,0.00020691583972581816,0.0012807873285135298,8.477839160663343e-05
2CXO J053514.0-052520,STAR,STAR,0.9930471152504249,0.00031991140454435004,0.0031963646713424054,0.0007599747458098102,0.0005679993048613303,0.0017798553969278822,0.9930471152504249,0.00024109901491767407,8.768021117150628e-05
2CXO J071853.1-245756,STAR,STAR,0.9470465202869672,0.004527071303010954,0.012972742509502725,0.013250702570463863,0.0014860055990145436,0.015478329976402663,0.9470465202869672,0.003047082021610011,0.0021915457330281074
2CXO J183345.2-081829,STAR,STAR,0.9935313617477786,9.78065266589382e-05,0.0022231562190252424,7.49176516652525e-05,7.09734199271764e-05,0.0008204777526933884,0.9935313617477786,8.613359572443537e-05,0.003095173086527126
2CXO J052232.3+333133,STAR,STAR,0.9419013239984299,0.0018034366284577638,0.00822791223669825,0.005186907719028966,0.013655312794951704,0.01708155247623605,0.9419013239984299,0.003623411022019614,0.008520143124177702
