recno|MIRES|RAJ2000|DEJ2000
    1877|G029.2653+04.0839|277.55229|-01.39229
    1878|G029.5389+04.2246|277.55241|-01.08523
    1879|G029.2428+04.0716|277.55289|-01.41782
    1880|G029.3966+04.1504|277.55331|-01.24539
    1881|G029.4310+04.1679|277.55345|-01.20689
    1882|G027.7984+03.3246|277.55352|-03.04131
    1883|G029.2353+04.0664|277.55410|-01.42685
    1884|G028.0263+03.4417|277.55428|-02.78547
    1885|G028.5589+03.7168|277.55458|-02.18691
    1886|G027.8858+03.3686|277.55460|-02.94362
    1887|G028.2289+03.5462|277.55463|-02.55778
    1888|G028.6788+03.7784|277.55483|-02.05236
    1889|G027.8491+03.3492|277.55497|-02.98500
    1890|G028.0021+03.4283|277.55506|-02.81305
    1891|G028.3597+03.6128|277.55546|-02.41125
    1892|G029.4805+04.1911|277.55553|-01.15239
    1893|G028.5018+03.6860|277.55565|-02.25167
    1894|G027.8724+03.3599|277.55617|-02.95942
    1895|G028.2079+03.5331|277.55658|-02.58248
    1896|G027.9362+03.3913|277.55765|-02.88850
    1897|G027.8409+03.3417|277.55784|-02.99580
    1898|G028.8653+03.8711|277.55801|-01.84449
    1899|G029.2399+04.0638|277.55843|-01.42401
    1900|G027.8380+03.3393|277.55864|-02.99941
    1901|G028.8767+03.8749|277.55989|-01.83261
    1902|G028.5073+03.6837|277.56032|-02.24787
    1903|G029.4457+04.1675|277.56055|-01.19402
    1904|G028.9107+03.8916|277.56065|-01.79480
    1905|G028.9305+03.9016|277.56084|-01.77272
    1906|G028.7745+03.8209|277.56102|-01.94803
    1907|G029.3903+04.1381|277.56127|-01.25660
    1908|G029.0215+03.9479|277.56140|-01.67073
    1909|G029.2022+04.0410|277.56143|-01.46785
    1910|G029.4022+04.1440|277.56152|-01.24338
    1911|G028.6058+03.7332|277.56154|-02.13775
    1912|G029.0141+03.9435|277.56195|-01.67933
    1913|G029.1183+03.9970|277.56214|-01.56247
    1914|G028.5587+03.7080|277.56227|-02.19113
    1915|G028.5495+03.7031|277.56240|-02.20155
    1916|G028.5015+03.6760|277.56441|-02.25650
    1917|G029.2091+04.0409|277.56476|-01.46182
    1918|G029.3984+04.1383|277.56490|-01.24931
    1919|G028.8698+03.8653|277.56526|-01.84315
    1920|G028.0325+03.4322|277.56559|-02.78430
    1921|G029.1630+04.0158|277.56596|-01.51416
    1922|G028.6159+03.7334|277.56600|-02.12874
    1923|G028.1213+03.4764|277.56717|-02.68525
    1924|G028.5906+03.7185|277.56755|-02.15802
    1925|G028.6209+03.7340|277.56772|-02.12408
    1926|G029.1447+04.0041|277.56794|-01.53576
    1927|G028.1338+03.4819|277.56805|-02.67164
    1928|G028.6012+03.7227|277.56872|-02.14669
    1929|G028.0998+03.4628|277.56934|-02.71059
    1930|G028.3577+03.5961|277.56937|-02.42073
    1931|G028.2928+03.5625|277.56945|-02.49364
    1932|G028.3372+03.5854|277.56947|-02.44379
    1933|G028.4797+03.6590|277.56961|-02.28363
    1934|G028.6719+03.7576|277.57021|-02.06804
    1935|G028.5986+03.7197|277.57021|-02.15039
    1936|G028.2946+03.5626|277.57024|-02.49200
    1937|G028.3794+03.6062|277.57036|-02.39683
    1938|G028.5846+03.7119|277.57073|-02.16636
    1939|G028.6676+03.7544|277.57108|-02.07328
    1940|G028.8164+03.8302|277.57201|-01.90657
    1941|G028.7638+03.8029|277.57209|-01.96575
    1942|G028.7618+03.8013|277.57255|-01.96825
    1943|G028.5856+03.7102|277.57267|-02.16624
    1944|G028.8717+03.8574|277.57318|-01.84510
    1945|G028.6016+03.7173|277.57371|-02.14882
    1946|G027.7960+03.3005|277.57377|-03.05455
    1947|G028.1947+03.5067|277.57396|-02.60632
    1948|G028.8213+03.8300|277.57440|-01.90230
    1949|G027.7756+03.2883|277.57529|-03.07824
    1950|G028.5932+03.7107|277.57570|-02.15928
    1951|G029.1186+03.9818|277.57574|-01.56917
    1952|G028.1213+03.4663|277.57608|-02.68990
    1953|G028.6059+03.7167|277.57626|-02.14533
    1954|G028.5594+03.6925|277.57639|-02.19769
    1955|G028.6033+03.7138|277.57765|-02.14894
    1956|G029.3510+04.0994|277.57772|-01.30919
    1957|G028.6142+03.7190|277.57795|-02.13687
    1958|G027.9562+03.3787|277.57804|-02.87658
    1959|G029.4281+04.1380|277.57866|-01.22318
    1960|G027.9029+03.3503|277.57877|-02.93681
    1961|G028.4700+03.6422|277.58000|-02.29993
    1962|G028.5220+03.6690|277.58007|-02.24155
    1963|G028.4191+03.6158|277.58014|-02.35722
    1964|G028.8532+03.8397|277.58038|-01.86957
    1965|G029.0331+03.9323|277.58061|-01.66768
    1966|G028.9051+03.8656|277.58112|-01.81174
    1967|G028.7002+03.7582|277.58261|-02.04268
    1968|G028.6211+03.7173|277.58263|-02.13154
    1969|G028.3691+03.5866|277.58306|-02.41497
    1970|G028.5658+03.6874|277.58388|-02.19434
    1971|G028.6221+03.7159|277.58436|-02.13126
    1972|G028.7690+03.7917|277.58439|-01.96627
    1973|G028.9783+03.8997|277.58446|-01.73116
    1974|G028.4547+03.6267|277.58674|-02.32065
    1975|G029.4985+04.1651|277.58681|-01.14834
    1976|G028.6753+03.7406|277.58686|-02.07277
    1977|G028.5605+03.6808|277.58727|-02.20199
    1978|G028.5419+03.6707|277.58771|-02.22314
    1979|G028.5442+03.6711|277.58839|-02.22093
    1980|G028.5747+03.6866|277.58861|-02.18682
    1981|G028.6594+03.7301|277.58885|-02.09168
    1982|G029.2891+04.0548|277.58903|-01.38453
    1983|G029.2148+04.0163|277.58925|-01.46802
    1984|G028.3038+03.5456|277.58952|-02.49169
    1985|G028.9502+03.8795|277.58956|-01.76536
    1986|G029.3940+04.1082|277.58961|-01.26708
    1987|G028.0520+03.4149|277.58994|-02.77493
    1988|G029.5289+04.1770|277.59014|-01.11593
    1989|G028.2468+03.5149|277.59062|-02.55631
    1990|G028.8604+03.8316|277.59084|-01.86697
    1991|G028.3492+03.5672|277.59117|-02.44154
    1992|G028.6056+03.6996|277.59129|-02.15340
    1993|G028.4201+03.6030|277.59195|-02.36220
    1994|G028.4818+03.6347|277.59210|-02.29294
    1995|G028.9664+03.8844|277.59260|-01.74881
    1996|G028.5880+03.6890|277.59260|-02.17393
    1997|G029.2570+04.0332|277.59353|-01.42289
    1998|G029.5159+04.1650|277.59488|-01.13298
    1999|G029.5086+04.1612|277.59494|-01.14118
    2000|G028.9189+03.8568|277.59531|-01.80349
    2001|G028.9826+03.8891|277.59580|-01.73220
    2002|G029.5442+04.1785|277.59583|-01.10173
    2003|G028.5825+03.6823|277.59603|-02.18183
    2004|G029.2379+04.0205|277.59608|-01.44568
    2005|G028.8306+03.8103|277.59614|-01.90312
    2006|G028.7207+03.7527|277.59695|-02.02702
    2007|G029.2586+04.0299|277.59720|-01.42296
    2008|G028.6965+03.7397|277.59734|-02.05447
    2009|G028.5772+03.6777|277.59774|-02.18868
    2010|G028.7320+03.7572|277.59806|-02.01493
    2011|G028.8310+03.8083|277.59808|-01.90371
    2012|G028.1487+03.4548|277.59897|-02.67090
    2013|G028.5576+03.6657|277.59940|-02.21158
    2014|G028.5782+03.6762|277.59948|-02.18850
    2015|G028.4360+03.6020|277.60010|-02.34859
    2016|G028.8545+03.8180|277.60024|-01.87837
    2017|G028.3366+03.5504|277.60036|-02.46046
    2018|G028.5179+03.6440|277.60041|-02.25670
    2019|G028.5907+03.6816|277.60049|-02.17489
    2020|G028.5005+03.6347|277.60071|-02.27644
    2021|G029.2121+04.0013|277.60131|-01.47735
    2022|G028.5953+03.6827|277.60160|-02.17034
    2023|G028.6508+03.7112|277.60168|-02.10803
    2024|G028.8336+03.8050|277.60225|-01.90298
    2025|G028.8546+03.8153|277.60275|-01.87955
    2026|G028.1155+03.4331|277.60293|-02.71035
    2027|G028.8484+03.8118|277.60300|-01.88667
    2028|G029.4962+04.1445|277.60407|-01.15979
    2029|G029.5580+04.1763|277.60411|-01.09052
    2030|G028.7165+03.7423|277.60424|-02.03554
    2031|G028.5847+03.6739|277.60454|-02.18379
    2032|G028.3377+03.5461|277.60465|-02.46142
    2033|G028.2134+03.4818|277.60471|-02.60119
    2034|G029.2656+04.0245|277.60516|-01.41927
    2035|G028.3015+03.5254|277.60644|-02.50300
    2036|G028.4994+03.6267|277.60728|-02.28107
    2037|G028.5826+03.6697|277.60728|-02.18758
    2038|G028.5908+03.6734|277.60774|-02.17858
    2039|G028.5762+03.6657|277.60789|-02.19505
    2040|G029.5134+04.1480|277.60883|-01.14297
    2041|G029.1781+03.9747|277.60936|-01.51967
    2042|G028.6928+03.7242|277.60944|-02.06488
    2043|G028.5752+03.6630|277.60988|-02.19717
    2044|G028.8022+03.7792|277.61078|-01.94263
    2045|G028.5474+03.6473|277.61102|-02.22909
    2046|G029.3741+04.0730|277.61176|-01.30081
    2047|G028.5833+03.6650|277.61177|-02.18903
    2048|G028.8487+03.8021|277.61177|-01.89087
    2049|G029.4343+04.1034|277.61232|-01.23357
    2050|G028.1670+03.4490|277.61254|-02.65738
    2051|G029.4982+04.1360|277.61255|-01.16195
    2052|G028.6021+03.6736|277.61275|-02.16842
    2053|G028.5954+03.6701|277.61277|-02.17603
    2054|G028.5898+03.6671|277.61290|-02.18236
    2055|G028.5855+03.6649|277.61292|-02.18717
    2056|G028.6540+03.6999|277.61319|-02.11039
    2057|G028.3493+03.5425|277.61322|-02.45276
    2058|G027.9947+03.3590|277.61329|-02.85153
    2059|G028.0997+03.4130|277.61355|-02.73354
    2060|G028.5891+03.6660|277.61359|-02.18344
    2061|G028.6953+03.7208|277.61362|-02.06414
    2062|G029.5087+04.1400|277.61376|-01.15082
    2063|G028.9746+03.8640|277.61447|-01.75085
    2064|G028.9562+03.8542|277.61475|-01.77173
    2065|G028.8322+03.7902|277.61478|-01.91093
    2066|G028.8107+03.7780|277.61574|-01.93567
    2067|G028.5834+03.6602|277.61607|-02.19125
    2068|G028.5961+03.6665|277.61637|-02.17705
    2069|G029.1559+03.9552|277.61649|-01.54829
    2070|G028.5460+03.6403|277.61658|-02.23349
    2071|G027.8446+03.2774|277.61668|-03.02210
    2072|G029.1141+03.9329|277.61724|-01.59557
    2073|G028.9958+03.8716|277.61742|-01.72858
    2074|G028.0589+03.3874|277.61754|-02.78151
    2075|G029.1606+03.9563|277.61768|-01.54361
    2076|G028.9226+03.8335|277.61778|-01.81094
    2077|G029.1063+03.9280|277.61790|-01.60475
    2078|G029.2191+03.9860|277.61812|-01.47815
    2079|G028.8139+03.7766|277.61848|-01.93343
    2080|G028.7343+03.7355|277.61849|-02.02284
    2081|G029.0495+03.8972|277.61930|-01.66917
    2082|G028.3840+03.5535|277.61932|-02.41697
    2083|G029.5374+04.1480|277.61986|-01.12176
    2084|G027.9652+03.3363|277.61987|-02.88813
    2085|G028.8142+03.7744|277.62049|-01.93417
    2086|G028.6456+03.6871|277.62073|-02.12373
    2087|G028.0494+03.3785|277.62103|-02.79406
    2088|G028.6469+03.6874|277.62108|-02.12238
    2089|G028.1181+03.4141|277.62110|-02.71675
    2090|G028.8051+03.7681|277.62196|-01.94517
    2091|G028.8963+03.8152|277.62197|-01.84264
    2092|G027.8899+03.2947|277.62220|-02.97392
    2093|G028.8000+03.7648|277.62255|-01.95116
    2094|G028.5898+03.6557|277.62302|-02.18756
    2095|G028.6474+03.6853|277.62322|-02.12298
    2096|G028.6745+03.6988|277.62358|-02.09272
    2097|G028.0409+03.3713|277.62358|-02.80489
    2098|G029.3121+04.0276|277.62369|-01.37656
    2099|G027.9578+03.3282|277.62370|-02.89837
    2100|G028.6139+03.6674|277.62375|-02.16084
    2101|G028.9213+03.8257|277.62409|-01.81571
    2102|G029.1039+03.9198|277.62414|-01.61064
    2103|G028.7189+03.7210|277.62422|-02.04316
    2104|G028.2572+03.4825|277.62424|-02.56205
    2105|G029.4856+04.1163|277.62432|-01.18219
    2106|G028.3655+03.5382|277.62442|-02.44045
    2107|G028.8948+03.8114|277.62458|-01.84572
    2108|G028.0967+03.3988|277.62478|-02.74278
    2109|G028.4693+03.5912|277.62502|-02.32408
    2110|G028.7237+03.7215|277.62606|-02.03866
    2111|G028.1885+03.4446|277.62636|-02.64032
    2112|G029.1762+03.9545|277.62641|-01.53058
    2113|G028.4858+03.5978|277.62671|-02.30643
    2114|G028.5951+03.6542|277.62683|-02.18355
    2115|G028.5790+03.6457|277.62694|-02.20172
    2116|G027.8411+03.2640|277.62703|-03.03134
    2117|G028.0038+03.3481|277.62717|-02.84846
    2118|G028.1761+03.4369|277.62750|-02.65488
    2119|G029.3711+04.0537|277.62754|-01.31236
    2120|G029.1418+03.9350|277.62797|-01.57005
    2121|G027.8363+03.2603|277.62809|-03.03726
    2122|G028.5462+03.6273|277.62829|-02.23929
    2123|G028.4727+03.5889|277.62863|-02.32205
    2124|G028.6034+03.6554|277.62956|-02.17572
    2125|G028.4003+03.5500|277.62998|-02.40420
    2126|G028.4772+03.5897|277.63001|-02.31780
    2127|G027.9626+03.3230|277.63052|-02.89649
    2128|G028.5215+03.6112|277.63120|-02.26854
    2129|G028.5884+03.6456|277.63142|-02.19349
    2130|G028.9151+03.8140|277.63159|-01.82655
    2131|G029.0432+03.8796|277.63205|-01.68293
    2132|G028.8170+03.7627|277.63216|-01.93706
    2133|G027.8440+03.2594|277.63250|-03.03091
    2134|G028.3012+03.4958|277.63261|-02.51687
    2135|G028.6899+03.6965|277.63273|-02.08012
    2136|G028.3650+03.5286|277.63279|-02.44527
    2137|G028.9855+03.8487|277.63306|-01.74826
    2138|G028.9273+03.8180|277.63366|-01.81393
    2139|G029.4290+04.0758|277.63438|-01.25087
    2140|G029.1757+03.9452|277.63444|-01.53537
    2141|G027.8418+03.2560|277.63446|-03.03443
    2142|G028.6827+03.6908|277.63447|-02.08908
    2143|G028.4147+03.5523|277.63455|-02.39036
    2144|G028.3987+03.5438|277.63472|-02.40841
    2145|G028.6503+03.6735|277.63503|-02.12578
    2146|G028.7916+03.7455|277.63583|-01.96747
    2147|G029.1837+03.9475|277.63608|-01.52717
    2148|G028.7504+03.7230|277.63696|-02.01430
    2149|G029.1909+03.9499|277.63720|-01.51974
    2150|G028.7280+03.7110|277.63729|-02.03966
    2151|G029.0756+03.8904|277.63730|-01.64917
    2152|G028.0501+03.3605|277.63743|-02.80166
    2153|G028.6459+03.6684|277.63753|-02.13201
    2154|G028.5006+03.5930|277.63777|-02.29551
    2155|G028.6583+03.6744|277.63793|-02.11829
    2156|G028.2999+03.4889|277.63819|-02.52122
    2157|G028.5943+03.6407|277.63843|-02.19053
    2158|G029.2534+03.9808|277.63843|-01.45014
    2159|G028.1011+03.3857|277.63849|-02.74496
    2160|G029.4542+04.0838|277.63879|-01.22488
    2161|G028.3946+03.5369|277.63895|-02.41523
    2162|G028.4437+03.5622|277.63909|-02.36004
    2163|G028.4299+03.5549|277.63919|-02.37565
    2164|G028.7280+03.7084|277.63960|-02.04092
    2165|G028.3153+03.4950|277.63983|-02.50476
    2166|G029.2685+03.9862|277.64060|-01.43426
    2167|G028.3890+03.5320|277.64077|-02.42248
    2168|G029.4302+04.0689|277.64108|-01.25304
    2169|G028.1343+03.3996|277.64140|-02.70913
    2170|G029.2242+03.9624|277.64144|-01.48445
    2171|G028.7817+03.7337|277.64178|-01.98168
    2172|G029.2976+03.9996|277.64192|-01.40234
    2173|G028.0265+03.3432|277.64194|-02.83055
    2174|G027.9391+03.2975|277.64229|-02.92909
    2175|G028.3638+03.5171|277.64245|-02.45166
    2176|G028.8842+03.7858|277.64257|-01.86688
    2177|G028.3634+03.5160|277.64324|-02.45248
    2178|G028.3852+03.5272|277.64326|-02.42803
    2179|G028.9182+03.8024|277.64336|-01.82914
    2180|G028.9887+03.8387|277.64341|-01.75002
    2181|G028.5381+03.6060|277.64352|-02.25628
    2182|G029.0248+03.8560|277.64460|-01.71009
    2183|G029.5615+04.1324|277.64469|-01.10753
    2184|G028.6348+03.6530|277.64613|-02.14898
    2185|G028.2813+03.4698|277.64653|-02.54650
    2186|G028.5248+03.5951|277.64706|-02.27313
    2187|G029.0963+03.8899|277.64718|-01.63112
    2188|G028.2023+03.4281|277.64729|-02.63569
    2189|G029.0037+03.8416|277.64766|-01.73537
    2190|G028.3146+03.4852|277.64821|-02.50987
    2191|G028.1306+03.3899|277.64832|-02.71684
    2192|G028.7596+03.7147|277.64851|-02.00997
    2193|G028.6678+03.6662|277.64953|-02.11369
    2194|G029.1410+03.9103|277.64958|-01.58216
    2195|G028.7891+03.7283|277.64996|-01.97761
    2196|G027.9016+03.2695|277.65003|-02.97518
    2197|G028.0632+03.3530|277.65008|-02.79350
    2198|G028.6767+03.6694|277.65072|-02.10428
    2199|G027.9278+03.2821|277.65087|-02.94623
    2200|G028.5777+03.6175|277.65142|-02.21586
    2201|G029.3389+04.0098|277.65178|-01.36102
    2202|G028.5664+03.6113|277.65179|-02.22871
    2203|G028.7401+03.7009|277.65187|-02.03357
    2204|G029.4719+04.0780|277.65204|-01.21187
    2205|G027.8693+03.2498|277.65265|-03.01295
    2206|G028.1875+03.4140|277.65301|-02.65532
    2207|G028.5689+03.6111|277.65310|-02.22667
    2208|G028.1472+03.3927|277.65343|-02.70079
    2209|G028.3211+03.4822|277.65385|-02.50549
    2210|G028.6995+03.6774|277.65406|-02.08042
    2211|G029.5779+04.1296|277.65477|-01.09426
    2212|G028.6816+03.6671|277.65499|-02.10101
    2213|G028.2098+03.4228|277.65550|-02.63146
    2214|G028.0635+03.3467|277.65586|-02.79621
    2215|G029.2705+03.9700|277.65589|-01.43992
    2216|G029.3132+03.9919|277.65595|-01.39205
    2217|G028.6400+03.6443|277.65620|-02.14832
    2218|G028.8426+03.7486|277.65646|-01.92088
    2219|G028.6435+03.6457|277.65656|-02.14455
    2220|G028.5598+03.6023|277.65676|-02.23872
    2221|G029.0069+03.8329|277.65695|-01.73651
    2222|G028.6441+03.6428|277.65944|-02.14539
    2223|G029.3321+03.9977|277.65946|-01.37263
    2224|G028.6039+03.6220|277.65951|-02.19063
    2225|G028.0542+03.3377|277.65960|-02.80856
    2226|G028.7184+03.6805|277.66003|-02.06225
    2227|G028.9790+03.8148|277.66019|-01.76949
    2228|G029.5154+04.0902|277.66118|-01.16772
    2229|G029.2868+03.9723|277.66124|-01.42447
    2230|G029.5536+04.1095|277.66144|-01.12501
    2231|G028.5530+03.5934|277.66151|-02.24880
    2232|G028.8899+03.7671|277.66173|-01.87047
    2233|G028.1219+03.3697|277.66222|-02.73386
    2234|G028.5672+03.5994|277.66265|-02.23350
    2235|G028.6045+03.6180|277.66330|-02.19188
    2236|G029.4146+04.0356|277.66358|-01.28209
    2237|G029.3421+03.9980|277.66380|-01.36364
    2238|G028.3483+03.4834|277.66526|-02.48087
    2239|G028.8083+03.7208|277.66542|-01.96404
    2240|G029.0403+03.8402|277.66569|-01.70355
    2241|G028.2999+03.4578|277.66580|-02.53552
    2242|G028.6444+03.6354|277.66613|-02.14856
    2243|G028.7013+03.6646|277.66630|-02.08463
    2244|G028.6948+03.6606|277.66691|-02.09227
    2245|G029.5971+04.1257|277.66699|-01.07901
    2246|G028.2103+03.4094|277.66763|-02.63723
    2247|G028.6056+03.6132|277.66808|-02.19316
    2248|G028.5991+03.6096|277.66830|-02.20054
    2249|G028.2766+03.4423|277.66888|-02.56329
    2250|G028.5758+03.5957|277.66998|-02.22759
    2251|G028.4379+03.5243|277.67006|-02.38265
    2252|G028.9292+03.7778|277.67026|-01.83067
    2253|G028.8235+03.7225|277.67088|-01.94977
    2254|G028.4276+03.5177|277.67118|-02.39481
    2255|G029.4397+04.0398|277.67129|-01.25798
    2256|G029.5307+04.0864|277.67152|-01.15585
    2257|G028.4777+03.5432|277.67157|-02.33867
    2258|G028.0619+03.3280|277.67172|-02.80624
    2259|G027.9011+03.2447|277.67185|-02.98703
    2260|G029.3894+04.0130|277.67204|-01.31484
    2261|G028.2560+03.4278|277.67231|-02.58824
    2262|G028.3670+03.4834|277.67387|-02.46430
    2263|G029.0209+03.8205|277.67437|-01.72981
    2264|G028.7230+03.6663|277.67474|-02.06462
    2265|G028.0396+03.3130|277.67479|-02.83291
    2266|G028.6171+03.6107|277.67556|-02.18403
    2267|G028.8580+03.7348|277.67584|-01.91350
    2268|G028.2036+03.3966|277.67595|-02.64903
    2269|G028.2663+03.4288|277.67615|-02.57865
    2270|G028.8206+03.7151|277.67617|-01.95577
    2271|G028.1655+03.3765|277.67629|-02.69208
    2272|G028.7804+03.6941|277.67641|-02.00108
    2273|G028.2801+03.4356|277.67641|-02.56328
    2274|G028.8516+03.7305|277.67670|-01.92119
    2275|G029.5482+04.0887|277.67750|-01.13933
    2276|G028.6464+03.6233|277.67780|-02.15229
    2277|G029.0805+03.8472|277.67792|-01.66469
    2278|G028.6873+03.6428|277.67925|-02.10710
    2279|G029.0615+03.8358|277.67932|-01.68680
    2280|G028.5829+03.5883|277.67979|-02.22471
    2281|G028.1565+03.3674|277.68022|-02.70428
    2282|G028.6767+03.6362|277.68030|-02.11956
    2283|G029.6104+04.1170|277.68076|-01.07118
    2284|G029.3051+03.9594|277.68110|-01.41415
    2285|G028.5110+03.5496|277.68116|-02.30628
    2286|G028.2841+03.4321|277.68133|-02.56135
    2287|G028.9390+03.7701|277.68162|-01.82559
    2288|G029.1376+03.8718|277.68226|-01.60286
    2289|G028.5720+03.5797|277.68242|-02.23833
    2290|G028.6112+03.5994|277.68292|-02.19457
    2291|G029.4177+04.0152|277.68304|-01.28871
    2292|G029.0381+03.8196|277.68306|-01.71493
    2293|G028.4862+03.5340|277.68366|-02.33534
    2294|G028.7585+03.6746|277.68368|-02.02936
    2295|G028.3372+03.4568|277.68386|-02.50291
    2296|G028.6309+03.6085|277.68390|-02.17285
    2297|G028.6996+03.6436|277.68419|-02.09583
    2298|G028.6470+03.6160|277.68464|-02.15513
    2299|G028.6438+03.6142|277.68477|-02.15880
    2300|G028.2618+03.4167|277.68482|-02.58821
    2301|G028.5874+03.5846|277.68510|-02.22236
    2302|G028.6058+03.5937|277.68548|-02.20196
    2303|G028.5644+03.5716|277.68610|-02.24873
    2304|G028.6493+03.6152|277.68630|-02.15347
    2305|G028.4581+03.5163|277.68643|-02.36845
    2306|G028.3615+03.4656|277.68714|-02.47736
    2307|G028.6728+03.6260|277.68756|-02.12773
    2308|G029.1953+03.8955|277.68765|-01.54079
    2309|G028.6020+03.5892|277.68775|-02.20733
    2310|G028.6746+03.6260|277.68831|-02.12610
    2311|G028.9208+03.7529|277.68848|-01.84960
    2312|G027.9088+03.2292|277.68917|-02.98736
    2313|G028.0120+03.2802|277.69122|-02.87245
    2314|G028.4863+03.5255|277.69128|-02.33917
    2315|G028.7366+03.6547|277.69129|-02.05794
    2316|G029.0002+03.7900|277.69199|-01.76220
    2317|G028.1647+03.3583|277.69204|-02.70115
    2318|G029.0924+03.8369|277.69251|-01.65893
    2319|G028.9330+03.7538|277.69336|-01.83831
    2320|G028.6942+03.6302|277.69363|-02.10679
    2321|G028.6540+03.6088|277.69421|-02.15232
    2322|G029.1612+03.8703|277.69432|-01.58260
    2323|G027.9287+03.2336|277.69439|-02.96769
    2324|G028.4813+03.5191|277.69466|-02.34659
    2325|G029.2546+03.9180|277.69479|-01.47785
    2326|G028.4627+03.5093|277.69484|-02.36756
    2327|G028.1379+03.3410|277.69512|-02.73289
    2328|G028.8366+03.7019|277.69531|-01.94761
    2329|G028.4012+03.4768|277.69544|-02.43697
    2330|G028.8381+03.7025|277.69546|-01.94601
    2331|G028.7439+03.6536|277.69562|-02.05200
    2332|G029.0004+03.7852|277.69628|-01.76418
    2333|G028.6286+03.5933|277.69633|-02.18196
    2334|G028.8216+03.6923|277.69689|-01.96536
    2335|G029.3533+03.9665|277.69691|-01.36820
    2336|G028.7303+03.6451|277.69694|-02.06793
    2337|G027.9048+03.2181|277.69716|-02.99603
    2338|G028.2551+03.3991|277.69732|-02.60227
    2339|G028.3355+03.4401|277.69790|-02.51211
    2340|G028.0472+03.2904|277.69842|-02.83651
    2341|G028.4038+03.4744|277.69873|-02.43580
    2342|G028.6813+03.6177|277.69885|-02.12395
    2343|G029.2189+03.8948|277.69907|-01.52022
    2344|G028.1399+03.3374|277.69923|-02.73273
    2345|G029.0224+03.7926|277.69985|-01.74125
    2346|G029.0141+03.7881|277.70002|-01.75072
    2347|G027.9903+03.2587|277.70039|-02.90154
    2348|G028.8437+03.6997|277.70048|-01.94236
    2349|G028.6471+03.5976|277.70096|-02.16349
    2350|G028.2604+03.3976|277.70109|-02.59823
    2351|G028.5884+03.5671|277.70118|-02.22953
    2352|G028.6653+03.6067|277.70123|-02.14318
    2353|G028.6964+03.6227|277.70129|-02.10829
    2354|G029.4257+03.9982|277.70191|-01.28942
    2355|G028.8114+03.6813|277.70198|-01.97941
    2356|G028.8524+03.7014|277.70294|-01.93388
    2357|G029.5186+04.0448|277.70296|-01.18573
    2358|G028.6865+03.6153|277.70336|-02.12049
    2359|G028.8565+03.7022|277.70413|-01.92984
    2360|G029.4152+03.9900|277.70435|-01.30250
    2361|G029.0233+03.7872|277.70503|-01.74296
    2362|G028.7905+03.6670|277.70516|-02.00452
    2363|G029.5862+04.0765|277.70572|-01.11122
    2364|G028.8612+03.7022|277.70630|-01.92567
    2365|G028.6276+03.5813|277.70649|-02.18827
    2366|G028.3294+03.4272|277.70651|-02.52347
    2367|G028.7828+03.6611|277.70684|-02.01410
    2368|G028.8538+03.6975|277.70701|-01.93437
    2369|G029.5922+04.0777|277.70739|-01.10538
    2370|G028.0950+03.3050|277.70740|-02.78744
    2371|G028.3562+03.4400|277.70747|-02.49385
    2372|G028.3226+03.4224|277.70762|-02.53169
    2373|G029.1952+03.8727|277.70783|-01.55133
    2374|G029.4488+04.0031|277.70806|-01.26670
    2375|G028.1496+03.3316|277.70885|-02.72684
    2376|G029.4269+03.9899|277.70977|-01.29213
    2377|G028.8061+03.6697|277.70991|-01.98946
    2378|G028.0228+03.2640|277.71065|-02.87036
    2379|G028.3221+03.4186|277.71078|-02.53386
    2380|G028.3510+03.4333|277.71100|-02.50149
    2381|G028.0982+03.3023|277.71127|-02.78583
    2382|G028.5670+03.5439|277.71192|-02.25919
    2383|G027.8435+03.1697|277.71196|-03.07263
    2384|G028.7746+03.6511|277.71197|-02.02589
    2385|G028.7658+03.6464|277.71207|-02.03585
    2386|G029.2901+03.9163|277.71249|-01.44723
    2387|G029.1644+03.8516|277.71250|-01.58835
    2388|G028.1559+03.3306|277.71262|-02.72165
    2389|G027.8444+03.1694|277.71262|-03.07197
    2390|G029.6053+04.0777|277.71337|-01.09372
    2391|G029.3358+03.9389|277.71341|-01.39633
    2392|G028.1044+03.3029|277.71361|-02.78009
    2393|G029.2203+03.8791|277.71363|-01.52616
    2394|G028.4891+03.5017|277.71372|-02.34763
    2395|G028.3126+03.4099|277.71420|-02.54628
    2396|G028.7112+03.6156|277.71437|-02.09844
    2397|G029.2909+03.9143|277.71472|-01.44744
    2398|G028.6956+03.6071|277.71474|-02.11618
    2399|G028.0908+03.2942|277.71509|-02.79618
    2400|G028.7790+03.6495|277.71537|-02.02274
    2401|G027.9240+03.2071|277.71577|-02.98405
    2402|G028.7965+03.6579|277.71591|-02.00338
    2403|G028.3877+03.4466|277.71603|-02.46286
    2404|G028.9450+03.7343|277.71616|-01.83668
    2405|G028.1573+03.3273|277.71619|-02.72194
    2406|G029.4271+03.9827|277.71626|-01.29529
    2407|G028.1365+03.3164|277.71636|-02.74546
    2408|G029.2654+03.8992|277.71640|-01.47697
    2409|G029.3108+03.9224|277.71663|-01.42611
    2410|G028.1376+03.3165|277.71676|-02.74440
    2411|G028.1757+03.3360|277.71697|-02.70164
    2412|G028.1540+03.3246|277.71714|-02.72615
    2413|G028.3543+03.4280|277.71725|-02.50098
