recno|MIRES|RAJ2000|DEJ2000
      74|G205.9861-16.2915|085.24068|-01.41011
      75|G205.8716-16.2308|085.24280|-01.28461
      76|G206.7095-16.6543|085.24326|-02.19297
      77|G206.1492-16.3713|085.24327|-01.58581
      78|G206.9194-16.7587|085.24422|-02.41950
      79|G206.2289-16.4106|085.24422|-01.67175
      80|G206.8631-16.7267|085.24756|-02.35689
      81|G206.5243-16.5559|085.24780|-01.99009
      82|G206.4365-16.5113|085.24809|-01.89484
      83|G206.3365-16.4597|085.24901|-01.78591
      84|G206.4484-16.5157|085.24947|-01.90700
      85|G206.1337-16.3557|085.25018|-01.56539
      86|G206.4476-16.5145|085.25022|-01.90578
      87|G206.5350-16.5582|085.25056|-02.00028
      88|G206.6101-16.5943|085.25209|-02.08078
      89|G206.4445-16.5096|085.25318|-01.90084
      90|G205.7556-16.1598|085.25331|-01.15289
      91|G206.4261-16.5000|085.25343|-01.88078
      92|G206.5333-16.5519|085.25534|-01.99586
      93|G206.3705-16.4696|085.25547|-01.81942
      94|G206.4817-16.5254|085.25580|-01.93975
      95|G206.4014-16.4815|085.25876|-01.85114
      96|G206.4270-16.4943|085.25889|-01.87892
      97|G206.2879-16.4221|085.26055|-01.72717
      98|G206.4068-16.4792|085.26326|-01.85469
      99|G206.6413-16.5946|085.26577|-02.10734
     100|G206.1847-16.3617|085.26772|-01.61147
     101|G206.6383-16.5905|085.26801|-02.10292
     102|G206.4218-16.4775|085.27147|-01.86664
     103|G206.4631-16.4976|085.27213|-01.91106
     104|G207.0246-16.7793|085.27272|-02.51833
     105|G206.4239-16.4767|085.27310|-01.86800
     106|G206.9663-16.7496|085.27314|-02.45503
     107|G207.1576-16.8448|085.27355|-02.66148
     108|G206.0292-16.2740|085.27547|-01.43855
     109|G205.7408-16.1271|085.27551|-01.12498
     110|G206.4102-16.4664|085.27606|-01.85162
     111|G206.4314-16.4770|085.27618|-01.87453
     112|G207.1209-16.8190|085.28022|-02.61842
     113|G206.4671-16.4899|085.28076|-01.91086
     114|G206.8746-16.6932|085.28230|-02.35112
     115|G206.4573-16.4820|085.28335|-01.89886
     116|G206.3781-16.4406|085.28455|-01.81240
     117|G206.4606-16.4806|085.28605|-01.90095
     118|G206.4976-16.4986|085.28664|-01.94078
     119|G206.3328-16.4134|085.28830|-01.76126
     120|G205.9245-16.2042|085.29014|-01.31703
     121|G206.4649-16.4755|085.29247|-01.90222
     122|G206.4183-16.4511|085.29326|-01.85131
     123|G206.3898-16.4365|085.29343|-01.82034
     124|G206.5239-16.5017|085.29559|-01.96450
     125|G206.4790-16.4789|085.29572|-01.91584
     126|G206.6382-16.5575|085.29727|-02.08753
     127|G206.4967-16.4854|085.29793|-01.93383
     128|G206.3913-16.4304|085.29951|-01.81881
     129|G206.3592-16.4124|085.30106|-01.78320
     130|G206.8575-16.6628|085.30172|-02.32248
     131|G206.4457-16.4550|085.30205|-01.87642
     132|G206.3718-16.4166|085.30301|-01.79584
     133|G206.4119-16.4324|085.30693|-01.83725
     134|G206.3637-16.4072|085.30768|-01.78450
     135|G206.9493-16.7010|085.30868|-02.41814
     136|G206.5201-16.4837|085.30984|-01.95292
     137|G206.3488-16.3970|085.30998|-01.76717
     138|G206.4070-16.4260|085.31043|-01.83003
     139|G206.4589-16.4521|085.31051|-01.88631
     140|G206.3533-16.3973|085.31172|-01.77109
     141|G206.8052-16.6251|085.31181|-02.26061
     142|G205.7450-16.0879|085.31205|-01.11019
     143|G206.4760-16.4588|085.31218|-01.90392
     144|G206.4040-16.4223|085.31226|-01.82578
     145|G206.4791-16.4601|085.31242|-01.90720
     146|G205.9111-16.1721|085.31243|-01.29061
     147|G206.5016-16.4711|085.31280|-01.93134
     148|G207.1299-16.7836|085.31560|-02.60961
     149|G206.4801-16.4565|085.31605|-01.90631
     150|G206.3624-16.3966|085.31643|-01.77850
     151|G206.6642-16.5469|085.31822|-02.10462
     152|G206.1347-16.2780|085.31934|-01.52992
     153|G206.3660-16.3939|085.32047|-01.78025
     154|G206.3211-16.3700|085.32155|-01.73106
     155|G206.8483-16.6356|085.32168|-02.30208
     156|G206.4724-16.4447|085.32306|-01.89428
     157|G206.4960-16.4564|085.32326|-01.91976
     158|G206.3089-16.3599|085.32497|-01.71601
     159|G206.4093-16.4105|085.32509|-01.82478
     160|G206.4954-16.4532|085.32580|-01.91778
     161|G206.4162-16.4122|085.32668|-01.83142
     162|G206.3576-16.3804|085.32864|-01.76692
     163|G206.3959-16.3997|085.32873|-01.80834
     164|G206.3625-16.3822|085.32922|-01.77183
     165|G206.4202-16.4102|085.33031|-01.83392
     166|G206.5235-16.4600|085.33238|-01.94475
     167|G206.4746-16.4352|085.33251|-01.89169
     168|G206.5605-16.4743|085.33626|-01.98284
     169|G206.5152-16.4507|085.33693|-01.93342
     170|G206.8520-16.6201|085.33709|-02.29803
     171|G206.3948-16.3877|085.33885|-01.80184
     172|G206.0269-16.2009|085.33901|-01.40237
     173|G206.3940-16.3860|085.33997|-01.80042
     174|G206.5465-16.4628|085.34018|-01.96559
     175|G206.4251-16.4013|085.34035|-01.83392
     176|G206.7498-16.5649|085.34047|-02.18562
     177|G206.3557-16.3650|085.34147|-01.75809
     178|G206.8425-16.6101|085.34168|-02.28531
     179|G206.4345-16.4042|085.34205|-01.84325
     180|G206.8368-16.6067|085.34222|-02.27889
     181|G206.7223-16.5473|085.34380|-02.15411
     182|G206.5216-16.4437|085.34593|-01.93559
     183|G206.8524-16.6091|085.34701|-02.29325
     184|G206.3211-16.3395|085.34847|-01.71684
     185|G206.6365-16.4978|085.34935|-02.05825
     186|G206.1773-16.2650|085.34997|-01.55998
     187|G206.5138-16.4348|085.35039|-01.92483
     188|G206.8314-16.5942|085.35088|-02.26848
     189|G206.4697-16.4119|085.35097|-01.87670
     190|G206.4234-16.3883|085.35109|-01.82639
     191|G206.4998-16.4267|085.35127|-01.90917
     192|G206.3604-16.3561|085.35134|-01.75792
     193|G206.9321-16.6433|085.35218|-02.37678
     194|G206.8659-16.6077|085.35426|-02.30404
     195|G206.1341-16.2379|085.35447|-01.51067
     196|G205.8236-16.0797|085.35476|-01.17306
     197|G206.4454-16.3945|085.35543|-01.84797
     198|G206.4040-16.3725|085.35643|-01.80256
     199|G206.5214-16.4309|085.35718|-01.92948
     200|G207.0974-16.7193|085.35827|-02.55228
     201|G206.5915-16.4644|085.35888|-02.00448
     202|G206.9430-16.6392|085.36067|-02.38415
     203|G206.5379-16.4352|085.36081|-01.94539
     204|G207.1219-16.7275|085.36180|-02.57689
     205|G206.3239-16.3257|085.36197|-01.71278
     206|G206.4991-16.4138|085.36238|-01.90259
     207|G206.4234-16.3736|085.36410|-01.81953
     208|G206.4538-16.3882|085.36476|-01.85220
     209|G206.4108-16.3648|085.36626|-01.80476
     210|G206.5026-16.4111|085.36634|-01.90429
     211|G206.4651-16.3911|085.36731|-01.86306
     212|G207.1922-16.7561|085.36768|-02.64981
     213|G206.4470-16.3804|085.36868|-01.84279
     214|G206.5488-16.4317|085.36872|-01.95306
     215|G205.8840-16.0940|085.36930|-01.23100
     216|G206.4472-16.3795|085.36956|-01.84250
     217|G206.5224-16.4173|085.36968|-01.92400
     218|G206.3400-16.3245|085.37018|-01.72587
     219|G206.9522-16.6324|085.37077|-02.38878
     220|G206.5813-16.4455|085.37106|-01.98712
     221|G206.2614-16.2824|085.37226|-01.63947
     222|G206.8425-16.5736|085.37405|-02.26831
     223|G206.3125-16.3059|085.37435|-01.69381
     224|G206.3771-16.3383|085.37464|-01.76383
     225|G207.2011-16.7514|085.37576|-02.65522
     226|G206.7115-16.5055|085.37605|-02.12551
     227|G206.4933-16.3954|085.37609|-01.88901
     228|G206.4120-16.3542|085.37614|-01.80084
     229|G206.0202-16.1550|085.37664|-01.37517
     230|G206.2586-16.2758|085.37680|-01.63406
     231|G206.4873-16.3904|085.37785|-01.88158
     232|G206.4025-16.3474|085.37797|-01.78962
     233|G206.4106-16.3482|085.38085|-01.79687
     234|G206.5146-16.4007|085.38093|-01.90965
     235|G206.5297-16.4081|085.38114|-01.92581
     236|G206.4836-16.3840|085.38184|-01.87548
     237|G206.4426-16.3627|085.38231|-01.83075
     238|G206.8672-16.5759|085.38305|-02.29042
     239|G206.5270-16.4044|085.38314|-01.92184
     240|G206.4016-16.3410|085.38322|-01.78589
     241|G206.5128-16.3952|085.38493|-01.90550
     242|G206.3745-16.3248|085.38543|-01.75534
     243|G206.4811-16.3770|085.38688|-01.87017
     244|G206.5200-16.3967|085.38689|-01.91234
     245|G206.4202-16.3441|085.38881|-01.80303
     246|G206.4082-16.3365|085.39013|-01.78931
     247|G206.5013-16.3826|085.39101|-01.88987
     248|G206.8956-16.5809|085.39126|-02.31684
     249|G206.5087-16.3856|085.39164|-01.89753
     250|G206.5056-16.3840|085.39172|-01.89416
     251|G206.4500-16.3557|085.39184|-01.83381
     252|G206.9254-16.5952|085.39185|-02.34878
     253|G206.2848-16.2713|085.39260|-01.65420
     254|G206.5884-16.4243|085.39297|-01.98323
     255|G206.5015-16.3799|085.39343|-01.88878
     256|G206.5225-16.3902|085.39372|-01.91142
     257|G206.8725-16.5655|085.39464|-02.29009
     258|G206.5413-16.3984|085.39488|-01.93117
     259|G206.3947-16.3241|085.39510|-01.77211
     260|G206.4323-16.3431|085.39514|-01.81292
     261|G206.5512-16.4031|085.39517|-01.94175
     262|G206.2813-16.2656|085.39601|-01.64858
     263|G206.5363-16.3945|085.39610|-01.92508
     264|G206.4471-16.3492|085.39630|-01.82834
     265|G207.1105-16.6819|085.39722|-02.54606
     266|G206.4860-16.3676|085.39747|-01.86989
     267|G206.4577-16.3532|085.39747|-01.83914
     268|G206.4332-16.3408|085.39756|-01.81261
     269|G206.4906-16.3695|085.39776|-01.87467
     270|G206.5189-16.3838|085.39781|-01.90542
     271|G206.2955-16.2701|085.39847|-01.66272
     272|G206.4077-16.3266|085.39868|-01.78429
     273|G206.8544-16.5517|085.39872|-02.26829
     274|G206.5116-16.3787|085.39905|-01.89678
     275|G206.5511-16.3984|085.39926|-01.93954
     276|G207.0830-16.6652|085.39984|-02.51501
     277|G206.4000-16.3209|085.40030|-01.77511
     278|G206.7578-16.5010|085.40064|-02.16278
     279|G206.5217-16.3815|085.40105|-01.90672
     280|G206.5104-16.3755|085.40139|-01.89431
     281|G206.8662-16.5544|085.40159|-02.27956
     282|G206.5056-16.3720|085.40234|-01.88859
     283|G206.4187-16.3272|085.40306|-01.79392
     284|G206.5164-16.3762|085.40347|-01.89973
     285|G206.5290-16.3825|085.40351|-01.91333
     286|G206.5116-16.3732|085.40397|-01.89426
     287|G206.2965-16.2639|085.40435|-01.66064
     288|G206.4097-16.3207|085.40480|-01.78331
     289|G206.8758-16.5555|085.40488|-02.28820
     290|G206.8155-16.5249|085.40522|-02.22281
     291|G206.3722-16.3010|085.40547|-01.74219
     292|G206.4436-16.3370|085.40552|-01.81967
     293|G206.5058-16.3683|085.40563|-01.88708
     294|G206.4986-16.3644|085.40589|-01.87909
     295|G206.4548-16.3420|085.40609|-01.83145
     296|G206.4286-16.3287|085.40622|-01.80303
     297|G206.8310-16.5312|085.40651|-02.23892
     298|G206.5247-16.3765|085.40685|-01.90686
     299|G206.4653-16.3460|085.40726|-01.84222
     300|G206.3971-16.3113|085.40743|-01.76817
     301|G206.4331-16.3290|085.40793|-01.80700
     302|G206.5336-16.3783|085.40918|-01.91529
     303|G206.3686-16.2946|085.40951|-01.73622
     304|G206.4682-16.3442|085.41018|-01.84392
     305|G206.5742-16.3968|085.41097|-01.95836
     306|G206.5280-16.3731|085.41134|-01.90808
     307|G206.5017-16.3598|085.41139|-01.87959
     308|G206.5520-16.3850|085.41155|-01.93403
     309|G206.8314-16.5257|085.41159|-02.23670
     310|G206.4451-16.3308|085.41176|-01.81803
     311|G206.6072-16.4119|085.41238|-01.99342
     312|G206.4100-16.3117|085.41293|-01.77929
     313|G206.5209-16.3677|085.41293|-01.89959
     314|G206.4925-16.3532|085.41310|-01.86870
     315|G206.3769-16.2945|085.41335|-01.74320
     316|G206.5251-16.3694|085.41335|-01.90395
     317|G206.4145-16.3123|085.41435|-01.78339
     318|G206.3999-16.3050|085.41435|-01.76765
     319|G206.5136-16.3622|085.41459|-01.89081
     320|G206.5154-16.3630|085.41464|-01.89270
     321|G206.3343-16.2706|085.41535|-01.69592
     322|G206.4069-16.3072|085.41551|-01.77453
     323|G206.6518-16.4307|085.41559|-02.04006
     324|G206.3722-16.2875|085.41738|-01.73592
     325|G206.5169-16.3605|085.41751|-01.89286
     326|G206.5657-16.3848|085.41785|-01.94556
     327|G206.4982-16.3507|085.41785|-01.87234
     328|G206.8621-16.5340|085.41785|-02.26659
     329|G206.4160-16.3089|085.41805|-01.78314
     330|G206.8152-16.5102|085.41810|-02.21570
     331|G206.3874-16.2936|085.41880|-01.75167
     332|G206.4989-16.3499|085.41885|-01.87258
     333|G205.9074-16.0496|085.41902|-01.23009
     334|G206.5445-16.3726|085.41917|-01.92184
     335|G206.5214-16.3607|085.41934|-01.89675
     336|G207.0571-16.6302|085.41935|-02.47678
     337|G206.9160-16.5590|085.41977|-02.32395
     338|G206.5272-16.3623|085.42051|-01.90239
     339|G206.3717-16.2831|085.42109|-01.73348
