angDist,col1,name,significance,var_flag,streak_src_flag,pileup_flag,ra,dec,conf_flag,class,prob,var_inter_index_b,var_intra_index_b,col1,recno,MIRES,RAJ2000,DEJ2000
0.011166,61662,2CXO J054134.3-015859,2.540540540540544,0,0,0,85.39297303668292,-1.9832306398253656,0,STAR,0.9999053014828012,,0.0,253,254,G206.5884-16.4243,85.39296999999999,-1.9832299999999998
0.401653,61665,2CXO J054135.8-015622,5.9807452917623625,0,0,0,85.3991699734771,-1.9396059730651325,0,STAR,0.9999694309513416,,5.0,274,275,G206.5511-16.3984,85.39926,-1.93954
0.294025,61667,2CXO J054136.8-015359,12.039005107648661,0,0,0,85.40340119494026,-1.899774064303368,0,STAR,0.9999855914027812,,10.0,283,284,G206.5164-16.3762,85.40347,-1.89973
0.561517,61669,2CXO J054136.9-015339,3.7575757575753306,0,0,0,85.40393696311878,-1.8944124420600024,0,STAR,0.9999887129233568,,0.0,285,286,G206.5116-16.3732,85.40397,-1.8942599999999998
0.627843,61670,2CXO J054137.3-015245,3.470588235293921,0,0,0,85.40575196416142,-1.8791966874668533,0,STAR,0.9999880534123864,,0.0,293,294,G206.4986-16.3644,85.40589,-1.8790900000000001
0.374688,61671,2CXO J054137.4-014953,11.668624158979545,0,0,0,85.40600498513714,-1.8315101042594604,0,STAR,0.9999671310697316,,0.0,294,295,G206.4548-16.3420,85.40609,-1.83145
0.310562,61673,2CXO J054138.1-015455,3.428571428571136,0,0,0,85.40912931122102,-1.915359825007829,0,STAR,0.9999162082896658,,5.0,301,302,G206.5336-16.3783,85.40918,-1.9152900000000002
0.229922,61676,2CXO J054139.0-015358,9.98709511684976,0,0,0,85.41286616544312,-1.8995929430129903,0,STAR,0.9999651602258912,,5.0,312,313,G206.5209-16.3677,85.41293,-1.8995900000000001
0.577102,61684,2CXO J054140.9-015409,3.0555555555556326,0,0,0,85.42046685782087,-1.9025443984445267,0,STAR,0.9994319050592168,,10.0,337,338,G206.5272-16.3623,85.42051,-1.9023900000000002
0.452163,61687,2CXO J054141.3-015352,5.318593936762576,0,0,0,85.42242049130238,-1.897928162163586,0,STAR,0.9955026523110654,,0.0,340,341,G206.5239-16.3584,85.42251,-1.8978400000000002
0.156961,61690,2CXO J054141.6-015754,8.655933580704549,0,0,0,85.42353868164912,-1.965272107232337,0,STAR,0.9999317274587798,,0.0,345,346,G206.5866-16.3889,85.42355,-1.96523
0.342760,61696,2CXO J054142.1-015301,3.818181818181976,0,0,0,85.42547464689096,-1.8838082509828016,0,STAR,0.9982927742539612,,0.0,353,354,G206.5124-16.3492,85.42555,-1.88375
0.475491,61703,2CXO J054143.9-015302,2.6111111111111356,0,0,0,85.43323846484826,-1.88400454067454,0,STAR,0.9926216028320404,,0.0,379,380,G206.5164-16.3424,85.43334,-1.88392
0.769390,61706,2CXO J054144.1-015735,2.3783783783783963,0,0,0,85.43404889991939,-1.959938199147086,0,STAR,0.999972561777846,,0.0,385,386,G206.5868-16.3769,85.43422,-1.9598099999999998
0.387550,61711,2CXO J054145.3-015157,12.871989610006509,0,0,0,85.43907781425037,-1.8658478984398057,0,STAR,0.9977345435572986,,0.0,398,399,G206.5024-16.3288,85.43914000000001,-1.8657599999999999
0.245165,61717,2CXO J054146.2-015554,4.882352941176826,0,0,0,85.44274190864292,-1.931787420788363,0,STAR,0.5346279416102062,,0.0,410,411,G206.5651-16.3563,85.44281,-1.9317900000000001
0.389901,61719,2CXO J054147.1-015035,10.892197144364884,0,0,0,85.44628361870878,-1.8432195018294424,0,STAR,0.9997897822408432,,0.0,419,420,G206.4851-16.3118,85.44638,-1.84317
