angDist,name,ra,dec,lii,bii,error_ellipse_r0,error_ellipse_r1,extent_flag,conf_flag,pileup_flag,streak_src_flag,sat_src_flag,Unnamed: 13,id_x,ra,dec,star_flag,spec_type,phot_type
0.804290,2CXO J100317.3+014837,10 03 17.384,+01 48 37.18,237.811641,42.460353,1.59509,1.40995,false,false,false,false,false,,lid_1724,150.822216,1.81038,0,-9,1
0.526664,2CXO J100317.4+024017,10 03 17.441,+02 40 17.78,236.861076,42.964327,1.89182,1.89183,false,false,false,false,false,,lid_274,150.822618,2.671742,0,-9,1
1.645721,2CXO J100317.5+020544,10 03 17.541,+02 05 44.82,237.498758,42.628723,1.33845,1.18945,false,false,false,false,false,,lid_1743,150.823472,2.096031,0,-9,3
0.822762,2CXO J100317.5+021608,10 03 17.553,+02 16 08.71,237.307703,42.730242,0.892,0.84138,false,false,false,false,false,,lid_1800,150.823177,2.268861,0,-9,1
1.042574,2CXO J100317.8+022356,10 03 17.889,+02 23 56.32,237.165184,42.80723,1.09797,0.86166,false,false,false,false,false,,lid_1666,150.82457,2.39869,0,-9,1
2.789922,2CXO J100319.1+022422,10 03 19.119,+02 24 22.13,237.161312,42.815568,3.8305,2.8112,false,false,false,false,false,,lid_2925,150.82948,2.405394,0,-9,2
0.808124,2CXO J100318.6+021811,10 03 18.699,+02 18 11.17,237.273919,42.753993,1.16237,0.9007,false,false,false,false,false,,lid_1667,150.828112,2.303206,0,-9,1
0.808117,2CXO J100319.8+020952,10 03 19.879,+02 09 52.30,237.430787,42.676904,1.14653,0.9348,false,false,false,false,false,,lid_1648,150.833043,2.164459,0,-9,1
0.281505,2CXO J100320.0+022043,10 03 20.017,+02 20 43.38,237.231537,42.783146,1.59902,1.12723,false,false,false,false,false,,lid_1668,150.833377,2.34531,0,-9,1
1.404124,2CXO J100320.2+014244,10 03 20.272,+01 42 44.80,237.928338,42.41231,5.13636,5.13636,false,false,false,false,false,,lid_10004,150.834777,1.712208,0,-9,3
0.910353,2CXO J100320.6+015418,10 03 20.616,+01 54 18.94,237.718347,42.527148,2.44818,2.03314,false,false,false,false,false,,lid_2898,150.83585,1.905509,0,-9,3
0.549322,2CXO J100320.8+020019,10 03 20.867,+02 00 19.50,237.609205,42.586887,1.36305,0.95149,false,false,false,false,false,,lid_1744,150.837023,2.005285,0,-9,3
2.508026,2CXO J100320.9+022926,10 03 20.906,+02 29 26.88,237.073407,42.870951,4.51249,2.09178,false,false,false,false,false,,lid_2023,150.837139,2.491496,0,1,1
0.944606,2CXO J100321.6+020327,10 03 21.634,+02 03 27.21,237.554416,42.620094,0.72967,0.71735,true,false,false,false,false,,lid_1745,150.840403,2.057533,10,-9,5
0.706731,2CXO J100321.7+020127,10 03 21.758,+02 01 27.93,237.591272,42.601057,1.1103,0.84041,false,false,false,false,false,,lid_1746,150.84085,2.024382,0,-9,3
0.794082,2CXO J100322.5+022213,10 03 22.528,+02 22 13.92,237.212028,42.806317,4.00464,3.53083,false,false,false,false,false,,lid_3918,150.843685,2.370408,0,-9,3
1.245761,2CXO J100321.7+022229,10 03 21.735,+02 22 29.99,237.204461,42.806242,1.2824,1.08521,false,false,false,false,false,,lid_1801,150.840598,2.374653,0,-9,3
0.681605,2CXO J100322.2+020317,10 03 22.275,+02 03 17.86,237.559405,42.620731,0.71663,0.71349,true,false,false,false,false,,lid_1747,150.842952,2.054833,0,-9,1
1.253844,2CXO J100338.8+015344,10 03 38.863,+01 53 44.61,237.789557,42.582945,3.11101,2.31197,false,false,false,false,false,,lid_1725,150.911587,1.895659,0,-9,3
0.674200,2CXO J100322.3+023938,10 03 22.326,+02 39 39.00,236.889195,42.974634,2.0687,1.50419,false,false,false,false,false,,lid_10003,150.843142,2.660687,0,-9,3
0.867852,2CXO J100323.8+021221,10 03 23.879,+02 12 21.62,237.398317,42.714695,1.47329,1.31122,false,false,false,false,false,,lid_1669,150.849716,2.205907,0,-9,1
1.053637,2CXO J100324.4+014901,10 03 24.476,+01 49 01.55,237.827835,42.488201,2.8523,1.77093,false,false,false,false,false,,lid_1750,150.851814,1.817336,0,-9,3
0.517812,2CXO J100323.9+015503,10 03 23.943,+01 55 03.90,237.71571,42.5457,0.75655,0.72377,true,false,false,false,false,,lid_1749,150.849778,1.917607,0,-1,-99
0.114015,2CXO J100323.9+020007,10 03 23.914,+02 00 07.93,237.622866,42.595266,1.41482,1.14032,false,false,false,false,false,,lid_1748,150.84961,2.002204,0,-9,3
0.318151,2CXO J100324.5+021831,10 03 24.562,+02 18 32.00,237.286954,42.777184,0.7829,0.74489,true,false,false,false,false,,lid_1670,150.852419,2.308846,0,1,1
0.646685,2CXO J100324.8+022023,10 03 24.812,+02 20 23.04,237.253675,42.796051,1.48863,0.95218,false,false,false,false,false,,lid_1671,150.853489,2.339588,0,-9,3
1.529146,2CXO J100325.5+014331,10 03 25.542,+01 43 31.30,237.93178,42.437652,3.42184,3.42184,false,false,false,false,false,,lid_1703,150.85611,1.725076,0,-9,2
0.471925,2CXO J100325.3+021325,10 03 25.304,+02 13 25.59,237.383433,42.729907,1.71307,1.44488,false,false,false,false,false,,lid_2869,150.85541,2.223646,0,-9,1
0.518097,2CXO J100325.6+020557,10 03 25.650,+02 05 57.62,237.521769,42.658152,1.87498,1.2617,false,false,false,false,false,,lid_1751,150.857019,2.099337,0,-9,3
0.865951,2CXO J100326.6+020455,10 03 26.657,+02 04 55.71,237.544052,42.651458,0.78873,0.7337,true,false,false,false,false,,lid_1752,150.861305,2.082086,0,-9,1
0.592401,2CXO J100326.8+020033,10 03 26.900,+02 00 33.86,237.624875,42.609559,1.16232,1.12179,false,false,false,false,false,,lid_1753,150.862083,2.009241,0,-9,3
1.172145,2CXO J100327.7+014859,10 03 27.714,+01 48 59.25,237.839317,42.498712,2.78575,2.27479,false,false,false,false,false,,lid_2892,150.865429,1.816136,0,-9,-99
0.424967,2CXO J100327.7+015742,10 03 27.722,+01 57 42.30,237.679973,42.58431,0.79819,0.72915,false,false,false,false,false,,lid_1754,150.865444,1.961651,0,1,1
1.297970,2CXO J100327.7+020306,10 03 27.713,+02 03 06.08,237.581073,42.637137,1.47307,1.06826,false,false,false,false,false,,lid_1755,150.865828,2.051638,0,-9,3
