id,ra,dec,pos_err
cid_1011,149.8146,1.967399,0.341
cid_1013,149.81829,2.053155,0.114
cid_1014,149.75426,1.997084,0.776
cid_1015,149.86495,2.01634,0.408
cid_1016,149.80272,1.901909,1.02
cid_1017,149.88965,1.919805,1.202
cid_1018,149.77907,1.928541,0.348
cid_1019,149.830418,1.902133,0.501
cid_102,150.34768,2.391006,0.234
cid_1020,149.87578,1.882745,0.257
cid_1021,149.91698,1.899899,0.269
cid_1022,149.96966,1.891586,0.422
cid_1024,149.86568,2.027426,0.479
cid_1025,149.903984,1.866952,0.228
cid_1026,149.941042,1.86269,0.448
cid_1027,150.04105,1.849361,0.2
cid_1028,150.16172,1.877962,0.202
cid_1029,150.12485,1.868805,1.008
cid_103,150.289842,2.454958,0.1
cid_1030,150.14112,1.819885,0.269
cid_1031,150.10775,1.861452,0.629
cid_1032,150.03476,1.935177,0.402
cid_1033,150.06502,1.922829,0.302
cid_1036,150.128131,1.786425,0.133
cid_1037,150.133703,1.797944,0.403
cid_1038,150.24161,1.780429,0.329
cid_1039,150.25928,1.75729,0.106
cid_104,150.02099,2.420464,0.24
cid_1040,150.22593,1.799779,0.446
cid_1042,150.12899,1.923415,0.693
cid_1043,150.12874,1.920954,0.435
cid_1044,150.24515,1.900129,0.109
cid_1045,150.13997,1.817247,0.155
cid_1046,150.20435,1.815206,0.539
cid_1048,150.18981,1.774307,0.227
cid_1049,150.2282,1.767336,0.345
cid_105,150.0223,2.516554,0.112
cid_1050,150.250251,1.744406,0.125
cid_10507,150.591178,2.246864,0.377
cid_1051,150.2529,1.871067,0.658
cid_1052,150.27845,1.84047,0.403
cid_1053,150.304822,1.824246,0.531
cid_1054,149.71404,2.121941,0.349
cid_1055,149.73713,2.089773,0.19
cid_10552,149.792453,1.887095,0.429
cid_1056,149.75403,2.141884,0.293
cid_1057,149.81246,2.111085,1.096
cid_1058,149.688807,2.1337,0.312
cid_1059,149.706969,2.15898,0.473
cid_10599,149.705563,2.46021,0.572
cid_106,150.04024,2.471334,0.696
cid_1060,149.70989,2.155134,0.295
cid_1063,149.70188,2.121601,0.612
cid_1064,149.7064,2.131749,0.227
cid_1065,149.76589,2.054722,0.606
cid_1066,149.79436,2.073134,0.15
cid_1067,149.8514,2.136145,0.181
cid_1068,149.83013,2.089128,0.269
lid_2802,150.604199,2.246167,0.292
lid_2803,150.60388,2.084553,0.954
lid_2805,150.625907,2.1537,0.597
lid_2806,150.656104,2.224599,0.63
lid_2808,150.523621,2.283175,0.921
lid_2199,149.712691,2.743716,1.079
lid_2200,149.735631,2.757843,0.717
lid_2201,149.744922,2.891373,1.366
lid_2203,149.71607,2.816699,1.74
lid_2204,149.75026,2.663961,0.176
lid_2205,149.804091,2.611039,0.692
lid_2207,149.656412,2.480987,1.417
lid_2209,149.758283,2.579448,0.72
lid_2210,149.77255,2.555722,0.584
lid_2211,149.64422,2.359311,0.38
lid_2212,149.64858,2.378954,0.396
lid_2214,149.676803,2.353466,0.602
lid_2215,149.683297,2.384144,0.487
lid_2218,149.777181,2.444059,0.883
lid_2219,149.499453,2.276213,0.237
lid_2221,149.550161,2.242634,1.063
lid_2224,149.596748,2.250608,0.4
lid_2226,149.602394,2.232436,0.369
lid_2228,149.629329,2.3293,0.508
lid_2229,149.641076,2.354504,0.494
lid_223,150.058526,2.7304,0.383
lid_2230,149.645915,2.298493,0.356
lid_2231,149.651167,2.290342,0.483
lid_2236,149.512026,2.185229,0.432
lid_2238,149.538144,2.192412,0.932
lid_2239,149.547924,2.077952,1.242
lid_2240,149.549922,2.125425,0.352
lid_2241,149.567341,2.219446,0.652
lid_2242,149.570842,2.092464,0.545
lid_2243,149.572208,2.096999,0.459
lid_2245,149.618983,2.108375,0.414
lid_2246,149.644666,2.169068,0.747
lid_2247,149.661779,2.153662,1.565
lid_2249,149.494802,2.046403,0.388
lid_2250,149.494791,2.084301,0.541
lid_2251,149.500343,2.087275,0.771
lid_2258,149.551032,2.781008,0.861
lid_2260,149.595347,2.789599,1.036
lid_2261,149.64798,2.716674,0.313
lid_2262,149.64813,2.731318,0.513
lid_2263,149.669208,2.824405,1.528
lid_2265,149.398835,2.466084,1.457
lid_2266,149.472643,2.587465,0.271
lid_2267,149.555171,2.402639,0.455
lid_2268,149.569564,2.41873,0.25
lid_2269,149.610704,2.411188,0.755
lid_2271,149.368517,2.247852,1.425
lid_2272,149.3819,2.271453,1.306
lid_2273,149.381921,2.374153,1.334
lid_2274,149.38492,2.272251,1.172
lid_2275,149.395983,2.319131,1.001
lid_2277,149.421731,2.20811,1.494
lid_2278,149.445179,2.36039,0.603
lid_2279,149.450282,2.29636,0.842
lid_228,150.070251,2.69465,0.29
lid_2280,149.458898,2.43026,0.7
lid_2281,149.515961,2.378498,0.619
lid_2283,149.516281,2.174471,0.626
lid_2284,149.545312,2.317733,0.45
lid_2285,149.365213,2.681885,1.87
lid_2286,149.387038,2.742832,1.521
lid_2287,149.396348,2.746043,0.365
lid_2288,149.405387,2.830989,1.439
lid_2289,149.409086,2.821199,1.053
lid_229,150.092359,2.718557,0.525
lid_2291,149.428126,2.750556,0.455
lid_2292,149.437355,2.790593,0.653
lid_2293,149.442504,2.729226,0.441
lid_2294,149.451104,2.821024,0.784
lid_1459,150.42979,1.684445,0.149
lid_1460,150.43346,1.665928,0.268
lid_1461,150.448539,1.685547,0.314
lid_1462,150.470435,1.725487,0.278
lid_1464,150.40614,1.80832,0.567
lid_1474,150.476388,1.809641,0.225
lid_1475,150.48524,1.803034,0.136
lid_1476,150.48993,1.867998,0.163
lid_1477,150.491354,1.793717,0.198
lid_1478,150.49178,1.77252,0.237
lid_1479,150.497685,1.861008,0.547
lid_1480,150.509409,1.85759,0.555
lid_1481,150.510228,1.851053,0.163
lid_1482,150.531472,1.859164,0.603
lid_1485,150.438951,1.96765,0.59
lid_1486,150.449906,2.001425,0.484
lid_1488,150.457726,1.951875,0.239
lid_1490,150.460887,1.922743,0.336
lid_1492,150.483252,1.91517,0.194
lid_1494,150.491296,1.910304,0.212
lid_1496,150.495554,1.88864,0.592
lid_1497,150.51929,1.926421,0.18
lid_1498,150.521084,1.880207,0.53
lid_1499,150.528057,1.986917,0.1
lid_150,150.387437,2.591616,0.373
lid_1500,150.534567,1.952497,0.1
lid_1501,150.574009,1.939737,0.926
lid_1502,150.574893,1.97667,0.233
lid_1509,150.514138,2.040206,0.279
lid_151,150.391186,2.563792,0.49
lid_1514,150.539702,2.060716,0.165
lid_1515,150.540233,2.063864,0.111
lid_1517,150.559048,2.105599,0.1
lid_1518,150.560725,2.011578,0.813
lid_1519,150.584912,2.081231,0.144
lid_152,150.402169,2.498355,0.268
lid_1520,150.585134,2.060606,0.163
lid_1521,150.584407,2.021619,0.605
lid_1522,150.588953,2.096889,0.387
lid_1523,150.595767,2.111052,0.186
lid_1524,150.612166,2.077743,0.522
lid_1525,150.628924,2.190879,0.422
lid_1535,150.586524,2.198572,0.16
lid_1536,150.59135,2.17637,0.169
lid_1537,150.60375,2.242029,0.247
lid_1538,150.621538,2.158866,0.1
lid_1539,150.630793,2.255716,0.394
lid_154,150.405467,2.582725,0.442
lid_1540,150.634808,2.165755,0.142
lid_1541,150.709462,2.147492,0.11
lid_1549,150.632334,2.409446,1.575
lid_155,150.425683,2.552059,0.325
lid_1550,150.640123,2.261662,0.188
lid_1551,150.645693,2.294196,0.329
lid_1552,150.660417,2.265504,0.453
lid_1553,150.67225,2.264216,0.562
lid_1554,150.449329,1.610649,0.395
lid_1555,150.476629,1.659628,0.229
lid_1556,150.478243,1.790321,0.202
lid_1557,150.492193,1.699019,0.363
lid_1558,150.497499,1.645337,0.282
lid_1559,150.49914,1.575604,0.672
lid_156,150.426089,2.609346,0.654
lid_1560,150.499409,1.526445,0.647
lid_1561,150.500356,1.614265,0.213
lid_1562,150.510377,1.680578,0.144
lid_1563,150.512842,1.533849,0.46
lid_1564,150.519539,1.560907,0.209
lid_1565,150.547104,1.618445,0.1
lid_1566,150.550546,1.708916,0.221
lid_3365,149.487412,2.754797,0.319
lid_3366,149.490111,2.869155,1.262
lid_3367,149.491878,2.783999,0.283
lid_3369,149.508781,2.84041,0.457
lid_337,150.265836,2.759519,0.427
lid_3370,149.596066,2.818871,0.852
lid_3951,149.578741,2.47426,0.731
lid_3952,149.582898,2.489419,0.407
lid_3953,149.596383,2.442421,0.368
lid_3954,149.599449,2.424082,0.583
lid_3955,149.538921,2.721441,0.441
lid_3956,149.466258,2.537765,0.843
lid_3958,149.475677,2.588322,0.312
lid_3959,149.498312,2.674984,0.851
lid_396,150.46828,2.823172,0.248
lid_3960,149.5023,2.60672,0.438
lid_3961,149.529212,2.554001,0.572
lid_3963,150.423522,2.460372,0.449
lid_397,150.474958,2.885731,0.316
lid_398,150.475079,2.823967,0.378
lid_399,150.475619,2.798223,0.274
lid_400,150.479043,2.785146,0.206
lid_401,150.479355,2.798134,0.248
lid_402,150.482143,2.766359,0.222
lid_4027,150.522082,2.526546,0.408
lid_403,150.483551,2.82929,0.277
lid_4030,150.373769,2.465413,0.384
lid_4033,150.408872,2.509424,0.378
lid_4036,150.429264,2.556421,0.611
lid_4039,150.452921,2.551748,0.328
lid_404,150.486767,2.886815,0.447
lid_4042,150.23794,2.581008,1.121
lid_405,150.490736,2.77533,0.1
lid_4053,150.190564,2.653626,0.176
lid_4059,150.237489,2.63718,1.517
