recno|RAJ2000|DEJ2000
     225|083.77378|-05.32677
     226|083.77380|-05.41781
     227|083.77386|-05.39836
     297|083.78642|-05.38241
     228|083.77392|-05.40515
     229|083.77396|-05.44061
     230|083.77415|-05.56545
     231|083.77415|-05.38774
     232|083.77442|-05.45046
     233|083.77453|-05.57179
     234|083.77458|-05.45250
     235|083.77558|-05.38506
     236|083.77564|-05.33205
     237|083.77571|-05.33808
     238|083.77577|-05.37012
     239|083.77621|-05.36742
     240|083.77671|-05.38764
     241|083.77673|-05.56000
     242|083.77681|-05.45134
     243|083.77687|-05.36877
     244|083.77696|-05.51928
     245|083.77698|-05.35516
     246|083.77710|-05.44861
     247|083.77711|-05.28957
     248|083.77720|-05.41151
     249|083.77731|-05.41709
     250|083.77743|-05.54747
     251|083.77750|-05.44755
     252|083.77782|-05.37904
     253|083.77817|-05.33864
     254|083.77874|-05.36924
     255|083.77889|-05.43349
     256|083.77943|-05.41684
     257|083.77988|-05.30849
     258|083.78006|-05.44402
     259|083.78033|-05.43639
     260|083.78033|-05.37405
     261|083.78068|-05.49464
     262|083.78081|-05.37472
     263|083.78087|-05.43004
     264|083.78100|-05.38383
     265|083.78106|-05.44450
     266|083.78147|-05.33056
     267|083.78179|-05.40017
     268|083.78215|-05.41468
     269|083.78222|-05.35748
     270|083.78226|-05.35041
     271|083.78274|-05.48822
     272|083.78286|-05.28482
     273|083.78319|-05.35475
     274|083.78321|-05.30733
     275|083.78332|-05.33424
     276|083.78348|-05.54553
     277|083.78384|-05.50623
     278|083.78432|-05.34635
     279|083.78435|-05.40090
     280|083.78446|-05.48675
     281|083.78461|-05.40969
     282|083.78462|-05.32055
     283|083.78465|-05.32699
     284|083.78481|-05.46584
     285|083.78502|-05.47483
     286|083.78509|-05.37506
     287|083.78513|-05.35543
     288|083.78517|-05.38471
     289|083.78554|-05.41157
     290|083.78558|-05.42168
     291|083.78577|-05.41118
     292|083.78586|-05.43875
     293|083.78590|-05.27980
     294|083.78610|-05.27039
     295|083.78621|-05.52436
     296|083.78625|-05.48377
     487|083.80407|-05.39168
     298|083.78694|-05.28496
     299|083.78697|-05.53024
     300|083.78725|-05.32591
     301|083.78750|-05.33661
     302|083.78768|-05.38313
     303|083.78777|-05.49978
     304|083.78792|-05.27892
     305|083.78816|-05.28109
     306|083.78840|-05.51624
     307|083.78896|-05.36153
     308|083.78952|-05.34963
     309|083.78960|-05.46357
     310|083.78973|-05.36335
     311|083.78987|-05.32853
     312|083.79001|-05.47305
     313|083.79002|-05.46669
     314|083.79021|-05.43985
     315|083.79029|-05.35690
     316|083.79035|-05.39888
     317|083.79039|-05.36444
     318|083.79073|-05.39082
     319|083.79073|-05.40186
     320|083.79074|-05.35785
     321|083.79092|-05.43068
     322|083.79102|-05.46477
     323|083.79109|-05.31638
     324|083.79110|-05.32607
     325|083.79124|-05.44302
     326|083.79129|-05.39404
     327|083.79129|-05.36203
     328|083.79133|-05.24711
     329|083.79176|-05.24921
     330|083.79176|-05.30459
     331|083.79179|-05.40053
     332|083.79185|-05.28535
     333|083.79196|-05.31736
     334|083.79230|-05.37570
     335|083.79235|-05.46611
     336|083.79242|-05.32547
     337|083.79250|-05.33913
     338|083.79256|-05.30937
     339|083.79259|-05.38932
     340|083.79277|-05.36583
     341|083.79279|-05.38786
     342|083.79295|-05.54364
     343|083.79295|-05.40477
     344|083.79296|-05.33229
     345|083.79302|-05.35359
     346|083.79317|-05.48425
     347|083.79324|-05.38325
     348|083.79327|-05.41431
     349|083.79329|-05.33111
     350|083.79343|-05.50223
     351|083.79347|-05.35959
     352|083.79356|-05.37314
     353|083.79359|-05.35901
     354|083.79362|-05.36374
     355|083.79369|-05.43344
     356|083.79375|-05.37937
     357|083.79382|-05.43843
     358|083.79388|-05.42904
     359|083.79392|-05.37124
     360|083.79397|-05.40463
     361|083.79408|-05.58508
     362|083.79414|-05.36560
     363|083.79415|-05.37909
     364|083.79415|-05.55368
     365|083.79425|-05.38224
     366|083.79438|-05.38428
   16780|275.05894|-16.23343
     367|083.79453|-05.39244
     368|083.79465|-05.37227
     369|083.79475|-05.39575
     370|083.79479|-05.44115
     371|083.79510|-05.36352
     372|083.79513|-05.29246
     373|083.79520|-05.43250
     374|083.79520|-05.37799
     375|083.79522|-05.46795
     376|083.79542|-05.46691
     377|083.79545|-05.37955
     378|083.79565|-05.41351
     379|083.79568|-05.37436
     380|083.79580|-05.37352
     381|083.79587|-05.25610
     382|083.79603|-05.37959
     383|083.79612|-05.26711
     384|083.79619|-05.38735
     385|083.79643|-05.58323
     386|083.79653|-05.42562
     387|083.79662|-05.32657
     388|083.79669|-05.37713
     389|083.79676|-05.28912
     390|083.79698|-05.40454
     391|083.79714|-05.40736
     392|083.79715|-05.35430
     393|083.79718|-05.41060
     394|083.79737|-05.29619
     395|083.79748|-05.32003
     396|083.79765|-05.36235
     397|083.79771|-05.29919
     398|083.79772|-05.23440
     399|083.79784|-05.39777
     400|083.79793|-05.43399
     401|083.79795|-05.35174
     402|083.79805|-05.43142
     403|083.79806|-05.41665
     404|083.79808|-05.39451
     405|083.79816|-05.39592
     406|083.79820|-05.41336
     407|083.79842|-05.45806
     408|083.79848|-05.28272
     409|083.79849|-05.32007
     410|083.79851|-05.38093
     411|083.79852|-05.51714
     412|083.79860|-05.40600
     413|083.79865|-05.43576
     414|083.79883|-05.39182
     488|083.80407|-05.39856
     415|083.79886|-05.39456
     416|083.79887|-05.42021
     417|083.79891|-05.39771
     418|083.79892|-05.39264
     419|083.79911|-05.35904
     420|083.79915|-05.36536
     421|083.79916|-05.45856
     422|083.79919|-05.36367
     423|083.79922|-05.30954
     424|083.79941|-05.35005
     425|083.79944|-05.29059
     426|083.79955|-05.35093
     427|083.79958|-05.53199
     428|083.79959|-05.32394
     429|083.79962|-05.33386
     430|083.79967|-05.53153
     431|083.79983|-05.47921
     432|083.79983|-05.49234
     433|083.79990|-05.34250
     434|083.79993|-05.38168
     435|083.80008|-05.31133
     436|083.80026|-05.46890
     437|083.80035|-05.32352
     438|083.80035|-05.34439
     439|083.80055|-05.40942
     440|083.80055|-05.41328
     441|083.80067|-05.52736
     442|083.80077|-05.50578
     443|083.80080|-05.34063
     444|083.80086|-05.41565
     445|083.80099|-05.50901
     446|083.80109|-05.40680
     447|083.80116|-05.34584
     448|083.80117|-05.29717
     449|083.80120|-05.39668
     450|083.80146|-05.37813
     451|083.80162|-05.35877
     452|083.80163|-05.34664
     453|083.80163|-05.39770
     454|083.80200|-05.40098
     455|083.80210|-05.41057
     456|083.80240|-05.27597
     457|083.80242|-05.38386
     458|083.80249|-05.32927
     459|083.80253|-05.39559
     460|083.80254|-05.34524
     461|083.80278|-05.36805
     462|083.80291|-05.32647
     463|083.80294|-05.40736
     464|083.80296|-05.26194
     465|083.80300|-05.45297
     466|083.80302|-05.27043
     467|083.80305|-05.38184
     468|083.80313|-05.28136
     469|083.80318|-05.32432
     470|083.80324|-05.36607
     471|083.80325|-05.34300
     472|083.80329|-05.40294
     473|083.80332|-05.34415
     474|083.80344|-05.34543
     475|083.80349|-05.25671
     476|083.80353|-05.39520
     477|083.80356|-05.35943
     478|083.80364|-05.35139
     479|083.80364|-05.37999
     480|083.80368|-05.39761
     481|083.80369|-05.26357
     482|083.80373|-05.35937
     483|083.80380|-05.38181
     484|083.80394|-05.41607
     485|083.80399|-05.48045
     486|083.80399|-05.40877
     489|083.80424|-05.31785
     490|083.80431|-05.36690
     491|083.80437|-05.34171
     492|083.80437|-05.56764
     493|083.80439|-05.37085
     494|083.80442|-05.36477
     495|083.80455|-05.38143
     496|083.80462|-05.37976
     497|083.80463|-05.35369
     498|083.80466|-05.38072
     499|083.80477|-05.41467
     500|083.80490|-05.37252
     501|083.80493|-05.29187
     502|083.80499|-05.46467
     503|083.80502|-05.41542
     504|083.80505|-05.38187
     505|083.80508|-05.34795
     506|083.80515|-05.39873
     507|083.80518|-05.36938
     508|083.80526|-05.39174
     509|083.80527|-05.46502
     510|083.80536|-05.38268
     511|083.80546|-05.37753
     512|083.80547|-05.33856
     513|083.80549|-05.39807
     514|083.80571|-05.37392
     515|083.80576|-05.39811
     516|083.80577|-05.47160
     517|083.80579|-05.34763
     518|083.80599|-05.35202
     519|083.80600|-05.58403
     520|083.80605|-05.39453
     521|083.80614|-05.28624
     522|083.80621|-05.29203
     523|083.80622|-05.51332
     524|083.80633|-05.41701
     525|083.80635|-05.28806
     526|083.80635|-05.38457
     527|083.80636|-05.37208
     528|083.80640|-05.39191
     529|083.80642|-05.45797
     530|083.80646|-05.39991
     531|083.80654|-05.34411
     532|083.80656|-05.29603
     533|083.80658|-05.46589
     534|083.80660|-05.31591
     535|083.80661|-05.58560
     536|083.80664|-05.39869
     537|083.80665|-05.34203
     538|083.80672|-05.51595
     539|083.80674|-05.35585
     540|083.80675|-05.40715
     541|083.80675|-05.23936
     542|083.80678|-05.30912
     543|083.80679|-05.33188
     544|083.80687|-05.55919
     545|083.80696|-05.39589
     546|083.80697|-05.47952
     547|083.80706|-05.38228
     548|083.80708|-05.37511
     549|083.80714|-05.41057
     550|083.80720|-05.35995
     551|083.80729|-05.37278
     552|083.80738|-05.36329
     553|083.80740|-05.37149
     554|083.80740|-05.58187
     555|083.80742|-05.39444
     556|083.80746|-05.36664
     557|083.80749|-05.32371
     558|083.80750|-05.50673
     559|083.80753|-05.36861
     560|083.80756|-05.36746
     562|083.80765|-05.36919
     563|083.80766|-05.46030
     564|083.80774|-05.40198
     565|083.80785|-05.40726
     566|083.80787|-05.36398
     567|083.80792|-05.31474
     568|083.80796|-05.37496
     569|083.80796|-05.37659
     570|083.80804|-05.38891
     571|083.80808|-05.37708
     572|083.80813|-05.45024
     573|083.80820|-05.37549
     574|083.80823|-05.40272
     575|083.80825|-05.35646
     576|083.80826|-05.36609
     577|083.80838|-05.40777
     578|083.80856|-05.31349
     579|083.80856|-05.43058
     580|083.80856|-05.33682
     581|083.80858|-05.39401
     582|083.80859|-05.33109
     583|083.80859|-05.42236
     584|083.80867|-05.44330
     585|083.80868|-05.37284
     586|083.80872|-05.37679
     587|083.80888|-05.45294
     588|083.80902|-05.39917
     589|083.80920|-05.36524
