id_x,ra,dec,star_flag,spec_type,phot_type
lid_3585,149.755477,1.633968,0,-9,3
lid_3587,149.931456,1.735542,0,2,3
lid_3589,149.979109,1.430665,0,-9,3
lid_359,150.124893,2.762722,0,-9,3
lid_3592,150.093048,1.571896,0,-9,2
lid_3593,150.097567,1.534976,0,-9,3
lid_3595,150.111813,1.548274,0,-9,2
lid_3596,150.136223,1.567804,0,-9,1
lid_3597,150.137574,1.502523,0,-9,2
lid_3599,150.157376,1.566743,0,-1,3
lid_360,150.125187,2.861818,0,1,1
lid_3600,149.910561,1.662207,0,-1,3
lid_3601,149.923074,1.496601,0,-9,3
lid_3602,149.925542,1.552308,0,-9,1
lid_3603,149.92606,1.595618,0,2,2
lid_3604,149.926764,1.510396,0,-9,3
lid_3605,149.930711,1.595354,0,-1,2
lid_3606,149.932239,1.626253,0,-9,3
lid_3607,149.94799,1.647747,0,2,2
lid_3609,149.959652,1.608028,0,2,2
lid_361,150.128344,2.894273,0,-9,3
lid_3611,149.97978,1.54238,0,2,2
lid_3612,149.88741,1.716007,0,-9,3
cid_247,150.04679,1.866785,0,1,3
cid_2470,149.91306,2.357554,0,1,1
cid_2471,149.91347,2.35141,0,2,3
cid_2477,149.93659,2.299696,0,2,3
cid_248,150.14367,1.930411,0,2,3
cid_2482,149.9591,2.307637,0,2,3
cid_2484,149.97022,2.279238,0,2,3
cid_249,150.11693,1.929999,0,1,3
cid_25,150.23057,2.255563,0,2,3
cid_250,150.066,1.879425,0,-99,3
cid_2500,149.697569,2.304331,0,-9,-99
cid_2501,149.700945,2.435561,0,-9,3
cid_2504,149.714104,2.324162,0,-9,3
cid_2507,149.717361,2.364878,0,-9,3
cid_2508,149.721109,2.359986,0,2,2
cid_251,150.06768,1.894488,0,2,3
cid_2512,149.731419,2.367931,0,-99,3
cid_2518,149.770999,2.365974,0,-9,3
cid_2519,149.776552,2.401242,0,2,3
cid_252,150.0678,1.85133,0,1,1
cid_2524,149.79265,2.392952,1,0,5
cid_2526,149.7969,2.306221,0,-9,3
cid_2528,149.79748,2.289653,0,-9,-99
cid_253,150.08144,1.906117,0,2,1
cid_2539,149.82306,2.368504,1,0,5
cid_254,150.09777,1.84523,0,2,3
