|        id_x|         ra|        dec| pos_err|
|        char|     double|     double|  double|
|            |           |           |  arcsec|
|        null|       null|       null|    null|
     lid_2647  149.921768    1.699935    0.833 
     lid_2648  149.892963    1.618011    0.552 
      lid_265  150.675864    2.576352    0.400 
     lid_2652  150.000041    1.660135    0.506 
     lid_2653  150.007839    1.686232    0.186 
     lid_2654  150.018750    1.636085    0.764 
     lid_2655  150.024863    1.643521    0.796 
      lid_266  150.683080    2.574633    0.100 
     lid_2660  149.675890    1.546228    1.572 
     lid_2661  149.687555    1.562687    1.240 
     lid_2663  149.779213    1.585947    0.441 
     lid_2664  149.804928    1.545397    0.665 
     lid_2665  149.834825    1.555088    0.548 
     lid_2666  149.846236    1.506367    1.825 
     lid_2667  149.852393    1.490330    1.387 
     lid_2669  150.295254    1.683785    1.149 
      lid_267  150.690576    2.577847    0.197 
     lid_2671  150.230443    1.515391    0.995 
     lid_2672  150.313334    1.604603    1.052 
     lid_2673  150.316491    1.603860    0.789 
     lid_2675  150.323419    1.528813    1.091 
     lid_2676  150.331626    1.643173    0.995 
     lid_2678  150.351037    1.582908    1.183 
     lid_2679  150.354324    1.590587    0.611 
     lid_2680  150.348572    1.684529    0.497 
      lid_269  150.779368    2.522546    0.199 
      lid_270  150.799978    2.606660    0.329 
      lid_271  150.811339    2.688616    1.290 
      lid_272  150.816688    2.627211    0.359 
     lid_2727  150.490173    2.181838    1.473 
     lid_2728  150.498854    2.149476    2.372 
      lid_273  150.817255    2.633497    0.477 
      lid_274  150.822618    2.671742    0.769 
     lid_2746  150.454903    1.971332    0.516 
     lid_2747  150.511709    2.015304    1.332 
      lid_275  150.850111    2.577496    0.569 
      lid_276  150.887576    2.651354    0.602 
     lid_2767  150.426372    1.682793    0.269 
     lid_2768  150.451310    1.755366    0.652 
     lid_2769  150.485168    1.783662    0.470 
      lid_277  150.555879    2.564342    0.523 
     lid_2772  150.387635    1.810030    0.845 
     lid_2773  150.423638    1.846249    0.685 
     lid_2774  150.425888    1.799851    0.432 
     lid_2776  150.464121    1.845217    0.230 
     lid_2778  150.476635    1.888504    0.511 
     lid_2779  150.477240    1.872818    0.370 
      lid_278  150.624558    2.540292    0.689 
     lid_2780  150.500799    1.828618    0.599 
     lid_2782  150.470507    2.020279    0.669 
     lid_2783  150.487180    1.925108    0.314 
     lid_2784  150.518256    1.889981    0.856 
     lid_2786  150.481350    2.043561    0.638 
      lid_279  150.632976    2.585356    0.318 
     lid_2790  150.496817    2.005353    0.691 
     lid_2792  150.541518    2.062995    0.611 
     lid_2793  150.560389    2.036856    0.397 
     lid_2794  150.562883    2.119172    0.656 
     lid_2795  150.586580    2.183819    0.166 
     lid_2796  150.591105    2.128288    0.542 
     lid_2797  150.578590    2.175835    0.294 
     lid_2798  150.579512    2.252380    0.307 
      lid_280  150.633861    2.593684    0.193 
      cid_141  150.052215    2.594614    0.510 
        cid_1  149.639560    1.991034    0.429 
      cid_100  150.341010    2.367167    0.279 
     cid_1000  149.675740    2.010529    0.189 
     cid_1001  149.686380    2.047209    0.289 
     cid_1002  149.716560    2.007914    0.584 
     cid_1003  149.663081    2.013041    0.203 
     cid_1004  149.671175    2.057623    0.259 
     cid_1005  149.672660    2.005769    0.428 
     cid_1006  149.676320    2.012526    0.249 
     cid_1007  149.690010    2.039144    0.692 
     cid_1008  149.708990    2.089305    0.349 
     cid_1009  149.654383    1.959833    0.318 
      cid_101  150.341800    2.392769    0.288 
     cid_1010  149.671960    1.941526    0.202 
     cid_1011  149.814600    1.967399    0.341 
     cid_1013  149.818290    2.053155    0.114 
     cid_1014  149.754260    1.997084    0.776 
     cid_1015  149.864950    2.016340    0.408 
     cid_1016  149.802720    1.901909    1.020 
     cid_1017  149.889650    1.919805    1.202 
     cid_1018  149.779070    1.928541    0.348 
     cid_1019  149.830418    1.902133    0.501 
      cid_102  150.347680    2.391006    0.234 
     cid_1020  149.875780    1.882745    0.257 
     cid_1021  149.916980    1.899899    0.269 
     cid_1022  149.969660    1.891586    0.422 
     cid_1024  149.865680    2.027426    0.479 
     cid_1025  149.903984    1.866952    0.228 
     cid_1026  149.941042    1.862690    0.448 
     cid_1027  150.041050    1.849361    0.200 
     cid_1028  150.161720    1.877962    0.202 
     cid_1029  150.124850    1.868805    1.008 
      cid_103  150.289842    2.454958    0.100 
     cid_1030  150.141120    1.819885    0.269 
     cid_1031  150.107750    1.861452    0.629 
     cid_1032  150.034760    1.935177    0.402 
     cid_1033  150.065020    1.922829    0.302 
     cid_1036  150.128131    1.786425    0.133 
     cid_1037  150.133703    1.797944    0.403 
     cid_1038  150.241610    1.780429    0.329 
     cid_1039  150.259280    1.757290    0.106 
      cid_104  150.020990    2.420464    0.240 
     cid_1040  150.225930    1.799779    0.446 
     cid_1042  150.128990    1.923415    0.693 
     cid_1043  150.128740    1.920954    0.435 
     cid_1044  150.245150    1.900129    0.109 
     cid_1045  150.139970    1.817247    0.155 
     cid_1046  150.204350    1.815206    0.539 
     cid_1048  150.189810    1.774307    0.227 
     cid_1049  150.228200    1.767336    0.345 
      cid_105  150.022300    2.516554    0.112 
     cid_1050  150.250251    1.744406    0.125 
    cid_10507  150.591178    2.246864    0.377 
     cid_1051  150.252900    1.871067    0.658 
     cid_1052  150.278450    1.840470    0.403 
     cid_1053  150.304822    1.824246    0.531 
     cid_1054  149.714040    2.121941    0.349 
     cid_1055  149.737130    2.089773    0.190 
    cid_10552  149.792453    1.887095    0.429 
     cid_1056  149.754030    2.141884    0.293 
     cid_1057  149.812460    2.111085    1.096 
     cid_1058  149.688807    2.133700    0.312 
     cid_1059  149.706969    2.158980    0.473 
    cid_10599  149.705563    2.460210    0.572 
      cid_106  150.040240    2.471334    0.696 
     cid_1060  149.709890    2.155134    0.295 
     cid_1063  149.701880    2.121601    0.612 
     cid_1064  149.706400    2.131749    0.227 
     cid_1065  149.765890    2.054722    0.606 
     cid_1066  149.794360    2.073134    0.150 
     cid_1067  149.851400    2.136145    0.181 
     cid_1068  149.830130    2.089128    0.269 
     lid_2802  150.604199    2.246167    0.292 
     lid_2803  150.603880    2.084553    0.954 
     lid_2805  150.625907    2.153700    0.597 
     lid_2806  150.656104    2.224599    0.630 
     lid_2808  150.523621    2.283175    0.921 
     lid_2199  149.712691    2.743716    1.079 
     lid_2200  149.735631    2.757843    0.717 
     lid_2201  149.744922    2.891373    1.366 
     lid_2203  149.716070    2.816699    1.740 
     lid_2204  149.750260    2.663961    0.176 
