|        id_x|         ra|        dec| pos_err|
|        char|     double|     double|  double|
|            |           |           |  arcsec|
|        null|       null|       null|    null|
     lid_1629  150.762276    1.868970    0.100 
     lid_1630  150.619467    2.167118    0.298 
     lid_1631  150.639210    2.121793    0.452 
     lid_1632  150.643777    2.118400    0.487 
     lid_1633  150.652046    2.120984    0.202 
     lid_1634  150.696121    2.236320    0.403 
     lid_1635  150.716677    2.168989    0.158 
     lid_3572  149.633113    1.719692    1.433 
     lid_3576  149.673481    1.685692    0.685 
     lid_3577  149.688253    1.678548    0.180 
     lid_3578  149.691476    1.699888    0.327 
      lid_358  150.119375    2.853606    0.100 
     lid_3582  149.724388    1.511017    1.424 
     lid_3583  149.734133    1.624648    0.620 
     lid_3584  149.747298    1.539726    1.159 
     lid_3585  149.755477    1.633968    0.301 
     lid_3587  149.931456    1.735542    0.458 
     lid_3589  149.979109    1.430665    1.173 
      lid_359  150.124893    2.762722    0.750 
     lid_3592  150.093048    1.571896    0.409 
     lid_3593  150.097567    1.534976    0.808 
     lid_3595  150.111813    1.548274    0.562 
     lid_3596  150.136223    1.567804    1.395 
     lid_3597  150.137574    1.502523    1.121 
     lid_3599  150.157376    1.566743    1.004 
      lid_360  150.125187    2.861818    0.205 
     lid_3600  149.910561    1.662207    0.888 
     lid_3601  149.923074    1.496601    0.666 
     lid_3602  149.925542    1.552308    0.283 
     lid_3603  149.926060    1.595618    0.215 
     lid_3604  149.926764    1.510396    0.876 
     lid_3605  149.930711    1.595354    0.122 
     lid_3606  149.932239    1.626253    0.431 
     lid_3607  149.947990    1.647747    0.273 
     lid_3609  149.959652    1.608028    0.341 
      lid_361  150.128344    2.894273    0.405 
     lid_3611  149.979780    1.542380    0.354 
     lid_3612  149.887410    1.716007    0.352 
     lid_3613  150.010742    1.600183    0.318 
     lid_3615  150.031483    1.545186    0.244 
     lid_3617  150.009224    1.445753    0.995 
     lid_3618  150.028594    1.468626    0.742 
     lid_3619  150.067172    1.505010    0.586 
     lid_3620  150.080323    1.602984    1.019 
     lid_3621  150.150718    1.437356    1.350 
     lid_3625  149.984038    1.685634    0.170 
      lid_363  150.141807    2.824684    0.100 
     lid_3632  150.055307    1.586190    0.456 
     lid_3635  150.060359    1.632562    0.378 
     lid_3636  150.067725    1.656874    0.379 
     lid_3637  150.083120    1.659444    0.482 
      lid_364  150.142629    2.905629    0.580 
     lid_3643  149.676725    1.612385    0.513 
     lid_3644  149.683082    1.614844    0.159 
     lid_3645  149.747611    1.636906    0.480 
     lid_3646  149.753019    1.587267    0.581 
     lid_3647  149.756453    1.632081    0.462 
     lid_3648  149.800161    1.561469    0.552 
     lid_3649  149.812734    1.614732    0.383 
      lid_365  150.150895    2.824779    0.288 
     lid_3651  149.833388    1.545957    1.126 
     lid_3653  149.861805    1.556455    1.402 
      lid_366  150.152829    2.886437    0.765 
     lid_3664  150.279143    1.624377    0.375 
     lid_3665  150.296809    1.607120    0.310 
      lid_367  150.155387    2.830764    0.154 
     lid_3670  150.383452    1.680828    0.332 
      lid_368  150.158798    2.808590    0.180 
      lid_369  150.159021    2.825223    0.137 
     lid_3699  150.401981    2.076795    0.683 
      lid_370  150.167353    2.797741    0.100 
     lid_3701  150.427574    2.169033    0.880 
     lid_3702  150.441916    2.067700    0.574 
     lid_3703  150.467049    2.110289    0.351 
      lid_371  150.168993    2.842585    0.258 
     lid_3715  150.437594    1.979370    0.679 
      lid_372  150.185161    2.890212    0.287 
     lid_3728  150.345619    1.803316    0.771 
      lid_373  149.921131    2.886119    0.481 
     lid_3733  150.299639    1.759870    0.303 
     lid_3737  150.257450    1.646241    0.266 
     lid_1567  150.554748    1.581546    0.381 
     lid_1568  150.561316    1.637959    0.375 
    lid_10009  150.707407    1.587239    0.611 
     lid_1001  149.797774    1.740191    0.542 
    lid_10010  149.751387    2.734687    1.156 
     lid_1002  149.804509    1.758224    0.449 
     lid_1003  149.808047    1.709437    0.443 
     lid_1008  149.867547    1.747775    0.224 
     lid_1009  149.892041    1.727831    0.270 
     lid_1011  149.898661    1.769556    0.247 
     lid_1015  149.996368    1.751229    0.323 
     lid_1016  150.032097    1.688117    0.290 
     lid_1020  150.067963    1.702037    0.337 
     lid_1024  150.117798    1.585611    0.419 
     lid_1026  150.136658    1.620018    0.201 
     lid_1027  150.139549    1.636385    0.100 
     lid_1028  150.143033    1.604246    0.434 
     lid_1030  150.151584    1.684510    0.225 
     lid_1033  150.159680    1.618835    0.109 
     lid_1037  150.161962    1.564730    1.021 
     lid_1038  150.173218    1.616237    0.175 
     lid_1039  150.175396    1.535162    0.463 
     lid_1040  150.192057    1.577661    0.341 
     lid_1041  150.199807    1.572770    0.374 
     lid_1042  150.205325    1.615194    0.358 
     lid_1047  150.303144    1.539385    0.553 
     lid_1048  150.307919    1.509916    0.522 
      lid_106  149.960844    2.618213    0.924 
     lid_1073  150.004348    1.715713    0.142 
     lid_1151  149.429656    1.663220    0.517 
     lid_1152  149.463731    1.728425    0.723 
     lid_1153  149.471017    1.794242    0.471 
     lid_1154  149.471091    1.687543    0.283 
     lid_1155  149.506847    1.658670    0.319 
     lid_1156  149.509158    1.649252    0.620 
     lid_1157  149.529227    1.700747    0.137 
     lid_1158  149.545340    1.668090    0.134 
     lid_1159  149.554096    1.614943    0.571 
     lid_1160  149.554059    1.626104    0.962 
     lid_1161  149.566782    1.812494    0.147 
     lid_1162  149.570771    1.683862    0.147 
     lid_1163  149.589219    1.556027    1.050 
     lid_1164  149.592558    1.756686    0.131 
     lid_1165  149.595564    1.651315    0.394 
     lid_1166  149.611117    1.745684    0.538 
     lid_1167  149.628901    1.649870    0.760 
     lid_1168  149.580610    1.591853    1.048 
     lid_1169  149.593872    1.607835    0.895 
     lid_1170  149.600616    1.643502    0.477 
     lid_1171  149.602153    1.603875    0.875 
     lid_1172  149.628868    1.651019    0.367 
     lid_1173  149.629363    1.571566    0.777 
     lid_1174  149.637159    1.737167    0.558 
     lid_1175  149.644806    1.750692    0.265 
     lid_1176  149.645994    1.618866    0.402 
     lid_1177  149.646936    1.602733    0.640 
     lid_1178  149.662497    1.748819    0.481 
     lid_1179  149.669421    1.606737    0.372 
     lid_1180  149.673989    1.543405    1.130 
     lid_1181  149.674925    1.578012    0.668 
     lid_1182  149.675383    1.714899    0.264 
     lid_1183  149.687325    1.719255    0.136 
     lid_1184  149.702816    1.572903    0.476 
     lid_1185  149.717342    1.618342    0.385 
     lid_1186  149.727672    1.718813    0.507 
     lid_1187  149.650840    1.523136    0.755 
     lid_1188  149.701857    1.681373    0.125 
     lid_1189  149.704247    1.538939    0.101 
     lid_1190  149.725189    1.542491    0.845 
     lid_1191  149.745010    1.635054    0.104 
      cid_293  150.204947    1.735798    0.500 
     cid_2933  150.329840    1.907572    0.246 
     cid_2936  150.340426    1.887256    0.422 
     cid_2938  150.341283    1.761178    0.901 
     cid_2939  150.346400    1.942794    0.902 
      cid_294  150.206911    1.680110    0.280 
     cid_2946  150.391190    1.916505    0.652 
     cid_2948  150.397484    1.834931    0.650 
     cid_2949  150.402737    1.878952    0.391 
      cid_295  150.220842    1.689912    0.450 
     cid_2956  150.422548    1.871122    0.334 
      cid_296  150.231617    1.665106    0.100 
      cid_297  150.299953    1.783807    0.529 
     cid_2976  150.162480    1.991447    0.857 
      cid_298  150.312391    1.729941    0.268 
     cid_2985  150.209430    1.894310    0.227 
      cid_299  150.315710    1.841432    0.418 
     cid_2992  150.226020    1.881845    0.429 
     cid_2995  150.230750    1.870830    0.469 
        cid_3  150.089270    1.807996    0.709 
      cid_300  150.321957    1.805457    0.583 
      cid_301  150.360431    1.719986    0.275 
     cid_3016  150.283220    1.917890    0.825 
      cid_302  150.364684    1.810608    0.808 
     cid_3020  150.288350    1.909245    1.057 
     cid_3021  150.306200    1.874999    1.263 
     cid_3029  149.961980    2.002680    1.462 
      cid_303  150.366006    1.829230    0.292 
      cid_304  150.369245    1.792130    0.764 
     cid_3042  150.049540    1.921854    0.462 
      cid_305  150.376558    1.717824    0.100 
     cid_3051  150.092380    1.942771    0.302 
     cid_3059  150.110070    1.926235    0.773 
      cid_306  150.383285    1.798866    0.795 
     cid_3060  150.111440    1.959700    0.349 
     cid_3061  150.112400    2.009263    0.357 
      cid_307  149.822650    2.089720    0.146 
      cid_308  149.736150    2.179954    0.318 
     cid_3083  149.839440    1.929066    1.491 
      cid_309  149.756310    2.117313    0.217 
       cid_31  150.272070    2.230126    0.157 
      cid_310  149.762410    2.180121    0.204 
      cid_311  149.765200    2.191000    0.185 
     cid_3118  149.951680    2.013775    0.302 
      cid_312  149.780720    2.124108    0.411 
     cid_3121  149.957950    2.004854    0.429 
     cid_3122  149.966300    2.032774    0.269 
     cid_3129  149.988770    2.063079    0.721 
      cid_313  149.781870    2.139206    0.283 
     cid_3134  149.996740    2.120213    1.657 
      cid_314  149.791750    2.086034    0.145 
     cid_3147  149.742530    2.083521    0.748 
      cid_315  149.793040    2.111527    0.421 
      cid_316  149.797220    2.149346    0.986 
     cid_3164  149.793770    2.103296    0.811 
     cid_3165  149.798310    2.075054    0.428 
      cid_317  149.803520    2.140772    0.859 
     cid_3171  149.824010    1.978020    0.763 
     cid_3175  149.837760    2.027733    0.213 
     cid_3178  149.850550    2.083272    0.269 
      cid_318  149.806340    2.145487    0.347 
     cid_3189  149.874180    2.071464    0.382 
      cid_319  149.821510    2.152054    0.361 
       cid_32  150.291220    2.291028    0.228 
      cid_320  149.827920    2.164391    0.100 
     cid_3205  149.536686    2.000279    0.239 
      cid_321  149.596069    2.220009    0.202 
     cid_3211  149.598429    2.200441    0.728 
     cid_3216  149.618800    2.220516    0.623 
      cid_322  149.624088    2.180707    0.115 
     cid_3223  149.620788    2.181057    0.505 
     cid_3227  149.638656    2.182940    0.465 
     cid_3228  149.643578    2.096640    0.494 
      cid_323  149.638066    2.149603    0.215 
     lid_1636  150.721413    2.229031    0.506 
     lid_1637  150.726749    2.212702    0.362 
     lid_1638  150.735674    2.199672    0.267 
     lid_2011  150.743505    2.456254    1.459 
     lid_2012  150.784244    2.458022    2.550 
     lid_2013  150.816532    2.437272    1.502 
     lid_2014  150.670892    2.497307    0.425 
     lid_2015  150.736327    2.578061    0.260 
     lid_2016  150.747142    2.500537    0.730 
     lid_2017  150.767606    2.544481    0.364 
      lid_202  150.231176    2.675813    1.110 
     lid_2021  150.798003    2.678736    0.908 
     lid_2022  150.799573    2.522402    0.675 
     lid_2023  150.837139    2.491496    1.394 
     lid_2024  150.421279    2.736110    1.215 
     lid_2025  150.436019    2.639944    0.535 
     lid_2027  150.460017    2.662494    0.371 
     lid_2028  150.494936    2.605371    0.600 
     lid_2029  150.497087    2.655920    0.203 
      lid_203  150.233648    2.682658    0.867 
     lid_2030  150.507309    2.653345    0.349 
     lid_2031  150.511100    2.599287    0.860 
     lid_2032  150.540478    2.575385    0.871 
     lid_2033  150.300268    2.709636    0.719 
     lid_2034  150.317594    2.753069    1.202 
     lid_2035  150.320007    2.620354    0.247 
     lid_2036  150.338036    2.649531    0.420 
     lid_2037  150.366998    2.675016    0.421 
     lid_2038  150.409991    2.693280    0.844 
     lid_2039  150.422171    2.670679    1.099 
     lid_2040  150.433210    2.744078    0.813 
     lid_2042  150.470448    2.815467    0.353 
     lid_2043  150.515989    2.796286    0.142 
     lid_2044  150.101742    2.739738    0.532 
     lid_2045  150.110667    2.708574    0.996 
     lid_2047  150.175417    2.741954    0.733 
     lid_2048  150.175740    2.918925    1.145 
     lid_2049  150.178598    2.692514    0.543 
      lid_205  150.240828    2.659040    0.423 
     lid_2050  150.179254    2.752339    0.407 
     lid_2051  150.188596    2.756719    0.620 
     lid_2053  150.209621    2.827646    1.330 
     lid_2056  150.245496    2.844505    1.852 
     lid_2057  150.254769    2.891518    1.831 
     lid_2058  150.281574    2.697929    2.141 
     lid_2059  150.001184    2.832542    0.498 
      lid_206  150.314880    2.628646    0.484 
     lid_2060  150.046717    2.784266    0.552 
     lid_2061  150.081016    2.888872    0.671 
     lid_2062  150.093853    2.854784    0.582 
     lid_2063  150.100827    2.761371    0.777 
     lid_2064  150.103702    2.850317    0.340 
     lid_2066  150.112584    2.846163    0.293 
     lid_2067  150.123392    2.902339    1.086 
     lid_2068  150.129074    2.843364    0.298 
     lid_2069  150.136168    2.871795    0.505 
     lid_2070  150.144331    2.899214    1.246 
     lid_2071  150.149956    2.864182    0.537 
     lid_2072  150.159407    2.692810    0.634 
     lid_2074  150.179915    2.873182    1.049 
     lid_2075  150.191381    2.889452    1.158 
     lid_2077  149.940624    2.976147    1.027 
     lid_2079  149.945835    2.775373    0.375 
     lid_2080  149.968177    2.780454    1.048 
     lid_2081  149.973991    2.810297    0.270 
     lid_2082  149.997945    2.779717    0.902 
     lid_2083  149.999402    2.821616    0.371 
     lid_2084  150.010574    2.867843    0.351 
     lid_2086  150.019540    2.851478    0.180 
     lid_2089  150.032059    2.927943    0.751 
     lid_2092  150.456169    2.813676    0.446 
     lid_2093  150.471823    2.849306    0.497 
     lid_2095  150.482598    2.834439    0.520 
     cid_2321  150.489121    2.152371    1.254 
     cid_2323  150.491664    2.117560    0.583 
     cid_2324  150.493108    2.115470    0.681 
     cid_2325  150.493315    2.092659    0.630 
     cid_2326  150.494758    1.986319    0.284 
     cid_2327  150.496490    2.089157    0.394 
      cid_233  149.992800    1.857918    0.158 
     cid_2331  150.506988    2.065350    0.258 
     cid_2332  150.511712    2.109464    0.813 
     cid_2339  150.550676    2.140167    0.498 
      cid_234  149.996970    1.967914    0.361 
      cid_235  150.007040    1.918006    0.539 
     cid_2356  150.136390    2.225310    0.213 
      cid_236  150.027300    1.924484    0.311 
      cid_237  149.991721    1.724237    0.119 
     cid_2378  150.203330    2.246678    0.348 
      cid_238  150.013630    1.800572    0.169 
      cid_239  149.957690    2.003166    0.128 
       cid_24  150.227990    2.269833    0.311 
      cid_240  149.931624    1.830031    0.574 
      cid_241  149.938902    1.847966    0.279 
     cid_2413  150.023030    2.206567    0.590 
     cid_2418  150.035130    2.246569    0.349 
     cid_2419  150.037130    2.244681    0.246 
      cid_242  149.940709    1.806231    0.736 
      cid_243  149.941636    1.812395    0.449 
     cid_2443  150.126700    2.175110    1.510 
     cid_2444  150.139330    2.343013    2.046 
      cid_245  149.961579    1.772562    0.964 
     cid_2454  149.856830    2.273397    0.794 
      cid_246  149.983578    1.791103    0.187 
     cid_2460  149.873780    2.285299    0.420 
     cid_2462  149.878670    2.314745    0.269 
      cid_247  150.046790    1.866785    0.125 
     cid_2470  149.913060    2.357554    0.340 
     cid_2471  149.913470    2.351410    0.301 
     cid_2477  149.936590    2.299696    0.348 
      cid_248  150.143670    1.930411    0.201 
     cid_2482  149.959100    2.307637    0.349 
     cid_2484  149.970220    2.279238    0.528 
      cid_249  150.116930    1.929999    0.153 
       cid_25  150.230570    2.255563    0.579 
      cid_250  150.066000    1.879425    0.136 
     cid_2500  149.697569    2.304331    1.849 
     cid_2501  149.700945    2.435561    1.109 
     cid_2504  149.714104    2.324162    0.783 
     cid_2507  149.717361    2.364878    0.744 
     cid_2508  149.721109    2.359986    0.403 
      cid_251  150.067680    1.894488    0.463 
     cid_2512  149.731419    2.367931    0.656 
     cid_2518  149.770999    2.365974    0.423 
     cid_2519  149.776552    2.401242    0.311 
      cid_252  150.067800    1.851330    0.100 
     cid_2524  149.792650    2.392952    0.428 
     cid_2526  149.796900    2.306221    0.350 
     cid_2528  149.797480    2.289653    0.593 
      cid_253  150.081440    1.906117    0.232 
     cid_2539  149.823060    2.368504    0.269 
      cid_254  150.097770    1.845230    0.519 
     cid_2544  149.841760    2.367148    0.361 
      cid_255  150.101640    1.848331    0.327 
     cid_2550  149.874530    2.361489    0.958 
      cid_256  150.112400    1.904457    0.394 
     cid_2564  150.306845    2.053890    0.723 
      cid_257  150.122110    1.913322    0.179 
     cid_2574  150.352710    2.034301    0.329 
      cid_258  150.124530    1.809789    0.227 
     cid_2584  150.387357    1.952147    0.420 
     cid_2587  150.395608    2.057667    1.255 
      cid_259  150.131808    1.799350    0.100 
     cid_2591  150.402973    2.047758    0.552 
     cid_2598  150.421130    1.984888    0.267 
       cid_26  150.236200    2.289173    0.228 
      cid_260  150.139100    1.877040    0.285 
     cid_1199  149.842200    2.267534    0.677 
       cid_12  149.680722    2.268216    0.670 
      cid_120  150.323719    2.552667    0.166 
     cid_1201  149.869540    2.357775    0.799 
    cid_12011  149.962006    2.210220    1.293 
     cid_1202  149.877520    2.338686    0.385 
     cid_1203  149.915520    2.303892    0.190 
     cid_1204  149.962420    2.320597    0.308 
     cid_1205  150.010690    2.333001    0.584 
     cid_1206  150.022470    2.409404    0.649 
     cid_1207  150.067110    2.372429    0.227 
     cid_1209  149.881720    2.367953    0.680 
      cid_121  150.191740    2.543933    0.358 
     cid_1210  149.953510    2.383134    0.307 
     cid_1211  149.823750    2.385445    0.626 
     cid_1212  149.991350    2.260013    0.305 
     cid_1213  150.000750    2.251358    0.276 
     cid_1214  150.036810    2.358530    0.307 
    cid_12145  150.454704    1.857056    0.162 
     cid_1215  150.064570    2.329034    0.421 
     cid_1216  150.020130    2.353847    0.705 
     cid_1217  150.029590    2.323814    0.614 
     cid_1218  150.048020    2.373724    0.177 
     cid_1219  150.075920    2.264375    0.302 
      cid_122  150.195611    2.511579    0.615 
     cid_1220  150.080240    2.266017    0.213 
     cid_1221  150.095530    2.220267    0.684 
     cid_1222  150.095880    2.230974    0.457 
     cid_1223  150.138400    2.224934    0.349 
     cid_1224  150.182970    2.247965    0.201 
     cid_1225  150.436373    2.161404    0.444 
     cid_1226  150.462979    2.242518    0.218 
     cid_1132  149.931750    2.224477    0.419 
     cid_1133  149.846300    2.256703    0.595 
     cid_1134  149.885900    2.276027    0.426 
     cid_1135  149.854830    2.112089    0.772 
     cid_1136  149.901250    2.168459    0.428 
     cid_1137  149.924430    2.149285    0.658 
     cid_1138  150.028840    2.158312    0.303 
     cid_1139  150.059130    2.219824    0.239 
      cid_114  150.132379    2.523345    0.313 
     cid_1140  150.093070    2.101415    0.228 
     cid_1141  150.010500    2.255992    0.181 
     cid_1142  150.018130    2.259578    0.246 
     cid_1143  150.036860    2.257774    0.246 
     cid_1144  150.104670    2.243818    0.326 
     cid_1145  149.986670    2.189374    0.554 
    cid_11455  150.044164    2.656492    0.208 
     cid_1147  150.007770    2.149298    0.246 
     cid_1148  150.018740    2.218729    0.505 
     cid_1149  150.024110    2.244795    0.612 
      cid_115  150.062086    2.659582    0.135 
     cid_1150  150.024420    2.232964    0.269 
     cid_1151  150.043310    2.156501    0.487 
    cid_11537  150.225998    2.268128    2.038 
     cid_1154  150.061100    2.119114    0.622 
     cid_1155  150.078970    2.266592    0.302 
     cid_1156  150.084370    2.184452    0.875 
    cid_11566  150.404999    2.278424    0.953 
     cid_1157  150.105950    2.213171    0.619 
     cid_1159  150.120140    2.221353    0.383 
      cid_116  150.171317    2.564155    0.263 
     cid_1160  150.212290    2.186605    0.434 
    cid_11600  150.100006    2.354513    0.269 
     cid_1161  150.115640    2.126732    0.167 
     cid_1162  150.120030    2.159597    0.714 
     cid_1163  150.164070    2.179180    0.429 
    cid_11633  149.897003    2.323927    1.861 
     cid_1164  150.056480    2.208528    0.505 
     cid_1166  150.152730    2.067832    0.213 
     cid_1167  150.201590    2.067947    0.353 
     cid_1168  150.203690    1.983291    0.584 
     cid_1169  150.222390    2.011662    0.427 
      cid_117  150.189196    2.606610    0.240 
     cid_1170  150.108740    2.157040    0.538 
     cid_1171  150.331010    2.070143    1.395 
     cid_1172  150.382710    2.066427    0.328 
    cid_11725  150.462997    2.120764    0.382 
     cid_1173  150.139520    2.095255    1.525 
     cid_1174  150.278940    1.959757    0.985 
    cid_11754  150.209000    2.249554    0.367 
     cid_1176  150.318690    2.040688    0.755 
     cid_1177  150.324700    2.026352    0.402 
     cid_1179  150.369310    2.041369    0.363 
      cid_118  150.199069    2.597663    0.411 
     cid_1180  150.380860    2.099661    0.302 
     cid_1181  150.391410    2.086610    0.350 
     cid_1182  150.394739    2.068451    0.534 
     cid_1183  150.414074    2.109308    0.315 
     cid_1184  150.420932    2.112490    0.220 
     cid_1185  150.424734    1.969511    0.615 
     cid_1186  149.935810    2.440590    0.128 
     cid_1187  149.867890    2.351862    0.476 
     cid_1188  149.903750    2.386502    0.648 
     cid_1189  149.839030    2.407744    0.440 
      cid_119  150.299758    2.507045    0.178 
     cid_1190  149.864260    2.355104    0.446 
    cid_11905  150.368579    1.992343    0.308 
     cid_1191  149.870120    2.351969    0.538 
     cid_1192  149.885210    2.372808    0.732 
    cid_11938  150.179001    2.009094    0.782 
     cid_1194  149.880960    2.450894    0.148 
     cid_1195  149.839510    2.460629    0.302 
     cid_1196  149.876100    2.381799    0.820 
     cid_1197  149.894290    2.433144    0.798 
     cid_1198  149.836970    2.344048    0.257 
       cid_42  150.179800    2.110340    0.100 
      cid_420  149.789770    2.321269    0.100 
      cid_324  149.668011    2.135341    0.109 
     cid_3242  149.711250    2.145203    0.394 
     cid_3243  149.713160    2.040902    0.469 
     cid_3244  149.720970    2.163657    0.756 
     cid_3247  149.730170    2.070855    0.349 
      cid_325  149.669522    2.167714    0.416 
      cid_326  149.681633    2.239783    0.718 
      cid_327  149.686810    2.183465    0.874 
     cid_3270  150.201729    1.723575    1.028 
      cid_328  149.734072    2.219346    0.122 
     cid_3282  150.254524    1.692381    0.433 
     cid_3284  150.260699    1.738723    0.126 
     cid_3285  150.261850    1.731683    0.349 
     cid_3288  150.279984    1.743722    0.309 
      cid_329  149.739045    2.220763    0.100 
     cid_3290  150.286453    1.765933    0.203 
     cid_3293  150.306057    1.761744    0.179 
     cid_3294  150.308072    1.733844    0.183 
     cid_3299  150.334763    1.788432    1.066 
       cid_33  150.296040    2.276037    0.151 
      cid_330  149.955820    2.028123    0.100 
     cid_3300  150.345095    1.727414    0.960 
      cid_331  149.854470    2.132472    0.286 
      cid_332  149.936710    2.149334    0.253 
     cid_3321  150.085824    1.673588    0.233 
     cid_3325  150.089110    1.756137    0.769 
      cid_333  149.858560    2.108571    0.329 
     cid_3334  150.126858    1.775101    0.324 
     cid_3335  150.134463    1.723664    0.319 
     cid_3336  150.134721    1.717931    0.465 
     cid_3339  150.150567    1.698826    0.289 
      cid_334  149.863740    2.058842    0.190 
     cid_3344  150.154561    1.689622    0.273 
      cid_335  149.867330    2.106406    0.313 
     cid_3353  150.191290    1.805464    0.269 
      cid_336  149.868890    2.095087    0.406 
     cid_3361  150.227960    1.826452    0.904 
      cid_337  149.876620    2.115620    0.298 
     cid_3371  149.937407    1.739043    0.631 
     cid_3373  149.944580    1.740346    0.906 
      cid_338  149.887110    2.117290    0.201 
     cid_3381  150.014620    1.845573    0.213 
     cid_3384  150.027300    1.886609    0.378 
     cid_3385  150.031030    1.857570    0.348 
      cid_339  149.893440    2.107768    0.173 
     cid_3391  150.042730    1.872178    0.246 
     cid_3395  150.051859    1.682677    0.179 
     cid_3397  150.062233    1.722431    0.580 
       cid_34  150.301550    2.282217    0.134 
      cid_340  149.895120    2.047281    0.324 
      cid_341  149.896790    2.085689    0.438 
      cid_342  149.897920    2.093996    0.302 
     cid_3425  149.837058    1.867612    0.689 
     cid_3429  149.860828    1.833234    0.454 
      cid_343  149.909490    2.080648    0.313 
     cid_3430  149.861853    1.836819    0.495 
     cid_3431  149.863517    1.841407    0.393 
     cid_3432  149.866813    1.747709    0.258 
     cid_3439  149.881111    1.885056    0.218 
      cid_344  149.910500    2.068058    0.385 
     cid_3440  149.889390    1.966029    0.885 
     cid_3441  149.890681    1.818380    0.523 
     cid_3443  149.897619    1.762667    0.204 
     cid_3445  149.903948    1.852110    0.288 
     cid_3449  149.910730    1.899629    0.431 
      cid_345  149.912330    2.080972    0.395 
     cid_3450  149.910868    1.842620    0.388 
     cid_3452  149.913350    1.897253    0.349 
     cid_3455  149.924706    1.843937    0.441 
     cid_3456  149.927341    1.849780    0.399 
      cid_346  149.930870    2.118837    0.219 
      cid_842  150.049690    1.966718    0.301 
      cid_843  150.194490    2.042607    0.412 
     lid_1263  149.945671    1.580631    0.100 
     lid_1264  149.950473    1.682752    0.536 
     lid_1267  149.974099    1.643310    0.767 
     lid_1268  149.988604    1.651759    0.424 
     lid_1269  149.992840    1.646784    0.408 
     lid_1270  150.010554    1.640788    0.373 
     lid_1271  150.012076    1.652067    0.303 
     lid_1272  150.045889    1.644593    0.215 
     lid_1273  150.056492    1.627579    0.269 
     lid_1274  150.058114    1.653284    0.469 
     lid_1275  150.074820    1.659627    0.312 
     lid_1276  150.075967    1.611035    0.319 
     lid_1277  149.653537    1.551272    0.971 
     lid_1278  149.659296    1.596321    0.617 
     lid_1279  149.663586    1.599308    0.401 
     lid_1280  149.703221    1.609018    0.347 
     lid_1281  149.881005    1.688264    0.253 
     lid_1282  149.730371    1.586091    0.550 
     lid_1283  149.737136    1.629220    0.199 
     lid_1284  149.740418    1.549819    1.049 
     lid_1285  149.753053    1.513355    1.160 
     lid_1286  149.795723    1.540320    0.408 
     lid_1287  149.797177    1.606713    0.232 
     lid_1288  149.802367    1.635703    0.180 
     lid_1289  149.811144    1.609634    0.100 
     lid_1290  149.815339    1.634600    0.354 
     lid_1291  149.825855    1.518240    0.830 
     lid_1292  149.831541    1.668044    0.346 
     lid_1293  149.833978    1.620379    0.334 
     lid_1294  149.842213    1.604960    0.100 
     lid_1295  149.848789    1.632395    0.269 
     lid_1296  149.849274    1.595661    0.441 
     lid_1297  149.884657    1.556987    1.066 
     lid_1299  150.285123    1.727253    0.235 
      lid_130  150.505006    2.531062    0.375 
     lid_1302  150.237920    1.516510    0.834 
     lid_1303  150.247775    1.542418    0.240 
     lid_1305  150.274952    1.575845    0.177 
     lid_1306  150.275695    1.594240    0.370 
     lid_1307  150.279613    1.560367    0.368 
     lid_1309  150.302732    1.596872    0.494 
      lid_131  150.506991    2.574815    1.103 
     lid_1311  150.311422    1.499791    1.285 
     lid_1315  150.315806    1.729762    0.248 
     lid_1317  150.365877    1.605106    1.286 
      lid_132  150.518218    2.524802    0.230 
      lid_133  150.528577    2.575639    1.190 
      lid_134  150.539331    2.541939    0.469 
      lid_135  150.544742    2.507232    0.100 
      lid_136  150.550287    2.526405    0.239 
      lid_137  150.567312    2.503557    0.143 
      lid_138  150.572620    2.499882    0.100 
      lid_139  150.579198    2.493866    0.299 
      lid_141  150.600554    2.518715    0.476 
     lid_1414  150.458793    1.859450    0.276 
      lid_142  150.617287    2.482759    0.682 
      lid_143  150.621244    2.499772    0.530 
     lid_1435  150.370336    1.855598    0.431 
      lid_144  150.697733    2.549944    0.310 
     lid_1449  150.362047    1.573996    1.277 
      lid_145  150.713599    2.572988    0.100 
     lid_1450  150.375734    1.757891    0.465 
     lid_1452  150.383829    1.572290    0.581 
     lid_1453  150.386931    1.646353    0.221 
     lid_1454  150.393364    1.649630    0.248 
     lid_1455  150.396353    1.677276    0.158 
     lid_1457  150.424300    1.717384    0.138 
     lid_1458  150.425577    1.676984    0.233 
      lid_460  150.620023    2.671321    0.125 
     lid_4601  150.034277    1.720897    0.359 
     lid_4603  150.114775    1.716907    0.901 
     lid_4604  150.039578    1.779599    0.546 
      lid_461  150.504487    2.724859    0.445 
      lid_462  150.505365    2.674738    0.100 
     lid_3747  150.447753    1.740495    0.339 
     lid_3749  150.470788    1.708485    0.677 
      lid_375  149.957674    2.796841    0.524 
     lid_3751  150.489713    1.719434    1.032 
     lid_3752  150.497746    1.773379    0.938 
     lid_3753  150.421142    1.731790    0.276 
     lid_3754  150.467448    1.865929    0.408 
     lid_3755  150.474064    1.907585    0.608 
     lid_3756  150.483979    1.840931    0.418 
     lid_3758  150.502947    1.835019    0.321 
     lid_3759  150.508691    1.754545    1.347 
      lid_376  149.978586    2.898136    0.309 
     lid_3760  150.513627    1.874537    0.617 
