name,gal_b2,gal_l2,hard_hs,hard_hm,hard_ms,var_intra_prob_b,kp_intra_prob_b,var_intra_index_b,ks_intra_prob_b,h-csc,b-csc,m-csc,s-csc,u-csc,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,g_mag,bp_mag,rp_mag
2CXO J002359.4-720438,-44.891974,305.906836,-0.7920049968769499,-0.05871330418488501,-0.73329169269207,0.50466275770639,0.81958674501342,1.0,0.7359355620882899,3.136625e-16,5.138050000000002e-16,4.166149999999999e-16,9.855374999999996e-17,1.134325e-16,,,,,11.724,11.277000000000001,11.157,13.683635,13.035348,11.940199
2CXO J174041.4-534004,-11.955034,338.169913,-0.96189881324172,-0.80324797001874,-0.6945658963148,0.1995494669276,0.82361611175127,0.0,0.8160118229190201,2.25465e-14,7.897075000000003e-14,6.072224999999999e-14,1.3761000000000001e-14,2.9157499999999997e-15,,,,,,,,,,
2CXO J002409.2-720543,-44.875913,305.885422,-0.18238600874453,0.089943785134291,-0.26608369768894,0.6298060797973101,0.8909831025124499,1.0,0.9481527838002219,1.8069999999999998e-16,2.538875e-15,6.023100000000001e-16,5.02145e-16,1.6498000000000001e-15,,,,,,,,,,
2CXO J002411.1-720620,-44.866347,305.879929,-0.092442223610244,0.29231730168645004,-0.3735165521549,0.83835668807243,0.984101320365854,2.0,0.988518920354239,1.9146999999999998e-16,7.13835e-15,1.3611e-15,9.09295e-16,5.296e-15,,,,,,,,,,
2CXO J002401.4-720441,-44.891458,305.903006,-0.99937539038101,-0.99937539038101,-0.68457214241099,0.7272317498383001,0.98503674980983,2.0,0.85361846068549,2.9650499999999997e-16,5.726149999999997e-16,5.38695e-16,1.31565e-16,1.0792e-16,,,,,,,,,,
2CXO J002402.1-720450,-44.889204,305.9012390000001,-0.6346033728919399,-0.31230480949407,-0.36727045596502,,,,,,4.5644e-16,,,1.9039e-16,,,,,,,,13.746669,12.52205,11.569769
2CXO J004241.2+411701,-21.558017,121.164489,,,,,,,,5.4243e-17,5.34995e-17,1.2138499999999999e-17,1.0277500000000001e-17,6.944099999999998e-17,,,,,14.508,12.440999999999999,12.198,,,
2CXO J004252.8+411638,-21.565569,121.20328700000002,,,,,,,,6.102149999999999e-17,7.7688e-17,1.9428e-17,1.4628500000000002e-17,6.72095e-17,,,,,13.965,14.277000000000001,13.065,20.807,16.113787,14.668801
2CXO J002410.0-720441,-44.893295,305.887553,-0.47720174890693,0.16739537788882,-0.59337913803873,0.7197596106461801,0.92399506916167,2.0,0.979046028592269,2.1829249999999999e-16,1.7796250000000006e-15,7.1013500000000005e-16,2.9756999999999997e-16,7.73335e-16,,,,,9.812999999999999,9.208,9.099,12.426698,12.598046,11.240658
2CXO J002407.1-720545,-44.874991,305.889019,-0.14865708931917998,0.08619612742036199,-0.23235477826359,0.61971582899167,0.924123543591371,1.0,0.986951939655878,1.7737000000000006e-15,3.18355e-14,6.6483e-15,6.1859499999999995e-15,2.0152e-14,,,,,,,,14.105082,13.92269,12.826959
2CXO J002402.5-720511,-44.883591,305.899279,-0.43472829481574,-0.13991255465334,-0.30730793254216,0.9597266663176,0.86884022168456,6.0,0.7960771060398001,3.4533999999999996e-16,2.9623999999999998e-15,9.4159e-16,7.64845e-16,1.40279e-15,,,,,,,,,,
2CXO J004252.7+411428,-21.601652,121.20176399999998,,,,,,,,5.9353e-17,1.0648e-16,2.52955e-17,2.7224999999999998e-17,5.5016e-17,,,,,,,,,,
2CXO J004242.1+411510,-21.588851,121.166391,,,,,,,,4.9533500000000005e-17,1.05095e-16,4.0485e-17,2.6447499999999997e-17,7.56665e-17,,,,,12.902999999999999,12.219000000000001,15.117,20.593235,15.468901999999998,14.075969
2CXO J004252.5+411800,-21.542899,121.20304099999998,,,,,,,,5.631200000000001e-17,1.3145e-16,3.3579999999999995e-17,2.3655e-17,9.54815e-17,10.907,11.725999999999999,11.559000000000001,8.835,,,,,,
2CXO J002405.3-720421,-44.897787,305.897108,0.6271080574640799,0.4422236102436,0.25234228607121,0.7430701586153801,0.79409453173455,2.0,0.7840153836635,2.18545e-17,5.34295e-15,2.4763500000000003e-16,6.71215e-16,4.5570499999999986e-15,,,,,,,,,,
2CXO J002403.7-720423,-44.897095,305.899923,-0.19737663960025,0.07495315427857599,-0.2685821361649,1.0,0.9999999999999776,9.0,0.9999999999999996,2.230250000000001e-15,3.50875e-14,7.93285e-15,6.9242500000000004e-15,2.04415e-14,,,,,,,,14.743707,13.740866,12.844288
2CXO J192107.4+374756,10.873154,70.00468199999999,-0.44347282948157,-0.20737039350406,-0.2423485321674,0.49817251429202,0.5516680413483299,0.0,0.80401756072436,1.7860000000000003e-16,4.702300000000001e-15,1.0180599999999998e-15,9.38605e-16,2.93125e-15,,,,,,,,18.192198,18.284819,17.987886
2CXO J004255.2+412046,-21.49718,121.214087,,,,,,,,2.9402e-15,1.00229e-16,5.0855999999999995e-17,5.731149999999999e-17,6.4251e-17,,,,,,,,,,
2CXO J004414.4+412204,-21.483458,121.480966,,,,0.45354482943646,0.5248200969674399,0.0,0.4390198575159801,,,,,,,,,,,,,,,
2CXO J004232.5+410027,-21.83276,121.124151,,,,,,,,6.125e-16,4.51865e-16,8.81745e-17,9.39725e-17,4.644600000000002e-16,,,,,,,,,,
2CXO J004239.0+411325,-21.617664,121.15475,,,,0.49474910020029,0.63222996344905,0.0,0.72961357074444,2.0277500000000003e-16,5.35215e-16,9.1548e-17,2.7730999999999998e-17,1.0052499999999999e-16,,,,,,,,21.043472,19.877417,18.54303
2CXO J192056.2+374613,10.893429,69.962078,-0.11867582760775,0.04996876951905,-0.16739537788882,0.10666944822198,0.9905658248236002,0.0,0.8639105925787499,,1.8504499999999998e-14,3.8835e-15,4.054250000000001e-15,1.0419e-14,,,,,,,,17.462275,17.918701000000006,16.84688
2CXO J192035.7+374452,10.94446,69.91127900000001,-0.18863210493442004,0.15490318550906002,-0.33229231730169,0.20812441820219,0.7892329618118,0.0,0.9494167687249052,,3.2044500000000005e-14,6.2183999999999994e-15,5.303799999999999e-15,2.03945e-14,,,,,,,,19.88345,20.065655,19.5386
2CXO J020052.2-092431,-65.863219,168.968452,0.036227357901312006,0.23485321673954,-0.20112429731418,0.10116426103259,0.15867094592416994,0.0,0.23095749760341,1.5974499999999995e-14,9.341900000000001e-14,1.4569500000000006e-14,1.4982499999999994e-14,6.489600000000003e-14,16.923,16.734,12.53,8.638,,,,16.799114000000007,16.68,16.97599
2CXO J002403.8-720621,-44.86451,305.892792,-0.07495315427857599,0.17239225484072,-0.2423485321674,0.4603390238702,0.5964515242926199,0.0,0.64701266310479,4.05985e-16,8.655950000000001e-15,1.6363e-15,1.2943e-15,5.72455e-15,,,,,,,,,,
2CXO J002410.6-720516,-44.883767,305.884458,-0.77451592754528,-0.28357276702061,-0.61086820737039,0.90600759866931,0.9848798018291228,6.0,0.9930294530691564,9.1607e-17,1.10008e-15,7.18275e-16,2.3703499999999997e-16,2.2392999999999997e-16,,,,,,,,,,
2CXO J004243.9+411755,-21.543296,121.174278,,,,,,,,7.980299999999998e-15,2.24925e-16,3.2820500000000005e-17,2.0736500000000004e-17,7.257599999999998e-17,,,,,14.097999999999999,15.645,17.791,,,
2CXO J004222.3+411345,-21.610217,121.09878700000002,,,,0.59834343425994,0.7458919338347201,1.0,0.918180924207861,4.01595e-15,2.8447e-15,7.995350000000001e-16,4.1335500000000006e-17,2.15255e-16,,,,,,,,20.888035,20.244452,18.930038
2CXO J180438.9-145647,3.251863,14.306876,,,,,,,,,,,,,,,,,16.003,15.27,14.285,19.099728,20.119614,17.970112
2CXO J004256.8+411152,-21.645572,121.213817,,,,,,,,4.1481999999999995e-17,1.03027e-16,1.7204000000000002e-17,2.6658000000000004e-17,6.897750000000001e-17,,,,,,,,20.614981,20.919592,19.917397
2CXO J004232.7+411648,-21.560471,121.135897,,,,,,,,3.4564e-17,1.0549149999999999e-16,1.63785e-17,1.7443000000000002e-17,1.3e-16,,,,,,,,,,
2CXO J004300.7+411127,-21.652964,121.226707,,,,,,,,8.92385e-17,9.58395e-17,1.4097e-17,1.94925e-17,1.0453e-16,,,,,,,,,,
2CXO J004241.2+411615,-21.570623,121.163923,,,,,,,,1.0257e-16,7.199400000000001e-17,3.7865499999999996e-17,2.7950999999999996e-17,5.71225e-17,,,,,14.831,11.242,11.030999999999999,20.893602,15.093737,13.64257
2CXO J134209.7+282247,78.713453,42.232577,0.0012492192379763,0.19737663960025,-0.19612742036227,0.99963626472941,0.9999983339749652,7.0,0.9999456013049992,6.26765e-14,3.8228499999999997e-13,6.653400000000002e-14,8.07565e-14,2.523125e-13,,,,,,,,13.724258,14.066859,12.877173
2CXO J180507.0-274309,-3.092363,3.214866,-0.6208619612741999,-0.13616489693941,-0.5134291068082399,0.61537498416031,0.61527831677262,1.0,0.34421536465957003,8.977825000000003e-16,1.694975e-14,8.0586e-15,5.256924999999999e-15,5.041175e-15,,,,,,,,17.603934,17.738026,16.287725
2CXO J155246.9-502953,2.643223,329.862111,0.81199250468457,0.6021236727045601,0.40349781386633,0.045441486358876,0.56363880703571,0.0,0.18167380589885,3.35825e-14,9.8613e-13,1.4471500000000002e-14,7.02845e-14,9.3894e-13,,,,,15.839,15.27,14.77,18.775154,20.112831,17.618118
2CXO J004243.7+411242,-21.630078,121.170102,,,,0.57441999910012,0.7478298322981299,1.0,0.952587981459778,7.50195e-17,2.6038e-16,8.915450000000001e-17,1.243e-17,6.7693e-17,,,,,15.431,14.824000000000002,14.69,19.453945,17.516703,16.317709
2CXO J002410.7-720425,-44.897681,305.887245,0.7420362273579,0.52717051842598,0.35352904434728005,0.93372348310388,0.9295366216276628,6.0,0.977145265447394,3.2794499999999996e-17,3.4608e-14,9.440849999999998e-16,3.0439e-15,3.1852499999999996e-14,,,,,13.057,12.675999999999998,13.681,13.644089,13.37266,12.472415
2CXO J231518.9-591028,-53.909989,323.67933,-0.64084946908182,-0.34478450968145,-0.37476577139288,0.1422256333276,0.40622918208069,0.0,0.15640178571296004,6.625100000000002e-13,2.57e-14,1.1784e-14,6.508150000000001e-15,7.869200000000006e-15,15.380999999999998,15.219000000000001,12.645,9.338,,,,19.105951,19.2242,18.997118
2CXO J004255.7+411752,-21.545434,121.213929,,,,,,,,8.629049999999999e-17,2.4448e-16,7.03545e-17,2.37045e-17,9.07375e-17,,,,,,,,21.375725,16.634106,15.357393
2CXO J002406.0-720456,-44.888412,305.8939529999999,-0.28981886321049,-0.04497189256714599,-0.2473454091193,0.48347378133106,0.94738018593194,0.0,0.948255685432682,3.24185e-15,2.68425e-14,6.46935e-15,6.182500000000001e-15,1.50555e-14,,,,,,,,12.953218,12.257187,11.200761
2CXO J004236.2+411801,-21.540659,121.148252,,,,,,,,8.2479e-17,4.52755e-17,1.58855e-17,1.3254000000000002e-17,5.10275e-17,11.423,14.831,11.115,9.237,,,,20.760164000000003,19.028387,16.656374
2CXO J004259.3+411642,-21.565154,121.22521299999998,,,,,,,,5.6426499999999995e-15,5.88875e-17,2.1191500000000003e-17,1.1177e-17,6.65425e-17,11.194,11.040999999999999,8.869,7.585,,,,,,
2CXO J004238.3+411630,-21.566182,121.154476,,,,,,,,3.0875999999999995e-17,9.965149999999999e-17,6.2605e-17,1.24355e-17,5.0904499999999996e-17,,,,,,,,20.913883,16.070057000000002,14.953333
2CXO J002416.9-720427,-44.898464,305.876028,-0.088694565896315,0.062460961898813,-0.15115552779513,0.7929858185712599,0.971164694082708,2.0,0.9905715837041872,1.69265e-15,4.5989499999999997e-14,8.509749999999998e-15,9.39145e-15,2.9338999999999995e-14,,,,,10.921,10.356,10.258,,,
