name,class,cat_name,var_flag,ra,dec,Total ACIS exposure,Num of ACIS obs
2CXO J032754.1+023342,AGN,3C  88.0         ,0,51.97581294034126,2.561699587669552,115283.48379363,4
2CXO J033203.0-274450,AGN,CDFS J03320-2744 ,1,53.01265613973277,-27.747376609435605,6048153.82260707,85
2CXO J100044.4+025324,AGN,COSM J10007+0253 ,0,150.1850940909378,2.8900521978308453,99149.054238554,3
2CXO J100049.9+020500,AGN,COSM J10008+0205 ,1,150.20796415553514,2.083337137773239,193242.863076903,6
2CXO J105344.9+572840,AGN,1WGA J1053.7+5728,0,163.43710800502663,57.477788932758415,105797.15074315161,4
2CXO J125311.8-091337,AGN,CXOCY J12531-0913,1,193.29948389470158,-9.227185341396275,127850.37053862707,3
2CXO J134105.1+395945,AGN,RXS J13410+3959  ,0,205.27131541068454,39.995982488809034,46993.861815225,1
2CXO J141119.4+521400,AGN,CXO J14113+5214  ,0,212.83122024804757,52.233460151245154,90948.23983718,1
2CXO J141123.4+521331,AGN,CXO J14113+5213  ,1,212.84764610171302,52.225478311689464,90948.23983718,1
2CXO J150721.0+554559,AGN,SDSS J15073+5545 ,0,226.8378841003174,55.7664427971869,33727.805360669,1
2CXO J160015.6+552300,AGN,SDSS J16002+5522 ,0,240.06528231132904,55.383527864424565,46031.856496192006,1
2CXO J163710.0+405642,AGN,CIRS 08          ,0,249.29188408100254,40.945234243870175,73378.79417323,1
