,significance,Overall,AGN,PULSAR,HMXB,YSO,STAR,ULX,CV,LMXB
0,0,0.8792522218817039,0.9228909838046894,0.31,0.7874396135265701,0.9250741839762612,0.9166367229608336,0.4340425531914894,0.4321608040201005,0.7547169811320755
1,1,0.8785247241520229,0.9211989364273628,0.28,0.7765700483091788,0.9317000742390498,0.9187926697808121,0.4425531914893617,0.4221105527638191,0.7358490566037735
2,2,0.8784823284823284,0.9222493887530563,0.28125,0.7822384428223844,0.921583850931677,0.9222343921139102,0.41379310344827586,0.422680412371134,0.7421383647798742
3,3,0.8745065199186506,0.9236785329018339,0.27058823529411763,0.7653333333333333,0.9130913091309131,0.9235294117647059,0.4325581395348837,0.3815028901734104,0.7266187050359713
4,4,0.8695399796836454,0.9204834605597965,0.35294117647058826,0.7495826377295493,0.8859649122807017,0.9278299555116164,0.4264705882352941,0.4240506329113924,0.712
5,5,0.8691718858733473,0.9222601441031475,0.31666666666666665,0.728421052631579,0.8678756476683938,0.9384528514963297,0.3977272727272727,0.36363636363636365,0.7567567567567568
