,offset,Overall,STAR,AGN,HMXB,ULX,YSO,CV,LMXB
0,1,0.9069613552143991,0.9389148401006109,0.9420718816067654,0.8257372654155496,0.6255924170616114,0.9246935201401051,0.5843373493975904,0.7762237762237763
1,2,0.9093817731448034,0.9360402443406396,0.941020062847474,0.8176328502415459,0.5914893617021276,0.9376854599406528,0.5778894472361809,0.7421383647798742
2,3,0.9074272364450501,0.934602946460654,0.9396267837541163,0.8116805721096544,0.582995951417004,0.938229238160604,0.5866666666666667,0.7005988023952096
3,4,0.9082335188154296,0.9320876751706791,0.9427966101694916,0.8167848699763594,0.5764705882352941,0.9428208386277002,0.5863453815261044,0.6704545454545454
