class,Argmax,0.6,0.7,0.8,0.9,0.98
AGN,10500,4297,2313,209.0,4.0,
YSO,10450,3488,1317,248.0,2.0,
STAR,10024,5184,3775,2550.0,1122.0,45.0
HMXB,6867,1237,776,479.0,276.0,63.0
ULX,963,38,14,2.0,,
CV,715,30,15,9.0,7.0,5.0
PULSAR,214,5,1,,,
LMXB,160,71,53,29.0,7.0,
