class,recall_score,precision_score,f1_score
AGN,0.9745302713987474,0.9684647302904564,0.9714880332986473
STAR,0.9562724014336917,0.9597122302158273,0.9579892280071813
YSO,0.9512619669277633,0.9278438030560272,0.9394069617533305
HMXB,0.9050802139037433,0.9161028416779432,0.9105581708137189
LMXB,0.8111888111888111,0.943089430894309,0.8721804511278196
ULX,0.7061611374407583,0.6995305164319249,0.7028301886792453
CV,0.536144578313253,0.5933333333333334,0.5632911392405064
PULSAR,0.45544554455445546,0.41818181818181815,0.43601895734597157
