name,significance,var_flag,streak_src_flag,pileup_flag,ra,dec,missing,sat_src_flag,extent_flag,conf_flag
2CXO J151636.1+070023,4.8125000000001386,0,0,0,229.15057341198792,7.0065721656356965,0.3898305084745763,0,0,0
2CXO J151638.3+070529,9.838314411750012,0,0,0,229.1598735017376,7.0915885828359135,0.3050847457627119,0,0,0
2CXO J151638.6+070205,3.4117647058823186,0,0,0,229.1611872497724,7.034913544540317,0.4745762711864407,0,0,0
2CXO J151639.4+065857,2.2702702702702666,0,0,0,229.16450946534889,6.98259495961183,0.5423728813559322,0,0,0
2CXO J151639.9+065553,4.129032258064496,0,0,0,229.16663922441523,6.931439834262263,0.4576271186440678,0,0,0
2CXO J151641.2+070049,2.611111111111105,0,0,0,229.17203415911786,7.0136637634010635,0.6101694915254238,0,0,0
2CXO J151641.4+065918,2.217391304347709,0,0,0,229.1726618075013,6.988511262810802,0.4576271186440678,0,0,0
2CXO J151642.1+064827,4.105263157894643,0,0,0,229.1756640556866,6.807654794954628,0.5423728813559322,0,0,0
2CXO J151643.4+065309,3.4358974358974,0,0,0,229.18111994938118,6.8860086799677545,0.5084745762711864,0,0,0
2CXO J151643.5+070045,1.7333333333334002,0,0,0,229.18149442869685,7.012620408506912,0.5423728813559322,0,0,0
2CXO J151644.2+065155,1.7021276595743842,0,0,0,229.18439319572727,6.865385998837187,0.5423728813559322,0,0,0
2CXO J151644.4+070117,32.75843949315053,0,0,0,229.18535709939331,7.021615229003054,0.06779661016949153,0,0,0
2CXO J151644.7+070145,3.6500000000001234,0,0,0,229.18625789159248,7.02932956046939,0.4576271186440678,0,0,0
2CXO J151645.2+065344,0.0,0,0,0,229.18859940798697,6.895675993656102,0.5932203389830508,0,0,0
2CXO J151645.7+070015,10.35513970295251,0,0,0,229.19068174981246,7.004293497610012,0.0847457627118644,0,0,0
2CXO J151646.4+070025,1.8749999999999976,0,0,0,229.19346415255018,7.0069816344053315,0.5932203389830508,0,0,0
2CXO J151647.3+070342,1.4222222222221226,0,0,0,229.1971591002593,7.061943709602177,0.6610169491525424,0,0,0
2CXO J151648.6+065833,5.354838709677599,0,0,0,229.20262638577674,6.976048835136642,0.4576271186440678,0,0,0
2CXO J151649.4+065553,8.919913418747917,0,0,0,229.2060591140294,6.931614816489023,0.15254237288135594,0,0,0
2CXO J151649.9+070625,2.6111111111111347,0,0,0,229.20823433107137,7.107138690541258,0.6610169491525424,0,0,0
2CXO J151650.1+070801,7.03101557147619,0,0,0,229.2089387574199,7.133865948009436,0.4745762711864407,0,0,0
2CXO J151650.7+065424,3.450000000000109,0,0,0,229.2113586153399,6.906883289866303,0.3728813559322034,0,0,0
2CXO J151651.0+070354,1.6888888888888758,0,0,0,229.21250962274516,7.065050569011188,0.5423728813559322,0,0,0
2CXO J151652.5+070043,3.3658536585366434,0,0,0,229.2191140375686,7.0121051106735015,0.3050847457627119,0,0,0
2CXO J151652.8+065710,2.1621621621621574,0,0,0,229.2201205042392,6.9528679737810375,0.4745762711864407,0,0,0
2CXO J151655.7+065540,12.713089464982732,0,0,0,229.232361697492,6.928016601867473,0.3050847457627119,0,0,0
2CXO J151656.3+065426,4.722222222222411,0,0,0,229.23480684924903,6.90744560530281,0.3220338983050847,0,0,0
2CXO J151656.5+070541,3.538461538461664,0,0,0,229.23552982447723,7.0948712050801035,0.3220338983050847,0,0,0
2CXO J151659.5+065601,3.1000000000002377,0,0,0,229.2481224492697,6.933879981783953,0.5423728813559322,0,0,0
2CXO J151659.8+065732,10.971951545167334,0,0,0,229.24917027875856,6.958933681605463,0.3728813559322034,0,0,0
2CXO J151703.4+065002,6.086827076426068,0,0,0,229.2641862005804,6.834114768528446,0.3220338983050847,0,0,0
2CXO J151705.5+065315,3.285714285714381,0,0,0,229.27292967885842,6.887655914075731,0.5423728813559322,0,0,0
2CXO J151706.8+070930,2.444444444444453,0,0,0,229.27871667108752,7.158551148512349,0.5423728813559322,0,0,0
2CXO J151710.1+070412,4.176470588235527,0,0,0,229.2924400012371,7.070030908372713,0.4067796610169492,0,0,0
2CXO J151713.2+064830,5.142857142857205,0,0,0,229.3050238484557,6.808358702062075,0.3898305084745763,0,0,0
2CXO J151713.2+065415,7.360332827494282,0,0,0,229.3053947739313,6.904237101301932,0.288135593220339,0,0,0
2CXO J151715.6+070555,3.238095238095238,0,0,0,229.31506667461585,7.098816101857389,0.23728813559322035,0,0,0
2CXO J151722.9+070212,4.108108108108319,0,0,0,229.34564665958146,7.036870363931527,0.3220338983050847,0,0,0
2CXO J151724.0+070313,3.1428571428571432,0,0,0,229.350157931704,7.053633017512307,0.5423728813559322,0,0,0
2CXO J151725.4+065654,3.6410256410256165,0,0,0,229.3559061656801,6.948513976278776,0.4745762711864407,0,0,0
2CXO J151728.4+070134,5.294117647059002,0,0,0,229.3685980692289,7.026171722195812,0.3898305084745763,0,0,0
2CXO J151730.5+070008,3.6923076923076295,0,0,0,229.3771268541174,7.002483906250002,0.4745762711864407,0,0,0
2CXO J151731.2+065932,2.533333333333355,0,0,0,229.38033258756604,6.992357869456017,0.5423728813559322,0,0,0
2CXO J111029.1-612018,3.1794871794869883,0,0,0,167.62148237918905,-61.338456513279546,0.3898305084745763,0,0,0
2CXO J111038.8-611437,2.4186046511627013,0,0,0,167.66173213361068,-61.24365577524239,0.3728813559322034,0,0,0
2CXO J111056.7-611923,4.054054054054326,0,0,0,167.73637505677652,-61.323308296211216,0.3728813559322034,0,0,0
2CXO J111101.4-612035,2.8333333333331274,0,0,0,167.75620146693473,-61.343163522829116,0.4745762711864407,0,0,0
2CXO J111102.0-611540,6.771366356285694,0,0,0,167.75851709706853,-61.26137248990547,0.2542372881355932,0,0,0
2CXO J111102.6-611631,3.6315789473685536,0,0,0,167.76102442934257,-61.275374262353814,0.2711864406779661,0,0,0
2CXO J111102.8-610258,4.157894736841955,0,0,0,167.76181303298256,-61.04947604302127,0.3220338983050847,0,0,0
2CXO J111105.2-611723,3.636363636363636,0,0,0,167.77199656434505,-61.289757699680045,0.2711864406779661,0,0,0
2CXO J111105.6-611757,6.603043750847973,0,0,0,167.7734496248554,-61.29935105976908,0.3050847457627119,0,0,0
2CXO J111105.8-610251,3.5500000000000536,0,0,0,167.7742503136593,-61.047679832237996,0.4406779661016949,0,0,0
2CXO J111106.0-611738,4.277777777777404,0,0,0,167.77537731820019,-61.29405766225949,0.2542372881355932,0,0,0
2CXO J111107.2-611600,5.22580645161312,0,0,0,167.78019843029708,-61.266774751381504,0.3389830508474576,0,0,0
2CXO J111109.3-611850,2.722222222222189,0,0,0,167.78905764066906,-61.31391246265626,0.2542372881355932,0,0,0
2CXO J111109.8-612015,2.7027027027025405,0,0,0,167.7909276474354,-61.3377168137301,0.3728813559322034,0,0,0
2CXO J111110.1-611302,3.200000000000204,0,0,0,167.79248533775626,-61.21745905547176,0.2542372881355932,0,0,0
2CXO J111112.6-611419,1.849999999999972,0,0,0,167.8025025943989,-61.23888717839839,0.4745762711864407,0,0,0
2CXO J111112.6-612056,5.666666666666948,0,0,0,167.80284406313126,-61.34897987123817,0.2542372881355932,0,0,0
2CXO J111112.9-611538,13.480975785892625,0,0,0,167.80391978769433,-61.26065827579572,0.4915254237288136,0,0,0
2CXO J111113.4-610218,3.2352941176472254,0,0,0,167.80608041633081,-61.03839758356124,0.4576271186440678,0,0,0
2CXO J111114.2-611742,7.019774591781688,0,0,0,167.8091844283996,-61.295200518751365,0.4745762711864407,0,0,0
2CXO J111114.3-611511,2.1538461538461484,0,0,0,167.80966251645685,-61.25317040168597,0.5423728813559322,0,0,0
2CXO J111114.9-611651,3.3529411764705475,0,0,0,167.81241339996367,-61.28105503440053,0.4745762711864407,0,0,0
2CXO J111115.2-611219,2.9714285714286466,0,0,0,167.81359404110776,-61.20539697726824,0.3898305084745763,0,0,0
2CXO J111116.1-611901,4.749999999999591,0,0,0,167.81730952480783,-61.31695263725232,0.4576271186440678,0,0,0
2CXO J111117.0-610208,2.8571428571427124,0,0,0,167.82112000737254,-61.035661225419425,0.4067796610169492,0,0,0
2CXO J111117.3-610312,4.378378378378296,0,0,0,167.82248484382285,-61.05346749914007,0.3220338983050847,0,0,0
2CXO J111118.4-611638,2.9714285714286057,0,0,0,167.8267865539534,-61.27735525318894,0.288135593220339,0,0,0
2CXO J111118.7-611052,3.1764705882354374,0,0,0,167.82798162610501,-61.18129390576496,0.3898305084745763,0,0,0
2CXO J111118.9-611821,2.9714285714285764,0,0,0,167.82914572093168,-61.30585537993618,0.3389830508474576,0,0,0
2CXO J111120.0-611411,2.0499999999999896,0,0,0,167.83374085473767,-61.23652223630211,0.576271186440678,0,0,0
2CXO J111121.6-611653,3.93750000000022,0,0,0,167.84032681547467,-61.2814075773906,0.42372881355932196,0,0,0
2CXO J111121.9-611613,1.9444444444444715,0,0,0,167.8414152753237,-61.27027822018582,0.5254237288135594,0,0,0
2CXO J111122.4-611455,1.853658536585321,0,0,0,167.84345556311968,-61.24869786381521,0.5423728813559322,0,0,0
2CXO J111122.6-611939,2.944444444444529,0,0,0,167.84425507428637,-61.32765207252308,0.2711864406779661,0,0,0
2CXO J111122.7-611616,2.5555555555555203,0,0,0,167.8448465448274,-61.271358688415575,0.3389830508474576,0,0,0
2CXO J111122.9-611707,1.888888888888879,0,0,0,167.84569718194962,-61.285317436290654,0.3898305084745763,0,0,0
2CXO J111123.1-611740,2.2631578947368487,0,0,0,167.84626192470068,-61.294657093866576,0.4406779661016949,0,0,0
2CXO J111124.0-611722,34.605649816952685,0,0,0,167.850012682349,-61.28971056716009,0.2542372881355932,0,0,0
2CXO J111124.1-611810,3.2941176470591116,0,0,0,167.85070642084497,-61.30279112312849,0.3728813559322034,0,0,0
2CXO J111124.4-612531,2.5555555555553435,0,0,0,167.85187742136304,-61.42540539168198,0.22033898305084745,0,0,0
2CXO J111124.8-611922,5.090909090909147,0,0,0,167.85343631072055,-61.323010347961166,0.2542372881355932,0,0,0
2CXO J111125.0-611847,2.0499999999999896,0,0,0,167.85421305487645,-61.31315901709871,0.5423728813559322,0,0,0
2CXO J111125.1-611833,2.051282051282058,0,0,0,167.85492310379826,-61.3094150366705,0.4915254237288136,0,0,0
2CXO J111125.6-611154,3.38461538461541,0,0,0,167.85697620209146,-61.19858790249248,0.42372881355932196,0,0,0
2CXO J111125.9-611339,3.170731707317193,0,0,0,167.85810286452897,-61.22777328053712,0.3050847457627119,0,0,0
2CXO J111126.2-612620,2.914285714285612,0,0,0,167.8594778653752,-61.439132242848366,0.5932203389830508,0,0,0
2CXO J111127.3-611743,3.5151515151512744,0,0,0,167.8641561585032,-61.29550882569546,0.2542372881355932,0,0,0
2CXO J111128.4-612212,3.2352941176473147,0,0,0,167.8687340053989,-61.370140593139546,0.3728813559322034,0,0,0
2CXO J111128.7-612110,1.9111111111111427,0,0,0,167.86961578993657,-61.35299948376763,0.5084745762711864,0,0,0
2CXO J111128.8-612127,3.3529411764705985,0,0,0,167.87024208939488,-61.35755842154377,0.2542372881355932,0,0,0
2CXO J111128.9-610150,3.636363636363681,0,0,0,167.8705008923655,-61.030780376867895,0.4067796610169492,0,0,0
2CXO J111128.9-610856,2.8000000000000944,0,0,0,167.87044377495693,-61.14902483239226,0.3220338983050847,0,0,0
2CXO J111129.4-612216,9.374303387968656,0,0,0,167.87285044792182,-61.37115786528727,0.3389830508474576,0,0,0
2CXO J111129.8-610333,3.696969696969712,0,0,0,167.87447114016558,-61.05921770304182,0.4067796610169492,0,0,0
2CXO J111129.9-611711,4.0000000000002816,0,0,0,167.87459541357043,-61.2864209747765,0.2711864406779661,0,0,0
2CXO J111130.1-611900,2.3684210526316085,0,0,0,167.8757166257958,-61.3168541153814,0.42372881355932196,0,0,0
2CXO J111130.4-611851,2.722222222222308,0,0,0,167.87693668426348,-61.31440861737789,0.3389830508474576,0,0,0
2CXO J111130.4-612029,4.874999999999796,0,0,0,167.87706927913052,-61.3416636438166,0.3728813559322034,0,0,0
2CXO J111130.7-611355,3.7368421052634067,0,0,0,167.87828454668954,-61.23196731488832,0.3050847457627119,0,0,0
2CXO J111131.2-612117,1.69999999999997,0,0,0,167.88003678692075,-61.35478573241517,0.559322033898305,0,0,0
2CXO J111131.3-612132,3.9375000000001417,0,0,0,167.88080273475074,-61.35892162543414,0.4067796610169492,0,0,0
2CXO J111132.5-611131,2.162162162162061,0,0,0,167.8858012648667,-61.19205437085605,0.4067796610169492,0,0,0
2CXO J111132.7-610228,3.1999999999999886,0,0,0,167.88633905872825,-61.04116657274899,0.3389830508474576,0,0,0
2CXO J111132.7-611403,3.23529411764714,0,0,0,167.88637772983267,-61.23440299550294,0.3389830508474576,0,0,0
2CXO J111133.3-611809,2.9714285714286333,0,0,0,167.88876185650406,-61.30265156135694,0.3898305084745763,0,0,0
2CXO J111133.6-612205,2.7777777777778168,0,0,0,167.8903169876744,-61.368066054318064,0.4067796610169492,0,0,0
2CXO J111134.1-612143,3.9375000000001465,0,0,0,167.8922830487736,-61.362005792922794,0.3389830508474576,0,0,0
2CXO J111134.6-612211,2.157894736842152,0,0,0,167.89451516480838,-61.36980096318554,0.4406779661016949,0,0,0
2CXO J111135.2-611543,2.6857142857142726,0,0,0,167.8966935675935,-61.26214320329726,0.3389830508474576,0,0,0
2CXO J111135.2-612156,2.685714285714167,0,0,0,167.89669776508754,-61.36562445106329,0.4915254237288136,0,0,0
2CXO J111135.6-611206,2.6111111111110983,0,0,0,167.89836269563125,-61.20176871930798,0.5423728813559322,0,0,0
2CXO J111136.0-611519,3.575757575757444,0,0,0,167.90036462918317,-61.255334159386216,0.3898305084745763,0,0,0
2CXO J111136.6-611426,2.102564102564101,0,0,0,167.9025987697239,-61.24063528114346,0.5423728813559322,0,0,0
