name,catalog,cat_name,significance,var_flag
2CXO J100213.1+023827,VERONCAT,COSM J10022+0238 ,8.362890818053366,0
2CXO J125507.3+085239,VERONCAT,SDSS J12551+0852 ,8.33915998736405,0
2CXO J020022.0-084511,VERONCAT,FIRST J02003-0845,8.335624824388741,0
2CXO J231954.0+003641,VERONCAT,SDSS J23199+0036 ,8.333325850155727,0
2CXO J112209.9+241737,VERONCAT,SDSS J11221+2417 ,8.32759064437999,0
2CXO J142512.9+340030,VERONCAT,SDSS J14252+3400 ,8.316259014851264,0
2CXO J153304.0+302508,VERONCAT,SDSS J15330+3025 ,8.31465238014478,0
2CXO J133442.7+375914,VERONCAT,1WGA J1334.7+3759,8.312094397170853,0
2CXO J130701.5+363847,VERONCAT,SDSS J13070+3638 ,8.292561047940957,0
2CXO J003616.5-433918,VERONCAT,XMM J00362-4339  ,8.280109028117225,0
2CXO J100148.9+024821,VERONCAT,SDSS J10018+0248 ,8.279868821415063,0
2CXO J143902.2+441613,VERONCAT,SDSS J14390+4416 ,8.279596829305714,1
2CXO J010715.9-083429,VERONCAT,SDSS J01072-0834 ,8.276993780114635,0
2CXO J142351.8+421334,VERONCAT,SDSS J14238+4213 ,8.274202113154582,0
2CXO J100129.6+020643,VERONCAT,SDSS J10014+0206 ,8.270819709293065,0
2CXO J104230.1+010223,VERONCAT,SDSSP J10425+0102,8.267750898051018,0
2CXO J142507.3+323137,VERONCAT,SDSS J14251+3231 ,8.253958295148742,0
2CXO J161556.3+192305,VERONCAT,SDSS J16159+1923 ,8.243217380450007,1
2CXO J030446.3+034947,VERONCAT,CXO J03047+0349  ,8.229911166201832,0
2CXO J160410.2+432614,VERONCAT,SDSS J16041+4326 ,8.22895985837137,0
2CXO J102257.7+022542,VERONCAT,SDSS J10229+0225 ,8.223249511016293,0
2CXO J162845.6+442413,VERONCAT,SDSS J16287+4424 ,8.219519724983313,1
2CXO J024403.5+011322,VERONCAT,SDSS J02440+0113 ,8.208253000728554,0
2CXO J171521.8+601647,VERONCAT,SPIT J17153+6016 ,8.19057352652488,1
2CXO J093514.3+170944,VERONCAT,SDSS J09352+1709 ,8.18956289007984,0
2CXO J101739.5-012728,VERONCAT,2QZ J101739-0127 ,8.18758537972516,0
2CXO J232556.9-000500,VERONCAT,SDSS J23259-0004 ,8.175764428711133,0
2CXO J214843.5+001054,VERONCAT,SDSS J21487+0010 ,8.169517177387636,0
2CXO J104251.3+591159,VERONCAT,CLANS J10428+5912,8.14805083680111,0
2CXO J123629.1+621046,VERONCAT,CXOH J12364+6210 ,8.147006335792197,0
2CXO J131730.8+291056,VERONCAT,CXO J13175+2910  ,8.134896437124326,0
2CXO J123529.3+621257,VERONCAT,B2.011           ,8.133875122733272,1
2CXO J053957.0-285108,VERONCAT,XMM J05399-2851  ,8.133698430517269,1
2CXO J130456.9+395529,VERONCAT,IC 4165          ,8.115064616203274,0
2CXO J130905.6+113802,VERONCAT,NGC 4992         ,8.113423817170148,0
2CXO J171927.2+273245,VERONCAT,SDSS J17194+2732 ,8.112014413814789,0
2CXO J003244.6-214420,VERONCAT,MC 0030-220      ,8.110659077739411,1
2CXO J104106.0+144417,VERONCAT,SDSS J10411+1444 ,8.091708187621366,0
2CXO J214001.4-234113,VERONCAT,CXOMP J21400-2341,8.073645263296491,0
2CXO J100157.7+023804,VERONCAT,COSM J10019+0238 ,8.064092548040303,0
2CXO J134508.0+555058,VERONCAT,CXOMP J13451+5550,8.046230827553481,0
2CXO J160454.7+235239,VERONCAT,SDSS J16049+2352 ,8.041778380969452,0
2CXO J100006.8+021235,VERONCAT,COSM J10001+0212 ,8.035272700277181,1
2CXO J092913.1+380738,VERONCAT,SDSS J09292+3807 ,8.029931919995828,0
2CXO J033319.5-274950,VERONCAT,ECDF-S 416       ,8.028388087320124,1
2CXO J005245.4-262422,VERONCAT,CS  84           ,8.024351970691077,0
2CXO J081336.0+481302,VERONCAT,3C 196.0         ,8.022450229847976,0
2CXO J145442.1+182936,VERONCAT,XMM J14547+1829  ,8.020769176166253,0
2CXO J110516.4+111801,VERONCAT,SDSS J11052+1118 ,8.01902742624389,0
