,name,significance,var_flag,streak_src_flag,pileup_flag,ra,dec,missing,sat_src_flag,extent_flag,conf_flag,class,prob,prob_margin,prob_AGN,prob_CV,prob_HMXB,prob_LMXB,prob_PULSAR,prob_STAR,prob_ULX,prob_YSO,gal_b2,gal_l2,var_inter_prob_b,var_inter_sigma_b,var_intra_prob_b,var_inter_index_b,kp_intra_prob_b,var_intra_index_b,ks_intra_prob_b,h-csc,b-csc,m-csc,s-csc,u-csc,FUV,NUV,u-sdss,g-sdss,r-sdss,i-sdss,z-sdss,W1,W2,W3,W4,24 microns (MIPS),J,H,K,G,Bp,Rp,B-R,G-J,G-W2,Bp-H,Bp-W3,Rp-K,J-H,J-W1,W1-W2,0p3_8_csc,24_microns_(MIPS)
2826,2CXO J003727.6-721253,2.7027027027024544,0,0,0,9.365027921829435,-72.21493100675491,0.6101694915254238,0,0,0,LMXB,0.437701612622683,0.0633091029710488,0.0304941275853507,0.3743925096516342,0.0254095714050353,0.437701612622683,0.04434903875720922,0.08166904327158117,0.0035572182503320173,0.0024268784561744233,2.493438420949709,8.456593699090584,,,6.206690737773173,,8.389824407137468,5.0,9.426498015854273,,0.0059039010126452,0.0010187978113298775,0.0014657581832676098,0.00704844224201235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8300,2CXO J022701.8+615209,2.486486486486549,0,0,0,36.75776841801053,61.86927875675851,0.6440677966101694,0,0,0,LMXB,0.5119923638860153,0.3150893861026631,0.02015036404491291,0.03418097775405927,0.028535886006571188,0.5119923638860153,0.19690297778335225,0.17517391289969436,0.01648643343962098,0.016577084185773572,5.055834390753934,3.7207004352192317,,,8.048155811964179,,6.0721353285863975,10.0,8.639887548871076,,0.004069968342810898,,,0.007069165145461976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8861,2CXO J024004.1+611037,3.055555555555346,0,0,0,40.01719936451765,61.177204249368216,0.6101694915254238,0,0,0,LMXB,0.3808253599189755,0.17300829122488376,0.026760053508741596,0.011760706453015529,0.01017717864097892,0.3808253599189755,0.16572259480164006,0.1819673296194185,0.014969708363138087,0.20781706869409175,5.053443391844199,3.767943000266144,,,7.5555371808925935,,5.049888668836907,10.0,7.114764229321853,,0.00506271901727765,,0.0023297075334182,0.006662827071290557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9267,2CXO J031839.1+415121,3.794871794871532,0,0,0,49.663200943393925,41.855912780236395,0.5932203389830508,0,0,0,LMXB,0.2983684625245965,0.06466888955598912,0.18483071009731025,0.07399805081123219,0.037232307686298836,0.2983684625245965,0.11041753554410544,0.23369957296860736,0.06088087664452217,0.0005724837233272086,4.26641602284246,4.172147152471641,,,7.111416717981872,,5.570652489035615,5.0,6.44525375383208,,0.004013825080098315,0.0005104446859774707,0.0033663067520837337,0.004931661092092721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600,2CXO J050558.9-680021,2.944444444444484,0,0,0,76.4955873587055,-68.00586379254338,0.5254237288135594,0,0,0,LMXB,0.4763597368513521,0.06662690148569622,0.04683032598816267,0.006870932812860097,0.047859487271938186,0.4763597368513521,0.007509922387923122,0.4097328353656559,0.003493888929113411,0.0013428703929946,3.05497259572937,7.744722915281411,,,6.4762966969151545,,4.043978113647275,5.0,1.7570130102861643,,0.0033304364743352395,0.0009302064872031906,0.0019360232727435192,0.003498312839613777,,,,,,,,,,,,,,,,9.485838371082657,8.674103656795008,8.549662910935584,3.949387926008833,,,,,,,,,,
10621,2CXO J050651.6-680512,2.5405405405405115,0,0,0,76.71504666594666,-68.08676485507073,0.5932203389830508,0,0,0,LMXB,0.5999179574933345,0.3368823160811106,0.04242542396327651,0.015290562560886244,0.018491025038216376,0.5999179574933345,0.05506815717707931,0.263035641412224,0.00431147737845702,0.00145975497652606,3.0604888135878365,7.746723027970389,,,6.507229704943588,,6.455442458949692,5.0,5.6911750700357695,,0.0065768949562053,0.0006418129637539005,0.0034072151948181363,0.0079273470981146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10681,2CXO J051215.6-692502,3.0285714285714542,0,0,0,78.06505763095413,-69.4173544038301,0.5932203389830508,0,0,0,LMXB,0.6523102623558269,0.543810038320185,0.1085002240356419,0.016225945000313047,0.10284740487222843,0.6523102623558269,0.006277611721109543,0.10688559272773647,0.006153171474666293,0.0007997878124774946,3.10424299462117,7.786438975968528,,,7.955230929124021,,9.915433780105893,10.0,8.267470651057979,,0.004205159385532157,0.002230865189784191,0.005902098195859065,0.002959855683041078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10784,2CXO J052143.9-482008,2.1578947368420978,0,0,0,80.43298089858456,-48.33576352478651,0.5932203389830508,0,0,0,LMXB,0.7087766991368865,0.4937064315017233,0.037098315155935965,0.006400031113478435,0.012804804527210913,0.7087766991368865,0.005102563729359135,0.2150702676351631,0.014495087087708629,0.00025223161425760366,3.0723071844091896,7.0756178596540895,,,9.171914860971162,,9.76243512042492,10.0,8.226618642802013,,0.004211081925624551,0.005157646410127452,0.0015451110420693205,0.0027990628689278678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10835,2CXO J052232.2-482157,3.2352941176471735,0,0,0,80.63452772308261,-48.36603732885291,0.5932203389830508,0,0,0,LMXB,0.5397507033217996,0.12604773351879905,0.4137029698030006,0.0054853120330416935,0.005970381888947661,0.5397507033217996,0.003588262438142134,0.0249935297487556,0.0064338809133194135,7.495985299323214e-05,3.0796622717247777,7.076911194007717,,,7.629206517079773,,5.461641144481861,10.0,8.11385591204174,,0.00647282746601039,0.004993004611653053,0.008723548731199345,0.0033403958569996985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10882,2CXO J053337.3-703125,4.722222222222417,0,0,0,83.40569652678248,-70.52381315650291,0.5254237288135594,0,0,0,LMXB,0.404142574809188,0.14395182201208095,0.060599149819097975,0.008369094339265592,0.2511076703541007,0.404142574809188,0.00902716716686468,0.2601907527971071,0.005612565260378485,0.0009510254539975608,3.2160819281781947,7.810908050827463,,,7.407802472050803,,4.1181753939606,10.0,8.318144183952842,,0.004577252031949143,0.002408093859504643,0.003841891899136328,0.0037294789421763257,,,,,,,,,,,,,,,,9.204509560988178,8.676484228548388,9.464669486769353,2.1250725956632777,,,,,,,,,,
11010,2CXO J053507.3-703039,3.818181818181548,0,0,0,83.78053099553938,-70.51102825326609,0.5254237288135594,0,0,0,LMXB,0.3437880615782637,0.037545610623125225,0.1226025060373702,0.02076952079150379,0.19066261567846116,0.3437880615782637,0.01231666747706484,0.3062424509551385,0.0025674260002379176,0.001050751481959964,3.22287579266936,7.80989385558293,,,6.7195245958803405,,5.586960782955254,5.0,1.701014896328659,,0.0038878804520110976,0.0015274845923186054,0.003448795644825384,0.004150365340402174,,,,,,,,,,,,,,,,9.256661996046141,8.766647690948684,9.108473842183104,3.016878359856892,,,,,,,,,,
