,class,recall_score,precision_score,f1_score
4,PULSAR,0.5445544554455446,0.30726256983240224,0.39285714285714285
1,CV,0.5602409638554217,0.48186528497409326,0.5181058495821727
6,ULX,0.7677725118483413,0.6113207547169811,0.680672268907563
3,LMXB,0.8181818181818182,0.9212598425196851,0.8666666666666667
2,HMXB,0.8770053475935828,0.9149232914923291,0.8955631399317406
7,YSO,0.9416884247171453,0.9311531841652324,0.9363911726525315
5,STAR,0.942652329749104,0.9697640117994101,0.9560159941839331
0,AGN,0.9565762004175365,0.9757240204429302,0.9660552393000211
