class,recall_score,precision_score,f1_score
AGN,0.925678496868476,0.9543693499784761,0.9398050021195422
CV,0.5301204819277109,0.4583333333333333,0.4916201117318435
HMXB,0.7847593582887701,0.7723684210526316,0.7785145888594166
LMXB,0.7692307692307693,0.9482758620689655,0.8494208494208495
PULSAR,0.4752475247524752,0.3779527559055118,0.42105263157894735
STAR,0.9365591397849462,0.9539978094194962,0.9451980466630494
ULX,0.5497630331753555,0.4444444444444444,0.4915254237288135
YSO,0.9295039164490861,0.9012658227848102,0.9151670951156813
