class,recall_score,precision_score,f1_score
AGN,0.936116910229645,0.9655469422911284,0.9506041975832097
CV,0.5421686746987951,0.46875,0.5027932960893854
HMXB,0.8368983957219251,0.7914032869785083,0.8135152696556205
LMXB,0.7902097902097902,0.8560606060606061,0.8218181818181818
PULSAR,0.42574257425742573,0.33858267716535434,0.37719298245614036
STAR,0.9397849462365592,0.9597364568081991,0.9496559217674756
ULX,0.6208530805687204,0.5435684647302904,0.579646017699115
YSO,0.9286335944299391,0.9150943396226415,0.9218142548596113
