,class,recall_score,precision_score,f1_score
4,PULSAR,0.5247524752475248,0.29444444444444445,0.37722419928825623
20,PULSAR,0.5346534653465347,0.3103448275862069,0.39272727272727276
44,PULSAR,0.5445544554455446,0.30726256983240224,0.39285714285714285
52,PULSAR,0.5445544554455446,0.30386740331491713,0.3900709219858156
12,PULSAR,0.5445544554455446,0.3005464480874317,0.3873239436619718
33,CV,0.5602409638554217,0.4696969696969697,0.5109890109890111
36,PULSAR,0.5643564356435643,0.29381443298969073,0.3864406779661017
76,PULSAR,0.5742574257425742,0.3005181347150259,0.3945578231292517
49,CV,0.5843373493975904,0.5078534031413613,0.5434173669467788
1,CV,0.5843373493975904,0.5052083333333334,0.5418994413407822
41,CV,0.5843373493975904,0.45754716981132076,0.5132275132275133
9,CV,0.5843373493975904,0.47317073170731705,0.522911051212938
65,CV,0.5843373493975904,0.48743718592964824,0.5315068493150685
17,CV,0.5903614457831325,0.47115384615384615,0.5240641711229947
25,CV,0.5963855421686747,0.5210526315789473,0.5561797752808988
73,CV,0.6024096385542169,0.4975124378109453,0.544959128065395
57,CV,0.608433734939759,0.517948717948718,0.5595567867036012
68,PULSAR,0.6138613861386139,0.3333333333333333,0.4320557491289198
60,PULSAR,0.6237623762376238,0.33157894736842103,0.43298969072164945
28,PULSAR,0.6237623762376238,0.32142857142857145,0.42424242424242425
78,ULX,0.7156398104265402,0.604,0.6550976138828634
54,ULX,0.7156398104265402,0.6239669421487604,0.6666666666666666
70,ULX,0.7345971563981043,0.6300813008130082,0.6783369803063457
38,ULX,0.7440758293838863,0.6108949416342413,0.670940170940171
62,ULX,0.7440758293838863,0.6181102362204725,0.6752688172043011
30,ULX,0.7582938388625592,0.6060606060606061,0.6736842105263158
46,ULX,0.7677725118483413,0.6506024096385542,0.7043478260869566
14,ULX,0.7677725118483413,0.627906976744186,0.6908315565031984
22,ULX,0.7819905213270142,0.6273764258555133,0.6962025316455697
6,ULX,0.7819905213270142,0.6297709923664122,0.6976744186046512
59,LMXB,0.8111888111888111,0.9354838709677419,0.8689138576779025
3,LMXB,0.8111888111888111,0.9133858267716536,0.8592592592592593
51,LMXB,0.8251748251748252,0.9147286821705426,0.8676470588235293
27,LMXB,0.8251748251748252,0.944,0.8805970149253731
11,LMXB,0.8251748251748252,0.9147286821705426,0.8676470588235293
43,LMXB,0.8251748251748252,0.9672131147540983,0.890566037735849
35,LMXB,0.8251748251748252,0.9291338582677166,0.8740740740740742
19,LMXB,0.8251748251748252,0.9291338582677166,0.8740740740740742
67,LMXB,0.8321678321678322,0.937007874015748,0.8814814814814815
75,LMXB,0.8321678321678322,0.937007874015748,0.8814814814814815
26,HMXB,0.8636363636363636,0.9176136363636364,0.8898071625344353
10,HMXB,0.8729946524064172,0.921015514809591,0.8963623884694578
74,HMXB,0.8743315508021391,0.9159663865546218,0.8946648426812586
50,HMXB,0.8796791443850267,0.9177126917712691,0.8982935153583618
58,HMXB,0.8810160427807486,0.9191073919107392,0.8996587030716724
42,HMXB,0.8810160427807486,0.9203910614525139,0.9002732240437158
2,HMXB,0.8810160427807486,0.9229691876750701,0.9015047879616962
34,HMXB,0.8823529411764706,0.9205020920502092,0.9010238907849829
18,HMXB,0.8863636363636364,0.9338028169014084,0.9094650205761317
66,HMXB,0.8877005347593583,0.9222222222222223,0.9046321525885559
39,YSO,0.9347258485639687,0.927461139896373,0.9310793237971392
31,YSO,0.9355961705831157,0.9380453752181501,0.9368191721132897
15,YSO,0.9373368146214099,0.9348958333333334,0.9361147327249022
63,YSO,0.938207136640557,0.9325259515570934,0.9353579175704988
71,YSO,0.939077458659704,0.9325842696629213,0.9358196010407632
23,YSO,0.939077458659704,0.9341991341991343,0.9366319444444444
7,YSO,0.939077458659704,0.9325842696629213,0.9358196010407632
77,STAR,0.9412186379928316,0.9682890855457227,0.9545619774627407
53,STAR,0.9415770609318996,0.9679439941046426,0.954578488372093
13,STAR,0.9415770609318996,0.9683007740508662,0.9547519534799201
45,STAR,0.9415770609318996,0.9700886262924667,0.9556202255365587
37,STAR,0.9419354838709677,0.9733333333333334,0.9573770491803278
61,STAR,0.9419354838709677,0.9686693697014376,0.9551153916045793
79,YSO,0.9425587467362925,0.9320137693631669,0.937256598874946
55,YSO,0.9425587467362925,0.9288164665523156,0.9356371490280777
29,STAR,0.942652329749104,0.9665564130834252,0.9544547269098167
69,STAR,0.943010752688172,0.9694178334561533,0.956031976744186
5,STAR,0.943010752688172,0.9679911699779249,0.9553376906318082
21,STAR,0.9433691756272401,0.9687154950312845,0.9558743417468676
47,YSO,0.9442993907745866,0.9321305841924399,0.9381755296152182
64,AGN,0.9553235908141963,0.9719626168224299,0.9635712781638239
16,AGN,0.9553235908141963,0.9740315027671349,0.9645868465430016
56,AGN,0.9553235908141963,0.9719626168224299,0.9635712781638239
32,AGN,0.9561586638830898,0.9736394557823129,0.9648198862439434
72,AGN,0.9561586638830898,0.976962457337884,0.9664486178518675
24,AGN,0.9574112734864301,0.9728468392023759,0.9650673400673401
8,AGN,0.9578288100208768,0.9745114698385726,0.9660981259212467
0,AGN,0.9586638830897704,0.9757756056098598,0.9671440606571189
48,AGN,0.9594989561586639,0.9724925941599661,0.9659520807061791
40,AGN,0.9594989561586639,0.976625584360391,0.9679865206402696
